model,request,status,prompt_tokens,completion_tokens,decode_tokens_per_second,predicted_ms,first_visible_seconds,wall_seconds,words_excluding_citations,within_word_target,output_cap_reached
gemma4-26b,development-extraction,ok,2451,71,36.43963903934701,1920.985,7.398391300001094,9.341030399999,42,,False
gemma4-26b,development-summary,ok,2387,314,48.61214651359276,6438.72,4.196806700001616,10.636612199999945,195,True,False
gemma4-26b,full-source-control,ok,13773,932,49.169536562066,18934.488,11.78270479999992,30.72821180000028,618,False,False
gemma4-26b,H1-extraction,ok,3552,277,55.388253596323175,4983.006,3.566865400000097,8.573895999998058,161,,False
gemma4-26b,H1-summary,ok,3442,322,55.36301147187136,5798.095,3.3006896000006236,9.098932299999433,191,True,False
gemma4-26b,H2-extraction,ok,3744,345,55.32863844101911,6217.395,3.7468771999992896,9.977786299998115,218,,False
gemma4-26b,H2-summary,ok,3642,319,48.804549443459315,6515.786,5.077227900001162,11.593634699998802,188,True,False
gemma4-26b,H3-extraction,ok,3369,256,47.07308770657701,5417.108,5.004537200002233,10.439811600001121,159,,False
gemma4-26b,H3-summary,ok,3262,331,48.70911257458214,6774.913,4.91841519999798,11.694023799998831,189,True,False
gemma4-26b,H4-extraction,ok,4096,229,54.61431038653997,4174.73,3.8581214000005275,8.045790800002578,138,,False
gemma4-26b,H4-summary,ok,3998,412,54.755356132966256,7506.115,3.953348899998673,11.464894299999287,260,False,False
gemma4-26b,merged-summary-synthesis,ok,1589,1276,56.13207970808149,22714.284,1.7995009000005666,24.51655070000197,751,False,False
qwen36-35b,development-extraction,ok,2452,202,55.24758614775348,3638.168,6.654405200002657,10.310535500000697,127,,False
qwen36-35b,development-summary,ok,2388,373,70.34114699938281,5288.512,3.00748079999903,8.297329400000308,231,False,False
qwen36-35b,full-source-control,ok,13916,781,61.35937446163048,12711.994,16.13014420000036,28.844231999999465,467,False,False
qwen36-35b,H1-extraction,ok,3595,277,70.32547700930208,3924.609,5.163267899999482,9.094039699997666,178,,False
qwen36-35b,H1-summary,ok,3489,390,70.64424647105656,5506.464,4.138027699998929,9.645763199998328,228,False,False
qwen36-35b,H2-extraction,ok,3733,152,70.67094810927132,2136.663,5.3885115000011865,7.534335700001975,68,,False
qwen36-35b,H2-summary,ok,3630,385,70.66582481095512,5434.027,4.254726099999971,9.690015699998185,209,True,False
qwen36-35b,H3-extraction,ok,3379,188,70.76546282126384,2642.532,4.960528499999782,7.607486400000198,108,,False
qwen36-35b,H3-summary,ok,3275,413,70.7340459960152,5824.635,4.006379099999322,9.831971800002066,247,False,False
qwen36-35b,H4-extraction,ok,4181,265,69.83690965325975,3780.236,5.021585100002994,8.806748000002699,169,,False
qwen36-35b,H4-summary,ok,4086,382,69.32706708840328,5495.689,4.811508399998274,10.307824999999866,227,False,False
qwen36-35b,merged-summary-synthesis,ok,1774,1185,71.20556432995744,16627.914,2.401737799998955,19.030015899999853,684,False,False
qwen38-27b,development-extraction,ok,2452,134,20.30791998190916,6549.169,11.857972400001017,18.411242800000764,79,,False
qwen38-27b,development-summary,ok,2388,470,20.331541990096415,23067.606,9.637621099998796,32.70643249999921,264,False,False
qwen38-27b,full-source-control,ok,13916,752,18.218884050412598,41220.966,46.43975420000061,87.66569950000121,533,False,False
qwen38-27b,H1-extraction,ok,3595,288,20.132360096231277,14255.656,12.633738500000618,26.89423589999933,177,,False
qwen38-27b,H1-summary,ok,3489,419,20.136174492958602,20758.66,12.378681700000016,33.138450399997964,240,False,False
qwen38-27b,H2-extraction,ok,3733,259,20.125233556065584,12819.727,15.071200000002136,27.896661500002665,144,,False
qwen38-27b,H2-summary,ok,3630,472,20.130369573070336,23397.484,12.777681399998983,36.17585449999751,295,False,False
qwen38-27b,H3-extraction,ok,3379,272,20.130687532062392,13462.034,13.226069599997572,26.694647099997383,162,,False
qwen38-27b,H3-summary,ok,3275,472,20.1263438714471,23402.164,11.691015699998388,35.09420569999929,279,False,False
qwen38-27b,H4-extraction,ok,4181,242,19.95891279743956,12074.806,14.396290700002282,26.480502800000977,153,,False
qwen38-27b,H4-summary,ok,4086,511,19.94732108064573,25567.343,14.368286000000808,39.93607070000144,289,False,False
qwen38-27b,merged-summary-synthesis,ok,2078,1852,20.242215883768257,91442.558,7.809640600000421,99.25518779999766,1094,False,False
