"elapsed_seconds","adapter","counter","bytes"
"6.3426377","other-adapter-1","dedicated usage","0"
"6.3541236","other-adapter-2","dedicated usage","270336"
"6.3542467","primary-benchmark-adapter","dedicated usage","5291761664"
"6.3543018","other-adapter-1","shared usage","0"
"6.354324","other-adapter-2","shared usage","0"
"6.3543412","primary-benchmark-adapter","shared usage","17989632"
"6.3543866","other-adapter-1","local usage","0"
"6.3544076","other-adapter-2","local usage","270336"
"6.3544285","primary-benchmark-adapter","local usage","5023326208"
"6.3544712","other-adapter-1","non local usage","0"
"6.3544853","other-adapter-2","non local usage","0"
"6.3545005","primary-benchmark-adapter","non local usage","17989632"
"12.3830354","other-adapter-1","dedicated usage","0"
"12.3832103","other-adapter-2","dedicated usage","270336"
"12.3832273","primary-benchmark-adapter","dedicated usage","13599498240"
"12.3832708","other-adapter-1","shared usage","0"
"12.3832908","other-adapter-2","shared usage","0"
"12.3833048","primary-benchmark-adapter","shared usage","17989632"
"12.3833597","other-adapter-1","local usage","0"
"12.3833727","other-adapter-2","local usage","270336"
"12.3834104","primary-benchmark-adapter","local usage","13331062784"
"12.3834534","other-adapter-1","non local usage","0"
"12.3834662","other-adapter-2","non local usage","0"
"12.383479","primary-benchmark-adapter","non local usage","17989632"
"18.4096036","other-adapter-1","dedicated usage","0"
"18.4103234","other-adapter-2","dedicated usage","270336"
"18.4103749","primary-benchmark-adapter","dedicated usage","21907234816"
"18.4104074","other-adapter-1","shared usage","0"
"18.4104232","other-adapter-2","shared usage","0"
"18.4104369","primary-benchmark-adapter","shared usage","17989632"
"18.4104704","other-adapter-1","local usage","0"
"18.4104821","other-adapter-2","local usage","270336"
"18.4105003","primary-benchmark-adapter","local usage","21638799360"
"18.4105232","other-adapter-1","non local usage","0"
"18.4105341","other-adapter-2","non local usage","0"
"18.4105467","primary-benchmark-adapter","non local usage","17989632"
"24.4349253","other-adapter-1","dedicated usage","0"
"24.4350454","other-adapter-2","dedicated usage","270336"
"24.4350583","primary-benchmark-adapter","dedicated usage","30481702912"
"24.4350842","other-adapter-1","shared usage","0"
"24.4350948","other-adapter-2","shared usage","0"
"24.4351061","primary-benchmark-adapter","shared usage","17989632"
"24.4351429","other-adapter-1","local usage","0"
"24.4351535","other-adapter-2","local usage","270336"
"24.435166","primary-benchmark-adapter","local usage","30213201920"
"24.435189","other-adapter-1","non local usage","0"
"24.4351993","other-adapter-2","non local usage","0"
"24.43521","primary-benchmark-adapter","non local usage","17989632"
"30.4821185","other-adapter-1","dedicated usage","0"
"30.4822893","other-adapter-2","dedicated usage","270336"
"30.4823017","primary-benchmark-adapter","dedicated usage","30583218176"
"30.4823254","other-adapter-1","shared usage","0"
"30.4823405","other-adapter-2","shared usage","0"
"30.4823515","primary-benchmark-adapter","shared usage","26378240"
"30.4823729","other-adapter-1","local usage","0"
"30.4823837","other-adapter-2","local usage","270336"
"30.4823952","primary-benchmark-adapter","local usage","30583218176"
"30.4824176","other-adapter-1","non local usage","0"
"30.4824344","other-adapter-2","non local usage","0"
"30.4824453","primary-benchmark-adapter","non local usage","26378240"
"36.5184467","other-adapter-1","dedicated usage","0"
"36.5185455","other-adapter-2","dedicated usage","270336"
"36.5185579","primary-benchmark-adapter","dedicated usage","30583349248"
"36.5185798","other-adapter-1","shared usage","0"
"36.5186041","other-adapter-2","shared usage","0"
"36.5186153","primary-benchmark-adapter","shared usage","26378240"
"36.5186542","other-adapter-1","local usage","0"
"36.5186652","other-adapter-2","local usage","270336"
"36.5186755","primary-benchmark-adapter","local usage","30583349248"
"36.5186979","other-adapter-1","non local usage","0"
"36.5187088","other-adapter-2","non local usage","0"
"36.5187189","primary-benchmark-adapter","non local usage","26378240"
"42.5555144","other-adapter-1","dedicated usage","0"
"42.556744","other-adapter-2","dedicated usage","270336"
"42.5567893","primary-benchmark-adapter","dedicated usage","30583349248"
"42.5568141","other-adapter-1","shared usage","0"
"42.5568249","other-adapter-2","shared usage","0"
"42.5568356","primary-benchmark-adapter","shared usage","26378240"
"42.557752","other-adapter-1","local usage","0"
"42.5577708","other-adapter-2","local usage","270336"
"42.5577832","primary-benchmark-adapter","local usage","30583349248"
"42.5578067","other-adapter-1","non local usage","0"
"42.5578168","other-adapter-2","non local usage","0"
"42.5578278","primary-benchmark-adapter","non local usage","26378240"
"48.593054","other-adapter-1","dedicated usage","0"
"48.5931522","other-adapter-2","dedicated usage","270336"
"48.593164","primary-benchmark-adapter","dedicated usage","30583349248"
"48.5931871","other-adapter-1","shared usage","0"
"48.5931967","other-adapter-2","shared usage","0"
"48.5932069","primary-benchmark-adapter","shared usage","26378240"
"48.5932284","other-adapter-1","local usage","0"
"48.5932383","other-adapter-2","local usage","270336"
"48.5932483","primary-benchmark-adapter","local usage","30583349248"
"48.5932714","other-adapter-1","non local usage","0"
"48.5932814","other-adapter-2","non local usage","0"
"48.593291","primary-benchmark-adapter","non local usage","26378240"
"54.6231874","other-adapter-1","dedicated usage","0"
"54.6232827","other-adapter-2","dedicated usage","270336"
"54.6232938","primary-benchmark-adapter","dedicated usage","30583349248"
"54.6233278","other-adapter-1","shared usage","0"
"54.623338","other-adapter-2","shared usage","0"
"54.623348","primary-benchmark-adapter","shared usage","26378240"
"54.6233692","other-adapter-1","local usage","0"
"54.6233787","other-adapter-2","local usage","270336"
"54.6233896","primary-benchmark-adapter","local usage","30583349248"
"54.6234139","other-adapter-1","non local usage","0"
"54.6234236","other-adapter-2","non local usage","0"
"54.6234339","primary-benchmark-adapter","non local usage","26378240"
"60.6660679","other-adapter-1","dedicated usage","0"
"60.6661476","other-adapter-2","dedicated usage","270336"
"60.6661586","primary-benchmark-adapter","dedicated usage","31056846848"
"60.6661776","other-adapter-1","shared usage","0"
"60.6661875","other-adapter-2","shared usage","0"
"60.6661972","primary-benchmark-adapter","shared usage","78807040"
"60.6662159","other-adapter-1","local usage","0"
"60.6662253","other-adapter-2","local usage","270336"
"60.6662348","primary-benchmark-adapter","local usage","31056846848"
"60.6662536","other-adapter-1","non local usage","0"
"60.6662629","other-adapter-2","non local usage","0"
"60.666273","primary-benchmark-adapter","non local usage","78807040"
"66.6831836","other-adapter-1","dedicated usage","0"
"66.6832656","other-adapter-2","dedicated usage","270336"
"66.6832767","primary-benchmark-adapter","dedicated usage","31552364544"
