model,label,build,quantization,model_tensor_bytes,test,depth,mean_tps,sd_tps,repetitions,n_gpu_layers,device,speculation,reasoning,accuracy
qwen8-reference,Qwen3-8B official Q4_K_M,050dde50c,qwen3 8B Q4_K - Medium,5021827072,pp512,0,1237.734864,5.215876,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
qwen8-reference,Qwen3-8B official Q4_K_M,050dde50c,qwen3 8B Q4_K - Medium,5021827072,tg256,0,43.624392,0.049044,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
qwen8-reference,Qwen3-8B official Q4_K_M,050dde50c,qwen3 8B Q4_K - Medium,5021827072,tg256,2048,40.895875,0.083883,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
gemma26,Gemma4 26B A4B UD-Q4_K_M,050dde50c,gemma4 26B.A4B Q4_K - Medium,16931716216,pp512,0,1277.59886,8.546352,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
gemma26,Gemma4 26B A4B UD-Q4_K_M,050dde50c,gemma4 26B.A4B Q4_K - Medium,16931716216,tg256,0,51.998733,0.244263,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
gemma26,Gemma4 26B A4B UD-Q4_K_M,050dde50c,gemma4 26B.A4B Q4_K - Medium,16931716216,tg256,2048,47.365957,0.10846,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
qwen35-mtp-off,"Qwen3.6 35B A3B UD-Q4_K_M, MTP OFF",050dde50c,qwen35moe 35B.A3B Q4_K - Medium,22652396032,pp512,0,1120.508749,9.74755,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
qwen35-mtp-off,"Qwen3.6 35B A3B UD-Q4_K_M, MTP OFF",050dde50c,qwen35moe 35B.A3B Q4_K - Medium,22652396032,tg256,0,60.813969,0.409434,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
qwen35-mtp-off,"Qwen3.6 35B A3B UD-Q4_K_M, MTP OFF",050dde50c,qwen35moe 35B.A3B Q4_K - Medium,22652396032,tg256,2048,59.602701,0.084101,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
qwen38-flash-next,"Qwen3.8 Flash Next UD-IQ4_XS, MTP OFF",050dde50c,qwen4exp A3B IQ4_XS - 4.25 bpw,93671559680,pp512,0,211.300474,0.66056,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
qwen38-flash-next,"Qwen3.8 Flash Next UD-IQ4_XS, MTP OFF",050dde50c,qwen4exp A3B IQ4_XS - 4.25 bpw,93671559680,tg256,0,24.070782,0.043148,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
qwen38-flash-next,"Qwen3.8 Flash Next UD-IQ4_XS, MTP OFF",050dde50c,qwen4exp A3B IQ4_XS - 4.25 bpw,93671559680,tg256,2048,23.472653,0.039086,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
gptoss120,GPT-OSS120 MXFP4,050dde50c,gpt-oss 120B MXFP4 MoE,63374323968,pp512,0,665.442169,4.202,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
gptoss120,GPT-OSS120 MXFP4,050dde50c,gpt-oss 120B MXFP4 MoE,63374323968,tg256,0,54.114273,0.140497,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
gptoss120,GPT-OSS120 MXFP4,050dde50c,gpt-oss 120B MXFP4 MoE,63374323968,tg256,2048,52.594518,0.367954,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
gemma31,Gemma4 31B Q4_K_M,050dde50c,gemma4 31B Q4_K - Medium,18671229168,pp512,0,292.119738,5.654088,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
gemma31,Gemma4 31B Q4_K_M,050dde50c,gemma4 31B Q4_K - Medium,18671229168,tg256,0,11.32875,0.017589,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
gemma31,Gemma4 31B Q4_K_M,050dde50c,gemma4 31B Q4_K - Medium,18671229168,tg256,2048,10.556881,0.015289,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
qwen38-27b,Qwen3.8 27B Q4_K_M,050dde50c,qwen35 27B Q4_K - Medium,16799719424,pp512,0,351.792075,1.186886,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
qwen38-27b,Qwen3.8 27B Q4_K_M,050dde50c,qwen35 27B Q4_K - Medium,16799719424,tg256,0,12.769032,0.030813,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
qwen38-27b,Qwen3.8 27B Q4_K_M,050dde50c,qwen35 27B Q4_K - Medium,16799719424,tg256,2048,12.57772,0.020078,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
qwen35-community,"Qwen3.6 35B A3B community Q4_K_M, speculation OFF",050dde50c,qwen35moe 35B.A3B Q4_K - Medium,21155768832,pp512,0,1126.140768,9.426877,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
qwen35-community,"Qwen3.6 35B A3B community Q4_K_M, speculation OFF",050dde50c,qwen35moe 35B.A3B Q4_K - Medium,21155768832,tg256,0,71.48654,0.481564,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
qwen35-community,"Qwen3.6 35B A3B community Q4_K_M, speculation OFF",050dde50c,qwen35moe 35B.A3B Q4_K - Medium,21155768832,tg256,2048,69.433176,0.131481,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
gemma12-qat,Gemma4 12B QAT Q4_0,050dde50c,gemma4 ?B Q4_0,6960054464,pp512,0,732.462498,8.781511,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
gemma12-qat,Gemma4 12B QAT Q4_0,050dde50c,gemma4 ?B Q4_0,6960054464,tg256,0,28.569744,0.131158,5,99,Vulkan0,OFF,Not applicable: synthetic tokens; no template or sampling,Not established by synthetic speed
