model,request,status,input_tokens,total_output_tokens,reasoning_tokens,native_generation_tps,visible_tokens,first_visible_seconds,wall_seconds,visible_phase_tps,visible_total_wall_tps,output_limit_reached
gemma26-off,H1-extraction,ok,3552,281,0,45.03852402322701,280,6.530912052003259,12.751756972000294,45.00996305179289,21.957758496716238,False
gemma26-off,H1-summary,ok,3442,418,0,45.23809394661146,417,6.552866853999149,15.774527462999686,45.21962124619932,26.435023234648657,False
gemma26-off,H2-extraction,ok,3744,301,0,45.12812551756319,300,6.882628227998794,13.532797963998746,45.11163051613306,22.168364649948142,False
gemma26-off,H2-summary,ok,3642,294,0,45.15858369118557,293,6.818596905999584,13.315325682997354,45.099620140737876,22.00471899640716,False
gemma26-off,H3-extraction,ok,3369,243,0,45.197993358509734,242,6.59303077700315,11.948904445998778,45.184038115182354,20.25290277394731,False
gemma26-off,H3-summary,ok,3262,339,0,45.12078152397442,338,6.487095759002841,13.979409885003406,45.11289760623345,24.17841688457779,False
gemma26-off,H4-extraction,ok,4096,233,0,45.08847544398058,232,7.215694375001476,12.362654719996499,45.075148135850725,18.76619587415491,False
gemma26-off,H4-summary,ok,3998,312,0,44.65823597670362,311,7.200519732999965,14.16599644600501,44.64877463725356,21.95397981253242,False
gemma26-off,development-extraction,ok,2451,121,0,46.664825998530056,120,4.382941240000946,6.956608938999125,46.626066001726244,17.249783774285994,False
gemma26-off,development-summary,ok,2387,314,0,45.646131935113075,313,5.468132943002274,12.328368093003519,45.62525819540504,25.388599499850336,False
gemma26-off,full-source-control,ok,13773,674,0,42.55785211974781,673,17.294231603002117,33.114477798000735,42.540425206073024,20.323436899875617,False
gemma26-off,merged-summary-synthesis,ok,1568,1246,0,45.704998500545656,1245,5.046015831998375,32.288904305998585,45.69999988026932,38.55813712974787,False
qwen35-off-mtp,H1-extraction,ok,3595,219,0,87.35864329622595,218,5.391160436003702,7.887403141001414,87.33125171023777,27.639008188482414,False
qwen35-off-mtp,H1-summary,ok,3489,388,0,71.21587020824846,387,5.375246463001531,10.81150997599616,71.18860207473949,35.795185025886475,False
qwen35-off-mtp,H2-extraction,ok,3733,286,0,92.1002244337048,285,5.744462936003401,8.839390064000327,92.08617463780334,32.24204361799838,False
qwen35-off-mtp,H2-summary,ok,3630,359,0,66.3680721372744,358,5.557024309004191,10.954488127004879,66.32744786654435,32.6806689504243,False
qwen35-off-mtp,H3-extraction,ok,3379,167,0,91.8108077913085,166,5.379286205999961,7.187931650994869,91.78139389307852,23.094265229556576,False
qwen35-off-mtp,H3-summary,ok,3275,337,0,68.63699791576401,336,5.229466817007051,10.127402268000878,68.60033239756622,33.17731350137487,False
qwen35-off-mtp,H4-extraction,ok,4181,256,0,83.24877869144673,255,6.102313303999836,9.166742296998564,83.21289237981891,27.81795230389468,False
qwen35-off-mtp,H4-summary,ok,4086,380,0,67.57966376353465,379,6.090438115999859,11.701791570994828,67.54163733218972,32.38820292607377,False
qwen35-off-mtp,development-extraction,ok,2452,198,0,86.25479491280603,197,3.7400989219968324,6.025990866000939,86.180801553954,32.69171898541828,False
qwen35-off-mtp,development-summary,ok,2388,372,0,71.17185124507576,371,4.1390364700055216,9.353044221003074,71.15447803640485,39.666229650330024,False
qwen35-off-mtp,full-source-control,ok,13916,736,0,61.753336003429965,735,18.044379684004525,29.967026648002502,61.64738436183094,24.526957867172737,False
qwen35-off-mtp,merged-summary-synthesis,ok,1668,1464,0,96.01068704604515,1463,3.694573640001181,18.940361396002118,95.96093185963083,77.24245432343261,False
gptoss120-medium,H1-extraction,ok,3555,938,616,48.66241712717655,312,19.875318106998748,26.301500231995306,48.55137839719523,11.862441200994974,False
gptoss120-medium,H1-summary,ok,3449,626,256,48.59936248522677,360,12.519875604004483,19.946470125003543,48.47443858447938,18.048306178682132,False
gptoss120-medium,H2-extraction,ok,3667,1185,864,48.2033425435373,312,25.522300454002107,31.9819792269991,48.299615346855134,9.755493798101478,False
gptoss120-medium,H2-summary,ok,3568,1173,527,48.218816660868335,637,18.499622873998305,31.706147158998647,48.23373555777197,20.090741293970513,False
gptoss120-medium,H3-extraction,ok,3314,1108,926,48.472753583436976,172,26.386068353000155,29.96402131800278,48.07218028923248,5.740217515352659,False
gptoss120-medium,H3-summary,ok,3215,3836,3468,48.23396767058889,358,78.50428305099922,86.07615809500567,47.28023084366356,4.159107561525472,False
gptoss120-medium,H4-extraction,ok,4064,690,482,48.47646014052966,198,18.840088339995418,22.953760055999737,48.13218303971053,8.626037717434711,False
gptoss120-medium,H4-summary,ok,3970,1109,616,48.564638789102965,483,21.03907278800034,31.046978311998828,48.26184648144296,15.557069520460656,False
gptoss120-medium,development-extraction,ok,2410,445,278,50.29362300647803,157,10.796405294000579,13.98788163199788,49.19353408038107,11.224001184057474,False
gptoss120-medium,development-summary,ok,2348,818,231,48.79182891542334,577,9.872480233003444,21.68583122000564,48.84304213384097,26.6072346568715,False
gptoss120-medium,full-source-control,ok,13485,1494,458,44.74321738676474,1026,38.5553984329963,61.508369676994334,44.700095211781715,16.680656720182093,False
gptoss120-medium,merged-summary-synthesis,ok,2093,2254,402,48.91239076558377,1843,12.941129748003732,50.67966840900044,48.8360192363454,36.365668084613844,False
