elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,0.0,4286480384,15663202304,25077792768,1329512448,2117828608,1857994752,185334005760,169558016,0,0,7421952,True
2.022,loading,0.0,2794799104,15872229376,17712791552,1391673344,10739810304,1857716224,185334988800,169558016,0,0,8585134080,True
2.066,development-extraction,0.0,2809364480,15853977600,17712939008,1391788032,10739826688,1857617920,185335054336,169558016,0,0,8589475840,True
4.09,development-extraction,0.0,619298816,16020340736,17714151424,1439301632,12841795584,1793753088,185342525440,169558016,0,0,8637874176,True
6.111,development-extraction,0.0,93126656,17171709952,17714216960,1190625280,12485197824,1791213568,185344000000,169852928,0,0,9313959936,True
8.137,development-extraction,0.0,176029696,17271603200,17714233344,1174913024,12316409856,1790869504,185344163840,169852928,0,0,9313992704,True
10.161,development-extraction,0.0,694976512,17198972928,17714053120,1240416256,11809570816,1789968384,185344622592,169852928,0,0,9314041856,True
12.203,development-summary,0.0,636387328,17207918592,17714561024,1320108032,11776262144,1789509632,185345376256,169852928,0,0,9370271744,True
14.231,development-summary,0.0,716029952,17584816128,17714937856,875134976,11763023872,1789476864,185346342912,169951232,0,0,9744482304,True
16.255,development-summary,0.0,74792960,18171772928,17714970624,872628224,11824742400,1789476864,185346899968,169951232,0,0,10418765824,True
18.279,development-summary,0.0,71630848,18231705600,17714921472,884424704,11757469696,1789476864,185346965504,169951232,0,0,10418798592,True
20.301,development-summary,0.0,61063168,18193006592,17714839552,855687168,11870289920,1776566272,185347129344,169951232,0,0,10418814976,True
22.325,development-summary,0.0,70762496,18230329344,17714855936,859701248,11826233344,1776451584,185347194880,169951232,0,0,10418847744,True
24.348,development-summary,0.0,61997056,18261622784,17714855936,858308608,11804164096,1776451584,185347260416,169951232,0,0,10418864128,True
26.372,development-summary,0.0,72417280,18292244480,17715707904,861487104,11755978752,1776386048,185347325952,169951232,0,0,10418880512,True
28.413,H1-extraction,0.0,74629120,18326110208,17715658752,868384768,11713200128,1776386048,185347424256,169951232,0,0,10420011008,True
30.441,H1-extraction,0.0,665239552,17764663296,18316476416,187432960,11763515392,1776173056,185348128768,170082304,0,0,10850566144,True
32.465,H1-extraction,0.0,603144192,17750884352,18315837440,240140288,11791269888,1776173056,185348685824,170082304,0,0,10851205120,True
34.482,H1-extraction,0.0,60653568,18440699904,18207686656,227966976,11761729536,1776025600,185348980736,170377216,0,0,11523883008,True
36.499,H1-extraction,0.0,66142208,18421694464,18197839872,231489536,11785764864,1776025600,185349079040,170442752,0,0,11527028736,True
38.534,H1-extraction,0.0,66895872,18443927552,18192941056,244989952,11756290048,1776025600,185349308416,170459136,0,0,11527045120,True
40.561,H1-extraction,0.0,68517888,18424266752,18192777216,234176512,11785699328,1776025600,185349390336,170639360,0,0,11527077888,True
42.589,H1-extraction,0.0,66338816,18421547008,18192760832,254738432,11758534656,1776009216,185349799936,170967040,0,0,11527077888,True
44.614,H1-extraction,0.0,64667648,18406834176,18192842752,249315328,11782733824,1776009216,185349931008,171048960,0,0,11527077888,True
46.668,H1-summary,0.0,64307200,18413535232,18193580032,248774656,11777097728,1776009216,185350160384,171048960,0,0,11546198016,True
48.696,H1-summary,0.0,699547648,17736318976,18222612480,242450432,11798429696,1775992832,185350225920,171524096,0,0,11977523200,True
50.717,H1-summary,0.0,654196736,17767874560,18220908544,297467904,11759665152,1775992832,185350307840,171524096,0,0,11977523200,True
52.738,H1-summary,0.0,60751872,18413240320,18220826624,207159296,11798806528,1775910912,185350619136,171802624,0,0,12648644608,True
54.767,H1-summary,0.0,65781760,18437111808,18230083584,206848000,11756896256,1775910912,185350864896,172015616,0,0,12651790336,True
56.789,H1-summary,0.0,68386816,18414600192,18211897344,218284032,11785994240,1775910912,185350930432,172015616,0,0,12651790336,True
58.817,H1-summary,0.0,63848448,18436947968,18211880960,229588992,11754487808,1775910912,185351307264,172081152,0,0,12651790336,True
60.849,H1-summary,0.0,64454656,18417696768,18206900224,229048320,11783503872,1775828992,185351569408,172146688,0,0,12651790336,True
62.874,H1-summary,0.0,64569344,18438995968,18195529728,247021568,11756830720,1775828992,185351634944,172425216,0,0,12651790336,True
64.924,H2-extraction,0.0,66879488,18420727808,18178834432,252215296,11786289152,1775828992,185352093696,172556288,0,0,12696895488,True
66.958,H2-extraction,0.0,710901760,17765810176,18177310720,243466240,11807375360,1775796224,185353109504,172556288,0,0,13100646400,True
68.977,H2-extraction,0.0,682033152,17777573888,18176720896,277528576,11793137664,1775779840,185353175040,172556288,0,0,13100646400,True
70.995,H2-extraction,0.0,58966016,18462228480,18191892480,241844224,11754127360,1775779840,185353256960,172933120,0,0,13772292096,True
73.015,H2-extraction,0.0,66813952,18446237696,18195562496,219971584,11778490368,1775779840,185353322496,173244416,0,0,13775454208,True
75.038,H2-extraction,0.0,65437696,18452692992,18206392320,231505920,11748737024,1775779840,185353666560,173375488,0,0,13775454208,True
77.069,H2-extraction,0.0,61390848,18446368768,18194972672,223657984,11776212992,1775779840,185353912320,173391872,0,0,13775454208,True
79.094,H2-extraction,0.0,58982400,18455937024,18204082176,230277120,11750621184,1775779840,185353977856,173719552,0,0,13775454208,True
81.121,H2-extraction,0.0,62636032,18448646144,18198609920,221822976,11772624896,1775747072,185354059776,173883392,0,0,13775454208,True
83.151,H2-extraction,0.0,66306048,18446647296,18210062336,233357312,11750539264,1775747072,185354485760,174080000,0,0,13775470592,True
85.207,H2-summary,0.0,77905920,18471944192,18230984704,224952320,11696472064,1775747072,185354747904,174260224,0,0,13784907776,True
87.235,H2-summary,0.0,661241856,17794973696,18209144832,287784960,11750146048,1775747072,185354813440,174489600,0,0,14229438464,True
89.252,H2-summary,0.0,565510144,17798742016,18183258112,377798656,11778375680,1775747072,185354878976,174489600,0,0,14229438464,True
91.277,H2-summary,0.0,62013440,18457739264,18178785280,253984768,11754536960,1775747072,185355206656,174571520,0,0,14900559872,True
93.301,H2-summary,0.0,63504384,18454036480,18172690432,258113536,11759534080,1775747072,185355452416,174571520,0,0,14903705600,True
95.327,H2-summary,0.0,59834368,18454708224,18188812288,270630912,11736104960,1775747072,185355517952,174587904,0,0,14903705600,True
97.352,H2-summary,0.0,66699264,18448465920,18180210688,257785856,11753914368,1775747072,185355780096,174620672,0,0,14903705600,True
99.384,H2-summary,0.0,60899328,18455396352,18183749632,276905984,11738447872,1775730688,185355993088,174997504,0,0,14903721984,True
101.419,H2-summary,0.0,63569920,18453233664,18180128768,258719744,11753848832,1775730688,185356271616,175128576,0,0,14903721984,True
103.469,H3-extraction,0.0,65110016,18454790144,18190729216,279183360,11719065600,1775730688,185356369920,175128576,0,0,14904410112,True
105.494,H3-extraction,0.0,639451136,17828757504,18176507904,290766848,11773050880,1775730688,185356533760,175341568,0,0,15355035648,True
107.517,H3-extraction,0.0,562069504,17803952128,18175770624,363298816,11803492352,1775730688,185356599296,175341568,0,0,15355052032,True
109.536,H3-extraction,0.0,65863680,18444206080,18192596992,238338048,11765252096,1775730688,185357058048,175652864,0,0,16029319168,True
