0.00.039.469 I cmn  common_param: common_params_print_info: build 10852 (050dde50c) with AppleClang 21.0.0.21000101 for Darwin arm64
0.00.505.274 I load_tensors: offloaded 49/49 layers to GPU
0.00.505.276 I load_tensors:   CPU_Mapped model buffer size =   787.50 MiB
0.00.505.277 I load_tensors:  MTL0_Mapped model buffer size =  7024.35 MiB
0.00.507.098 I llama_context: n_ctx                 = 32768
0.00.507.225 I llama_context:        CPU  output buffer size =     1.00 MiB
0.00.515.561 I llama_kv_cache:       MTL0 KV buffer size =   512.00 MiB
0.00.537.710 I llama_kv_cache:       MTL0 KV buffer size =   480.00 MiB
0.00.559.541 I sched_reserve:       MTL0 compute buffer size =   193.86 MiB
0.00.559.546 I sched_reserve:        CPU compute buffer size =    48.52 MiB
0.00.647.313 I slot   load_model: id  0 | task -1 | new slot, n_ctx = 32768
0.05.885.542 D slot handle_last_: id  0 | task 0 | slot decode token, id=236796, n_ctx = 32768, n_tokens = 2451, truncated = 0
0.05.926.104 D slot handle_last_: id  0 | task 0 | slot decode token, id=236772, n_ctx = 32768, n_tokens = 2452, truncated = 0
0.05.964.489 D slot handle_last_: id  0 | task 0 | slot decode token, id=236935, n_ctx = 32768, n_tokens = 2453, truncated = 0
0.06.002.133 D slot handle_last_: id  0 | task 0 | slot decode token, id=236770, n_ctx = 32768, n_tokens = 2454, truncated = 0
0.06.041.083 D slot handle_last_: id  0 | task 0 | slot decode token, id=236787, n_ctx = 32768, n_tokens = 2455, truncated = 0
0.06.078.577 D slot handle_last_: id  0 | task 0 | slot decode token, id=35028, n_ctx = 32768, n_tokens = 2456, truncated = 0
0.06.117.924 D slot handle_last_: id  0 | task 0 | slot decode token, id=31872, n_ctx = 32768, n_tokens = 2457, truncated = 0
0.06.157.598 D slot handle_last_: id  0 | task 0 | slot decode token, id=964, n_ctx = 32768, n_tokens = 2458, truncated = 0
0.06.195.127 D slot handle_last_: id  0 | task 0 | slot decode token, id=5540, n_ctx = 32768, n_tokens = 2459, truncated = 0
0.06.234.802 D slot handle_last_: id  0 | task 0 | slot decode token, id=236764, n_ctx = 32768, n_tokens = 2460, truncated = 0
0.06.272.248 D slot handle_last_: id  0 | task 0 | slot decode token, id=840, n_ctx = 32768, n_tokens = 2461, truncated = 0
0.06.310.506 D slot handle_last_: id  0 | task 0 | slot decode token, id=1186, n_ctx = 32768, n_tokens = 2462, truncated = 0
0.06.349.101 D slot handle_last_: id  0 | task 0 | slot decode token, id=2390, n_ctx = 32768, n_tokens = 2463, truncated = 0
0.06.386.618 D slot handle_last_: id  0 | task 0 | slot decode token, id=964, n_ctx = 32768, n_tokens = 2464, truncated = 0
0.06.425.410 D slot handle_last_: id  0 | task 0 | slot decode token, id=577, n_ctx = 32768, n_tokens = 2465, truncated = 0
0.06.462.875 D slot handle_last_: id  0 | task 0 | slot decode token, id=47460, n_ctx = 32768, n_tokens = 2466, truncated = 0
0.06.501.723 D slot handle_last_: id  0 | task 0 | slot decode token, id=1651, n_ctx = 32768, n_tokens = 2467, truncated = 0
0.06.540.212 D slot handle_last_: id  0 | task 0 | slot decode token, id=1156, n_ctx = 32768, n_tokens = 2468, truncated = 0
0.06.577.857 D slot handle_last_: id  0 | task 0 | slot decode token, id=3496, n_ctx = 32768, n_tokens = 2469, truncated = 0
0.06.616.661 D slot handle_last_: id  0 | task 0 | slot decode token, id=24096, n_ctx = 32768, n_tokens = 2470, truncated = 0
0.06.653.799 D slot handle_last_: id  0 | task 0 | slot decode token, id=496, n_ctx = 32768, n_tokens = 2471, truncated = 0
0.06.692.944 D slot handle_last_: id  0 | task 0 | slot decode token, id=222137, n_ctx = 32768, n_tokens = 2472, truncated = 0
0.06.730.899 D slot handle_last_: id  0 | task 0 | slot decode token, id=17940, n_ctx = 32768, n_tokens = 2473, truncated = 0
0.06.769.501 D slot handle_last_: id  0 | task 0 | slot decode token, id=236761, n_ctx = 32768, n_tokens = 2474, truncated = 0
0.06.807.997 D slot handle_last_: id  0 | task 0 | slot decode token, id=623, n_ctx = 32768, n_tokens = 2475, truncated = 0
0.06.845.606 D slot handle_last_: id  0 | task 0 | slot decode token, id=75683, n_ctx = 32768, n_tokens = 2476, truncated = 0
0.06.884.755 D slot handle_last_: id  0 | task 0 | slot decode token, id=964, n_ctx = 32768, n_tokens = 2477, truncated = 0
0.06.921.990 D slot handle_last_: id  0 | task 0 | slot decode token, id=5540, n_ctx = 32768, n_tokens = 2478, truncated = 0
0.06.960.625 D slot handle_last_: id  0 | task 0 | slot decode token, id=573, n_ctx = 32768, n_tokens = 2479, truncated = 0
0.06.998.973 D slot handle_last_: id  0 | task 0 | slot decode token, id=14860, n_ctx = 32768, n_tokens = 2480, truncated = 0
0.07.036.653 D slot handle_last_: id  0 | task 0 | slot decode token, id=236764, n_ctx = 32768, n_tokens = 2481, truncated = 0
0.07.076.672 D slot handle_last_: id  0 | task 0 | slot decode token, id=532, n_ctx = 32768, n_tokens = 2482, truncated = 0
0.07.115.705 D slot handle_last_: id  0 | task 0 | slot decode token, id=2390, n_ctx = 32768, n_tokens = 2483, truncated = 0
0.07.154.212 D slot handle_last_: id  0 | task 0 | slot decode token, id=529, n_ctx = 32768, n_tokens = 2484, truncated = 0
0.07.193.421 D slot handle_last_: id  0 | task 0 | slot decode token, id=1091, n_ctx = 32768, n_tokens = 2485, truncated = 0
0.07.231.672 D slot handle_last_: id  0 | task 0 | slot decode token, id=964, n_ctx = 32768, n_tokens = 2486, truncated = 0
0.07.270.413 D slot handle_last_: id  0 | task 0 | slot decode token, id=48612, n_ctx = 32768, n_tokens = 2487, truncated = 0
0.07.311.376 D slot handle_last_: id  0 | task 0 | slot decode token, id=577, n_ctx = 32768, n_tokens = 2488, truncated = 0
0.07.351.318 D slot handle_last_: id  0 | task 0 | slot decode token, id=47460, n_ctx = 32768, n_tokens = 2489, truncated = 0
0.07.394.126 D slot handle_last_: id  0 | task 0 | slot decode token, id=236775, n_ctx = 32768, n_tokens = 2490, truncated = 0
0.07.433.408 D slot handle_last_: id  0 | task 0 | slot decode token, id=870, n_ctx = 32768, n_tokens = 2491, truncated = 0
0.07.479.403 D slot handle_last_: id  0 | task 0 | slot decode token, id=25323, n_ctx = 32768, n_tokens = 2492, truncated = 0
0.07.519.591 D slot handle_last_: id  0 | task 0 | slot decode token, id=510, n_ctx = 32768, n_tokens = 2493, truncated = 0
0.07.558.957 D slot handle_last_: id  0 | task 0 | slot decode token, id=236761, n_ctx = 32768, n_tokens = 2494, truncated = 0
0.07.596.461 D slot handle_last_: id  0 | task 0 | slot decode token, id=236743, n_ctx = 32768, n_tokens = 2495, truncated = 0
0.07.635.266 D slot handle_last_: id  0 | task 0 | slot decode token, id=236770, n_ctx = 32768, n_tokens = 2496, truncated = 0
0.07.677.012 D slot handle_last_: id  0 | task 0 | slot decode token, id=236771, n_ctx = 32768, n_tokens = 2497, truncated = 0
0.07.715.932 D slot handle_last_: id  0 | task 0 | slot decode token, id=236778, n_ctx = 32768, n_tokens = 2498, truncated = 0
0.07.753.493 D slot handle_last_: id  0 | task 0 | slot decode token, id=1619, n_ctx = 32768, n_tokens = 2499, truncated = 0
0.07.792.610 D slot handle_last_: id  0 | task 0 | slot decode token, id=108, n_ctx = 32768, n_tokens = 2500, truncated = 0
0.07.830.187 D slot handle_last_: id  0 | task 0 | slot decode token, id=236796, n_ctx = 32768, n_tokens = 2501, truncated = 0
0.07.869.381 D slot handle_last_: id  0 | task 0 | slot decode token, id=236772, n_ctx = 32768, n_tokens = 2502, truncated = 0
0.07.908.518 D slot handle_last_: id  0 | task 0 | slot decode token, id=236935, n_ctx = 32768, n_tokens = 2503, truncated = 0
0.07.946.741 D slot handle_last_: id  0 | task 0 | slot decode token, id=236778, n_ctx = 32768, n_tokens = 2504, truncated = 0
0.07.986.284 D slot handle_last_: id  0 | task 0 | slot decode token, id=236787, n_ctx = 32768, n_tokens = 2505, truncated = 0
0.08.025.623 D slot handle_last_: id  0 | task 0 | slot decode token, id=669, n_ctx = 32768, n_tokens = 2506, truncated = 0
0.08.063.388 D slot handle_last_: id  0 | task 0 | slot decode token, id=16622, n_ctx = 32768, n_tokens = 2507, truncated = 0
0.08.102.350 D slot handle_last_: id  0 | task 0 | slot decode token, id=13963, n_ctx = 32768, n_tokens = 2508, truncated = 0
0.08.141.595 D slot handle_last_: id  0 | task 0 | slot decode token, id=506, n_ctx = 32768, n_tokens = 2509, truncated = 0
0.08.179.438 D slot handle_last_: id  0 | task 0 | slot decode token, id=236743, n_ctx = 32768, n_tokens = 2510, truncated = 0
0.08.218.612 D slot handle_last_: id  0 | task 0 | slot decode token, id=236800, n_ctx = 32768, n_tokens = 2511, truncated = 0
0.08.258.294 D slot handle_last_: id  0 | task 0 | slot decode token, id=236810, n_ctx = 32768, n_tokens = 2512, truncated = 0
0.08.295.683 D slot handle_last_: id  0 | task 0 | slot decode token, id=236764, n_ctx = 32768, n_tokens = 2513, truncated = 0
0.08.334.648 D slot handle_last_: id  0 | task 0 | slot decode token, id=236771, n_ctx = 32768, n_tokens = 2514, truncated = 0
0.08.372.285 D slot handle_last_: id  0 | task 0 | slot decode token, id=236771, n_ctx = 32768, n_tokens = 2515, truncated = 0
0.08.411.132 D slot handle_last_: id  0 | task 0 | slot decode token, id=236771, n_ctx = 32768, n_tokens = 2516, truncated = 0
0.08.450.542 D slot handle_last_: id  0 | task 0 | slot decode token, id=19867, n_ctx = 32768, n_tokens = 2517, truncated = 0
0.08.488.035 D slot handle_last_: id  0 | task 0 | slot decode token, id=531, n_ctx = 32768, n_tokens = 2518, truncated = 0
0.08.527.041 D slot handle_last_: id  0 | task 0 | slot decode token, id=506, n_ctx = 32768, n_tokens = 2519, truncated = 0
0.08.568.381 D slot handle_last_: id  0 | task 0 | slot decode token, id=4251, n_ctx = 32768, n_tokens = 2520, truncated = 0
0.08.606.514 D slot handle_last_: id  0 | task 0 | slot decode token, id=3962, n_ctx = 32768, n_tokens = 2521, truncated = 0
0.08.644.271 D slot handle_last_: id  0 | task 0 | slot decode token, id=236772, n_ctx = 32768, n_tokens = 2522, truncated = 0
0.08.683.281 D slot handle_last_: id  0 | task 0 | slot decode token, id=1496, n_ctx = 32768, n_tokens = 2523, truncated = 0
0.08.721.538 D slot handle_last_: id  0 | task 0 | slot decode token, id=623, n_ctx = 32768, n_tokens = 2524, truncated = 0
0.08.760.563 D slot handle_last_: id  0 | task 0 | slot decode token, id=236773, n_ctx = 32768, n_tokens = 2525, truncated = 0
