model_id,request,status,prompt_tokens,completion_tokens_api,reasoning_characters,first_visible_seconds,last_visible_seconds,wall_seconds,words_whitespace,words_excluding_pdf_markers,prose_words_normalized,pdf_marker_count,parenthesized_numeric_marker_count,server_decode_tokens_per_second,timing_note
evo-gemma12-coding,development-extraction,ok,2451,140,0,3.828054915999928,9.156092541000021,9.19649037499994,80,75,74,2,0,25.89312176231195,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-coding,development-summary,ok,2387,273,0,3.7534463340000457,14.775540958999954,14.81742133399996,181,165,157,8,0,24.583708340330354,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-coding,H1-extraction,ok,3552,272,0,6.29797074999999,17.222046041,17.263883833000023,166,156,151,5,0,24.71427426260038,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-coding,H1-summary,ok,3442,281,0,6.21976508299997,17.553367125000022,17.595923749999997,192,173,165,8,0,24.61324245186573,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-coding,H2-extraction,ok,3744,296,0,6.900908791999996,18.830641833999948,18.873034374999975,189,181,177,4,0,24.641481068284214,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-coding,H2-summary,ok,3642,243,0,6.445090209,16.194481916999962,16.235997666999992,176,162,156,6,0,24.71864159420121,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-coding,H3-extraction,ok,3369,260,0,5.717553541999905,16.246787749999953,16.291352374999974,172,164,160,4,0,24.501452207694367,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-coding,H3-summary,ok,3262,249,0,5.513180250000005,15.539513040999964,15.58147299999996,184,169,162,7,0,24.631809081231538,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-coding,H4-extraction,ok,4096,267,0,7.653033290999929,18.377218749999997,18.41928304099997,175,167,163,4,0,24.708112202695695,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-coding,H4-summary,ok,3998,242,0,7.136776749999967,16.881152250000014,16.92338374999997,177,163,156,7,0,24.627579394053228,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-coding,full-source-control,ok,13773,572,0,29.604441249999923,54.629777833999924,54.67538066700001,400,400,364,0,18,22.77619022546434,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-coding,merged-summary-synthesis,ok,1220,969,0,1.9887751659999822,40.92013637499997,40.961976916000026,689,627,599,28,0,24.83727352216811,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
