elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,0.0,1839087616,10241048576,35121266688,87506944,2258616320,996196352,75500699648,48578560,0,0,1867776,True
2.026,loading,0.0,349437952,10474061824,28161196032,92176384,10476027904,996196352,75507810304,48578560,0,0,8179482624,True
2.074,development-extraction,0.0,349978624,10476322816,28161343488,92192768,10476044288,996196352,75508154368,48578560,0,0,8181006336,True
4.101,development-extraction,0.0,61669376,10775838720,28071149568,91258880,10554753024,996196352,75509088256,48693248,0,0,8567685120,True
6.128,development-extraction,0.0,58916864,11002150912,27764981760,195936256,10554245120,970719232,75509399552,48693248,0,0,8908226560,True
8.155,development-extraction,0.0,58097664,10816962560,27744272384,399441920,10552541184,970719232,75509465088,48873472,0,0,8908242944,True
10.193,development-summary,0.0,60833792,10839195648,27689631744,513015808,10472030208,970964992,75509809152,49233920,0,0,8987131904,True
12.224,development-summary,0.0,182468608,11061624832,27098316800,681607168,10549886976,972308480,75510235136,49348608,0,0,9673834496,True
14.248,development-summary,0.0,66437120,11403526144,27096694784,459358208,10549592064,972308480,75510398976,49364992,0,0,10012590080,True
16.279,development-summary,0.0,65716224,11403247616,27096694784,463355904,10547986432,972308480,75510775808,49643520,0,0,10012622848,True
18.307,development-summary,0.0,63012864,11360534528,27096694784,513966080,10544709632,972275712,75511300096,49659904,0,0,10012688384,True
20.329,development-summary,0.0,60112896,11370250240,27096694784,506429440,10542825472,972161024,75511529472,49987584,0,0,10012721152,True
22.379,H1-extraction,0.0,58802176,11372658688,27096694784,509689856,10539433984,972161024,75511611392,50102272,0,0,10036789248,True
24.405,H1-extraction,0.0,584597504,11805999104,26148110336,499499008,10538549248,972161024,75512119296,50626560,0,0,10445111296,True
26.424,H1-extraction,0.0,85704704,12220940288,26148159488,587202560,10537025536,972111872,75512758272,50626560,0,0,10781016064,True
28.441,H1-extraction,0.0,82034688,12539510784,26059702272,359038976,10537238528,972111872,75513298944,50757632,0,0,11121262592,True
30.474,H1-extraction,0.0,60293120,12523339776,26059735040,400130048,10535976960,972111872,75514150912,51642368,0,0,11121262592,True
32.507,H1-extraction,0.0,60309504,12510216192,26018840576,455720960,10533519360,972062720,75514773504,51757056,0,0,11121311744,True
34.54,H1-summary,0.0,60686336,12507119616,25966362624,509820928,10529161216,972062720,75515084800,52084736,0,0,11156766720,True
36.565,H1-summary,0.0,563527680,12941459456,24889933824,652689408,10528358400,972046336,75515166720,52101120,0,0,11570806784,True
38.587,H1-summary,0.0,62717952,13610811392,24888393728,480477184,10528358400,972046336,75515248640,52150272,0,0,12241944576,True
40.607,H1-summary,0.0,63062016,13612711936,24885280768,490291200,10526294016,972046336,75515707392,52314112,0,0,12245090304,True
42.64,H1-summary,0.0,58245120,13612072960,24885411840,498155520,10523131904,972046336,75515789312,52314112,0,0,12245090304,True
44.662,H1-summary,0.0,60768256,13614006272,24885493760,493502464,10520510464,972046336,75515887616,52330496,0,0,12245090304,True
46.694,H1-summary,0.0,66240512,13614071808,24885690368,490962944,10517479424,972046336,75516477440,52822016,0,0,12245090304,True
48.717,H1-summary,0.0,68075520,13611155456,24885739520,497762304,10513711104,972046336,75516559360,52822016,0,0,12245090304,True
50.741,H1-summary,0.0,60522496,13606273024,24813027328,457687040,10639081472,971620352,75519164416,53297152,0,0,12245106688,True
52.788,H2-extraction,0.0,87523328,13762772992,24813191168,484540416,10429235200,971620352,75519787008,53346304,0,0,12279267328,True
54.82,H2-extraction,0.0,571097088,14133723136,23772823552,590266368,10506502144,971620352,75519885312,53346304,0,0,12695666688,True
56.845,H2-extraction,0.0,422051840,14112145408,23772823552,763887616,10506502144,971620352,75519950848,53346304,0,0,12695666688,True
58.866,H2-extraction,0.0,59047936,14773108736,23772692480,466599936,10506027008,971620352,75520262144,53755904,0,0,13370474496,True
60.886,H2-extraction,0.0,60391424,14766112768,23772741632,473432064,10503421952,971620352,75520786432,53772288,0,0,13370474496,True
62.909,H2-extraction,0.0,66109440,14746189824,23772971008,489816064,10500571136,971620352,75520901120,53821440,0,0,13370490880,True
64.94,H2-extraction,0.0,60686336,14746419200,23772987392,505282560,10496688128,971620352,75521228800,54214656,0,0,13370490880,True
66.977,H2-extraction,0.0,67207168,14746075136,23773036544,499089408,10493706240,971620352,75521474560,54214656,0,0,13370507264,True
69.025,H2-summary,0.0,60899328,14826438656,23773167616,509132800,10410524672,971620352,75521540096,54263808,0,0,13396197376,True
71.049,H2-summary,0.0,541163520,15202729984,22673801216,677773312,10485514240,971620352,75521605632,54476800,0,0,13824983040,True
73.069,H2-summary,0.0,60522496,15538520064,22673784832,816807936,10483466240,971620352,75521671168,54509568,0,0,14160543744,True
75.086,H2-summary,0.0,60407808,15876210688,22674079744,481443840,10481090560,971620352,75522015232,54706176,0,0,14499250176,True
77.118,H2-summary,0.0,64782336,15883812864,22674358272,479477760,10476584960,970129408,75523719168,54706176,0,0,14499250176,True
79.141,H2-summary,0.0,65880064,15882043392,22674620416,487424000,10470473728,970113024,75526471680,54738944,0,0,14499250176,True
81.161,H2-summary,0.0,66273280,15882272768,22674685952,492568576,10465132544,970096640,75526897664,55164928,0,0,14499250176,True
83.206,H3-extraction,0.0,64307200,15961636864,22675161088,498204672,10380230656,970096640,75526995968,55541760,0,0,14540619776,True
85.231,H3-extraction,0.0,591429632,16334536704,21675474944,519815168,10456399872,970080256,75527340032,55623680,0,0,14950760448,True
87.252,H3-extraction,0.0,66633728,17016832000,21631385600,411435008,10453565440,970063872,75527897088,55836672,0,0,15621898240,True
89.267,H3-extraction,0.0,62504960,17018159104,21603827712,446038016,10448437248,970063872,75527995392,56049664,0,0,15625043968,True
91.295,H3-extraction,0.0,60178432,17016520704,21598978048,459603968,10443538432,970063872,75528241152,56066048,0,0,15625043968,True
93.327,H3-extraction,0.0,61112320,17013014528,21599518720,460947456,10438524928,970063872,75528536064,56541184,0,0,15625043968,True
95.36,H3-extraction,0.0,65044480,17013178368,21599240192,466452480,10438066176,970063872,75528650752,56655872,0,0,15625043968,True
97.412,H3-summary,0.0,64471040,17018388480,21599305728,459554816,10437033984,970063872,75529256960,56672256,0,0,15655059456,True
99.443,H3-summary,0.0,595017728,17466474496,20524515328,557236224,10436657152,970063872,75529322496,56672256,0,0,16073015296,True
101.468,H3-summary,0.0,69287936,18135252992,20524580864,414318592,10436673536,970063872,75529797632,56983552,0,0,16744153088,True
103.49,H3-summary,0.0,66027520,18137055232,20503461888,429867008,10437705728,970063872,75530043392,57016320,0,0,16747298816,True
105.52,H3-summary,0.0,62865408,18136694784,20457717760,477462528,10437705728,970063872,75530125312,61669376,0,0,16747298816,True
107.548,H3-summary,0.0,65323008,18139840512,20449017856,493420544,10436722688,970063872,75530436608,62160896,0,0,16747298816,True
109.577,H3-summary,0.0,59047936,18125553664,20324089856,503365632,10565795840,970063872,75530682368,62160896,0,0,16747315200,True
111.605,H3-summary,0.0,64454656,18134794240,20302970880,519716864,10558652416,970063872,75530747904,62177280,0,0,16747315200,True
113.647,H4-extraction,0.0,75366400,18272141312,20302987264,570753024,10356277248,970063872,75531223040,70467584,0,0,16630087680,True
115.674,H4-extraction,0.0,566394880,17556766720,20302970880,719929344,10434035712,970063872,75531829248,70500352,0,0,16117776384,True
117.7,H4-extraction,0.0,60751872,17891950592,20302921728,891633664,10434297856,969408512,75532894208,70500352,0,0,16453337088,True
119.724,H4-extraction,0.0,66666496,18227920896,20303069184,553041920,10434510848,969408512,75533254656,70500352,0,0,16792862720,True
121.751,H4-extraction,0.0,66371584,18178211840,20302970880,597573632,10433609728,969408512,75533697024,70844416,0,0,16792862720,True
123.774,H4-extraction,0.0,60342272,18175344640,20302675968,606273536,10433576960,969408512,75534336000,70909952,0,0,16792862720,True
125.795,H4-extraction,0.0,62554112,18175229952,20302610432,605306880,10433249280,969408512,75534401536,70926336,0,0,16792862720,True
127.841,H4-summary,0.0,59981824,18234146816,20302479360,635289600,10353459200,969408512,75534467072,70926336,0,0,16427991040,True
129.865,H4-summary,0.0,558809088,17529585664,20302479360,758022144,10431512576,969408512,75534532608,70926336,0,0,16145776640,True
131.884,H4-summary,0.0,65142784,17864884224,20302479360,916783104,10431660032,969408512,75534598144,70926336,0,0,16481353728,True
133.907,H4-summary,0.0,60391424,18202624000,20302348288,582729728,10432528384,969408512,75534942208,71188480,0,0,16820060160,True
135.932,H4-summary,0.0,60145664,18201722880,20301742080,584056832,10432446464,969408512,75535171584,71237632,0,0,16820060160,True
137.965,H4-summary,0.0,58474496,18201067520,20302200832,587579392,10432446464,969408512,75535237120,71237632,0,0,16820060160,True
139.997,H4-summary,0.0,65437696,18201460736,20302053376,580304896,10432446464,969375744,75535679488,71778304,0,0,16820060160,True
142.024,H4-summary,0.0,63176704,18195120128,20301922304,584761344,10432118784,969375744,75535925248,71778304,0,0,16820060160,True
144.067,merged-summary-synthesis,0.0,63635456,18197643264,20302036992,591757312,10430464000,969375744,75536744448,71778304,0,0,16423010304,True
146.09,merged-summary-synthesis,0.0,66076672,18214993920,20302200832,566214656,10432249856,969359360,75537399808,72155136,0,0,16820322304,True
148.12,merged-summary-synthesis,0.0,62373888,18215632896,20302528512,566853632,10432004096,969359360,75537940480,72204288,0,0,16820322304,True
150.151,merged-summary-synthesis,0.0,67813376,18216222720,20302675968,560414720,10431922176,969359360,75538006016,80494592,0,0,16820322304,True
152.178,merged-summary-synthesis,0.0,60342272,18218909696,20302610432,564985856,10431971328,969293824,75538071552,80674816,0,0,16820322304,True
154.207,merged-summary-synthesis,0.0,62947328,18217041920,20302741504,566738944,10431938560,969293824,75538415616,81166336,0,0,16820322304,True
156.243,merged-summary-synthesis,0.0,64700416,18217861120,20302839808,562249728,10431889408,969293824,75538644992,81166336,0,0,16820322304,True
158.272,merged-summary-synthesis,0.0,62668800,18221481984,20302921728,560168960,10431365120,969293824,75538710528,81166336,0,0,16820322304,True
160.296,merged-summary-synthesis,0.0,64847872,18219859968,20302823424,562495488,10431365120,969293824,75538776064,81231872,0,0,16820322304,True
162.324,merged-summary-synthesis,0.0,62930944,18214912000,20302856192,568049664,10431348736,969293824,75539087360,81756160,0,0,16820322304,True
164.36,merged-summary-synthesis,0.0,60702720,18214715392,20302954496,567115776,10431397888,969293824,75539349504,81756160,0,0,16820322304,True
166.392,merged-summary-synthesis,0.0,66600960,18219171840,20302987264,562987008,10431479808,969293824,75539415040,81756160,0,0,16820338688,True
168.421,merged-summary-synthesis,0.0,64454656,18216861696,20303003648,566951936,10431545344,969293824,75539513344,81805312,0,0,16820355072,True
170.453,merged-summary-synthesis,0.0,65421312,18204180480,20303036416,446857216,10559537152,969261056,75539955712,87015424,0,0,16820355072,True
172.481,merged-summary-synthesis,0.0,58998784,18328485888,20303118336,454705152,10431561728,969261056,75540201472,87015424,0,0,16820371456,True
174.506,merged-summary-synthesis,0.0,64733184,18286936064,20303233024,495140864,10430939136,969261056,75540283392,87457792,0,0,16820371456,True
176.532,merged-summary-synthesis,0.0,63078400,18266030080,20303003648,520241152,10430939136,969261056,75540594688,87523328,0,0,16820387840,True
178.557,merged-summary-synthesis,0.0,64700416,18259918848,20354793472,459833344,10430644224,969261056,77026803712,87818240,0,0,16820387840,True
180.592,merged-summary-synthesis,0.0,74153984,18243829760,20442873856,389857280,10430644224,969261056,80004825088,87982080,0,0,16820387840,True
182.628,merged-summary-synthesis,0.0,64667648,18219204608,20491943936,374439936,10430644224,969261056,82773508096,88162304,0,0,16820387840,True
184.674,merged-summary-synthesis,0.0,58392576,18210832384,20483735552,394657792,10430676992,969261056,82925436928,88506368,0,0,16820387840,True
186.744,full-source-control,0.0,58343424,18215550976,20445773824,424378368,10429530112,969261056,82925502464,88506368,0,0,16821862400,True
188.769,full-source-control,0.0,583843840,17520918528,20445790208,603488256,10428760064,969261056,82925977600,88506368,0,0,16130899968,True
190.791,full-source-control,0.0,388759552,17523441664,20445790208,794148864,10428956672,969261056,82926141440,88506368,0,0,16130899968,True
192.818,full-source-control,0.0,191315968,17524637696,20445790208,988397568,10428973056,969261056,82926206976,88506368,0,0,16133144576,True
194.842,full-source-control,0.0,58327040,17524146176,20445790208,1122844672,10428891136,969261056,82926288896,88506368,0,0,16135323648,True
196.874,full-source-control,0.0,60342272,17526554624,20445593600,1116028928,10428891136,969261056,82926731264,88702976,0,0,16138584064,True
198.891,full-source-control,0.0,58556416,17527586816,20445609984,1116569600,10428891136,969261056,82926944256,88768512,0,0,16140763136,True
200.907,full-source-control,0.0,60735488,17528897536,20445544448,1112113152,10428891136,969261056,82927042560,88834048,0,0,16142942208,True
202.932,full-source-control,0.0,64684032,17530355712,20445478912,1111097344,10428350464,969261056,82927108096,88834048,0,0,16146219008,True
204.956,full-source-control,0.0,62373888,17531469824,20445331456,1109147648,10428383232,969261056,82927190016,88834048,0,0,16148398080,True
206.98,full-source-control,0.0,58310656,17532289024,20445331456,1113325568,10428350464,969261056,82927255552,88834048,0,0,16150052864,True
208.999,full-source-control,0.0,60424192,18203852800,20445298688,443547648,10428317696,969261056,82927697920,89227264,0,0,16822550528,True
211.024,full-source-control,0.0,58179584,18208866304,20445364224,440041472,10429497344,969261056,82928386048,89243648,0,0,16825827328,True
213.057,full-source-control,0.0,59146240,18211487744,20445446144,433258496,10429431808,969228288,82928680960,89243648,0,0,16825827328,True
215.084,full-source-control,0.0,58540032,18211684352,20445446144,431734784,10429431808,969228288,82928779264,89554944,0,0,16825843712,True
217.107,full-source-control,0.0,68124672,18209619968,20445970432,432013312,10429399040,969211904,82929106944,89571328,0,0,16825860096,True
219.138,full-source-control,0.0,63176704,18209226752,20446052352,435273728,10429186048,969195520,82929401856,89636864,0,0,16825810944,True
221.17,full-source-control,0.0,65650688,18208882688,20432961536,446332928,10429186048,969195520,82929483776,89882624,0,0,16825810944,True
223.21,full-source-control,0.0,58540032,18211733504,20398735360,483721216,10429267968,969195520,82929762304,90128384,0,0,16825810944,True
225.241,full-source-control,0.0,62701568,18211536896,20379238400,500072448,10429202432,969195520,82930204672,90243072,0,0,16825810944,True
227.274,full-source-control,0.0,60293120,18199756800,20361232384,532971520,10428891136,969195520,82930286592,90390528,0,0,16825827328,True
229.302,full-source-control,0.0,67813376,18185076736,20289077248,485359616,10558455808,969195520,82930892800,90750976,0,0,16825827328,True
231.328,full-source-control,0.0,62439424,18155405312,20267646976,553025536,10544480256,969195520,82930958336,90816512,0,0,16825827328,True
233.361,full-source-control,0.0,67895296,18245910528,20267565056,570572800,10426974208,969195520,82931040256,90980352,0,0,16825827328,True
235.391,full-source-control,0.0,66322432,18221236224,20267745280,596246528,10426974208,969195520,82931662848,91439104,0,0,16825827328,True
