0.00.036.960 I cmn  common_param: common_params_print_info: build 10852 (050dde50c) with AppleClang 21.0.0.21000101 for Darwin arm64
0.00.509.179 I load_tensors: offloaded 49/49 layers to GPU
0.00.509.181 I load_tensors:   CPU_Mapped model buffer size =   787.50 MiB
0.00.509.181 I load_tensors:  MTL0_Mapped model buffer size =  6637.63 MiB
0.00.513.959 I llama_context: n_ctx                 = 32768
0.00.514.119 I llama_context:        CPU  output buffer size =     1.00 MiB
0.00.526.420 I llama_kv_cache:       MTL0 KV buffer size =   512.00 MiB
0.00.553.135 I llama_kv_cache:       MTL0 KV buffer size =   480.00 MiB
0.00.577.261 I sched_reserve:       MTL0 compute buffer size =   193.86 MiB
0.00.577.262 I sched_reserve:        CPU compute buffer size =    48.52 MiB
0.00.705.402 I slot   load_model: id  0 | task -1 | new slot, n_ctx = 32768
0.05.230.188 D slot handle_last_: id  0 | task 0 | slot decode token, id=236796, n_ctx = 32768, n_tokens = 2451, truncated = 0
0.05.261.934 D slot handle_last_: id  0 | task 0 | slot decode token, id=236772, n_ctx = 32768, n_tokens = 2452, truncated = 0
0.05.291.656 D slot handle_last_: id  0 | task 0 | slot decode token, id=236935, n_ctx = 32768, n_tokens = 2453, truncated = 0
0.05.321.531 D slot handle_last_: id  0 | task 0 | slot decode token, id=236770, n_ctx = 32768, n_tokens = 2454, truncated = 0
0.05.351.217 D slot handle_last_: id  0 | task 0 | slot decode token, id=236787, n_ctx = 32768, n_tokens = 2455, truncated = 0
0.05.380.890 D slot handle_last_: id  0 | task 0 | slot decode token, id=35028, n_ctx = 32768, n_tokens = 2456, truncated = 0
0.05.410.426 D slot handle_last_: id  0 | task 0 | slot decode token, id=31872, n_ctx = 32768, n_tokens = 2457, truncated = 0
0.05.440.002 D slot handle_last_: id  0 | task 0 | slot decode token, id=964, n_ctx = 32768, n_tokens = 2458, truncated = 0
0.05.469.642 D slot handle_last_: id  0 | task 0 | slot decode token, id=5540, n_ctx = 32768, n_tokens = 2459, truncated = 0
0.05.499.360 D slot handle_last_: id  0 | task 0 | slot decode token, id=573, n_ctx = 32768, n_tokens = 2460, truncated = 0
0.05.529.086 D slot handle_last_: id  0 | task 0 | slot decode token, id=14860, n_ctx = 32768, n_tokens = 2461, truncated = 0
0.05.558.715 D slot handle_last_: id  0 | task 0 | slot decode token, id=236764, n_ctx = 32768, n_tokens = 2462, truncated = 0
0.05.588.297 D slot handle_last_: id  0 | task 0 | slot decode token, id=840, n_ctx = 32768, n_tokens = 2463, truncated = 0
0.05.617.873 D slot handle_last_: id  0 | task 0 | slot decode token, id=1186, n_ctx = 32768, n_tokens = 2464, truncated = 0
0.05.647.595 D slot handle_last_: id  0 | task 0 | slot decode token, id=2390, n_ctx = 32768, n_tokens = 2465, truncated = 0
0.05.677.144 D slot handle_last_: id  0 | task 0 | slot decode token, id=8390, n_ctx = 32768, n_tokens = 2466, truncated = 0
0.05.707.021 D slot handle_last_: id  0 | task 0 | slot decode token, id=1547, n_ctx = 32768, n_tokens = 2467, truncated = 0
0.05.736.676 D slot handle_last_: id  0 | task 0 | slot decode token, id=506, n_ctx = 32768, n_tokens = 2468, truncated = 0
0.05.766.389 D slot handle_last_: id  0 | task 0 | slot decode token, id=9866, n_ctx = 32768, n_tokens = 2469, truncated = 0
0.05.795.916 D slot handle_last_: id  0 | task 0 | slot decode token, id=1806, n_ctx = 32768, n_tokens = 2470, truncated = 0
0.05.825.522 D slot handle_last_: id  0 | task 0 | slot decode token, id=964, n_ctx = 32768, n_tokens = 2471, truncated = 0
0.05.855.094 D slot handle_last_: id  0 | task 0 | slot decode token, id=10683, n_ctx = 32768, n_tokens = 2472, truncated = 0
0.05.884.972 D slot handle_last_: id  0 | task 0 | slot decode token, id=684, n_ctx = 32768, n_tokens = 2473, truncated = 0
0.05.914.606 D slot handle_last_: id  0 | task 0 | slot decode token, id=496, n_ctx = 32768, n_tokens = 2474, truncated = 0
0.05.944.246 D slot handle_last_: id  0 | task 0 | slot decode token, id=152815, n_ctx = 32768, n_tokens = 2475, truncated = 0
0.05.973.960 D slot handle_last_: id  0 | task 0 | slot decode token, id=991, n_ctx = 32768, n_tokens = 2476, truncated = 0
0.06.003.500 D slot handle_last_: id  0 | task 0 | slot decode token, id=17940, n_ctx = 32768, n_tokens = 2477, truncated = 0
0.06.033.258 D slot handle_last_: id  0 | task 0 | slot decode token, id=236761, n_ctx = 32768, n_tokens = 2478, truncated = 0
0.06.062.879 D slot handle_last_: id  0 | task 0 | slot decode token, id=623, n_ctx = 32768, n_tokens = 2479, truncated = 0
0.06.092.590 D slot handle_last_: id  0 | task 0 | slot decode token, id=75683, n_ctx = 32768, n_tokens = 2480, truncated = 0
0.06.122.555 D slot handle_last_: id  0 | task 0 | slot decode token, id=964, n_ctx = 32768, n_tokens = 2481, truncated = 0
0.06.152.486 D slot handle_last_: id  0 | task 0 | slot decode token, id=5540, n_ctx = 32768, n_tokens = 2482, truncated = 0
0.06.182.133 D slot handle_last_: id  0 | task 0 | slot decode token, id=573, n_ctx = 32768, n_tokens = 2483, truncated = 0
0.06.211.834 D slot handle_last_: id  0 | task 0 | slot decode token, id=14860, n_ctx = 32768, n_tokens = 2484, truncated = 0
0.06.241.361 D slot handle_last_: id  0 | task 0 | slot decode token, id=236764, n_ctx = 32768, n_tokens = 2485, truncated = 0
0.06.271.081 D slot handle_last_: id  0 | task 0 | slot decode token, id=532, n_ctx = 32768, n_tokens = 2486, truncated = 0
0.06.300.911 D slot handle_last_: id  0 | task 0 | slot decode token, id=2390, n_ctx = 32768, n_tokens = 2487, truncated = 0
0.06.330.534 D slot handle_last_: id  0 | task 0 | slot decode token, id=529, n_ctx = 32768, n_tokens = 2488, truncated = 0
0.06.360.264 D slot handle_last_: id  0 | task 0 | slot decode token, id=1091, n_ctx = 32768, n_tokens = 2489, truncated = 0
0.06.389.882 D slot handle_last_: id  0 | task 0 | slot decode token, id=964, n_ctx = 32768, n_tokens = 2490, truncated = 0
0.06.419.518 D slot handle_last_: id  0 | task 0 | slot decode token, id=48612, n_ctx = 32768, n_tokens = 2491, truncated = 0
0.06.449.447 D slot handle_last_: id  0 | task 0 | slot decode token, id=577, n_ctx = 32768, n_tokens = 2492, truncated = 0
0.06.479.080 D slot handle_last_: id  0 | task 0 | slot decode token, id=47460, n_ctx = 32768, n_tokens = 2493, truncated = 0
0.06.508.838 D slot handle_last_: id  0 | task 0 | slot decode token, id=1390, n_ctx = 32768, n_tokens = 2494, truncated = 0
0.06.538.567 D slot handle_last_: id  0 | task 0 | slot decode token, id=669, n_ctx = 32768, n_tokens = 2495, truncated = 0
0.06.568.091 D slot handle_last_: id  0 | task 0 | slot decode token, id=1774, n_ctx = 32768, n_tokens = 2496, truncated = 0
0.06.597.871 D slot handle_last_: id  0 | task 0 | slot decode token, id=1806, n_ctx = 32768, n_tokens = 2497, truncated = 0
0.06.627.491 D slot handle_last_: id  0 | task 0 | slot decode token, id=3382, n_ctx = 32768, n_tokens = 2498, truncated = 0
0.06.657.048 D slot handle_last_: id  0 | task 0 | slot decode token, id=66894, n_ctx = 32768, n_tokens = 2499, truncated = 0
0.06.686.745 D slot handle_last_: id  0 | task 0 | slot decode token, id=964, n_ctx = 32768, n_tokens = 2500, truncated = 0
0.06.716.333 D slot handle_last_: id  0 | task 0 | slot decode token, id=531, n_ctx = 32768, n_tokens = 2501, truncated = 0
0.06.745.954 D slot handle_last_: id  0 | task 0 | slot decode token, id=577, n_ctx = 32768, n_tokens = 2502, truncated = 0
0.06.775.783 D slot handle_last_: id  0 | task 0 | slot decode token, id=15410, n_ctx = 32768, n_tokens = 2503, truncated = 0
0.06.805.495 D slot handle_last_: id  0 | task 0 | slot decode token, id=236764, n_ctx = 32768, n_tokens = 2504, truncated = 0
0.06.835.168 D slot handle_last_: id  0 | task 0 | slot decode token, id=840, n_ctx = 32768, n_tokens = 2505, truncated = 0
0.06.864.917 D slot handle_last_: id  0 | task 0 | slot decode token, id=506, n_ctx = 32768, n_tokens = 2506, truncated = 0
0.06.894.506 D slot handle_last_: id  0 | task 0 | slot decode token, id=13098, n_ctx = 32768, n_tokens = 2507, truncated = 0
0.06.924.300 D slot handle_last_: id  0 | task 0 | slot decode token, id=236772, n_ctx = 32768, n_tokens = 2508, truncated = 0
0.06.954.025 D slot handle_last_: id  0 | task 0 | slot decode token, id=1562, n_ctx = 32768, n_tokens = 2509, truncated = 0
0.06.983.668 D slot handle_last_: id  0 | task 0 | slot decode token, id=834, n_ctx = 32768, n_tokens = 2510, truncated = 0
0.07.013.418 D slot handle_last_: id  0 | task 0 | slot decode token, id=152815, n_ctx = 32768, n_tokens = 2511, truncated = 0
0.07.043.040 D slot handle_last_: id  0 | task 0 | slot decode token, id=991, n_ctx = 32768, n_tokens = 2512, truncated = 0
0.07.072.759 D slot handle_last_: id  0 | task 0 | slot decode token, id=914, n_ctx = 32768, n_tokens = 2513, truncated = 0
0.07.102.502 D slot handle_last_: id  0 | task 0 | slot decode token, id=4209, n_ctx = 32768, n_tokens = 2514, truncated = 0
0.07.132.144 D slot handle_last_: id  0 | task 0 | slot decode token, id=600, n_ctx = 32768, n_tokens = 2515, truncated = 0
0.07.161.736 D slot handle_last_: id  0 | task 0 | slot decode token, id=1156, n_ctx = 32768, n_tokens = 2516, truncated = 0
0.07.191.517 D slot handle_last_: id  0 | task 0 | slot decode token, id=529, n_ctx = 32768, n_tokens = 2517, truncated = 0
0.07.221.144 D slot handle_last_: id  0 | task 0 | slot decode token, id=506, n_ctx = 32768, n_tokens = 2518, truncated = 0
0.07.250.942 D slot handle_last_: id  0 | task 0 | slot decode token, id=47643, n_ctx = 32768, n_tokens = 2519, truncated = 0
0.07.280.676 D slot handle_last_: id  0 | task 0 | slot decode token, id=1390, n_ctx = 32768, n_tokens = 2520, truncated = 0
0.07.310.322 D slot handle_last_: id  0 | task 0 | slot decode token, id=11561, n_ctx = 32768, n_tokens = 2521, truncated = 0
0.07.340.012 D slot handle_last_: id  0 | task 0 | slot decode token, id=531, n_ctx = 32768, n_tokens = 2522, truncated = 0
0.07.369.665 D slot handle_last_: id  0 | task 0 | slot decode token, id=506, n_ctx = 32768, n_tokens = 2523, truncated = 0
0.07.399.261 D slot handle_last_: id  0 | task 0 | slot decode token, id=3866, n_ctx = 32768, n_tokens = 2524, truncated = 0
0.07.429.034 D slot handle_last_: id  0 | task 0 | slot decode token, id=16944, n_ctx = 32768, n_tokens = 2525, truncated = 0
0.07.458.857 D slot handle_last_: id  0 | task 0 | slot decode token, id=236775, n_ctx = 32768, n_tokens = 2526, truncated = 0
0.07.488.469 D slot handle_last_: id  0 | task 0 | slot decode token, id=870, n_ctx = 32768, n_tokens = 2527, truncated = 0
0.07.518.245 D slot handle_last_: id  0 | task 0 | slot decode token, id=25323, n_ctx = 32768, n_tokens = 2528, truncated = 0
0.07.547.872 D slot handle_last_: id  0 | task 0 | slot decode token, id=510, n_ctx = 32768, n_tokens = 2529, truncated = 0
0.07.577.513 D slot handle_last_: id  0 | task 0 | slot decode token, id=236761, n_ctx = 32768, n_tokens = 2530, truncated = 0
0.07.607.294 D slot handle_last_: id  0 | task 0 | slot decode token, id=236743, n_ctx = 32768, n_tokens = 2531, truncated = 0
0.07.636.891 D slot handle_last_: id  0 | task 0 | slot decode token, id=236770, n_ctx = 32768, n_tokens = 2532, truncated = 0
0.07.666.530 D slot handle_last_: id  0 | task 0 | slot decode token, id=236771, n_ctx = 32768, n_tokens = 2533, truncated = 0
0.07.696.297 D slot handle_last_: id  0 | task 0 | slot decode token, id=236778, n_ctx = 32768, n_tokens = 2534, truncated = 0
0.07.725.886 D slot handle_last_: id  0 | task 0 | slot decode token, id=1619, n_ctx = 32768, n_tokens = 2535, truncated = 0
0.07.755.632 D slot handle_last_: id  0 | task 0 | slot decode token, id=108, n_ctx = 32768, n_tokens = 2536, truncated = 0
0.07.785.229 D slot handle_last_: id  0 | task 0 | slot decode token, id=236796, n_ctx = 32768, n_tokens = 2537, truncated = 0
0.07.814.855 D slot handle_last_: id  0 | task 0 | slot decode token, id=236772, n_ctx = 32768, n_tokens = 2538, truncated = 0
0.07.844.744 D slot handle_last_: id  0 | task 0 | slot decode token, id=236935, n_ctx = 32768, n_tokens = 2539, truncated = 0
0.07.874.356 D slot handle_last_: id  0 | task 0 | slot decode token, id=236778, n_ctx = 32768, n_tokens = 2540, truncated = 0
0.07.904.110 D slot handle_last_: id  0 | task 0 | slot decode token, id=236787, n_ctx = 32768, n_tokens = 2541, truncated = 0
0.07.933.872 D slot handle_last_: id  0 | task 0 | slot decode token, id=3790, n_ctx = 32768, n_tokens = 2542, truncated = 0
0.07.963.534 D slot handle_last_: id  0 | task 0 | slot decode token, id=8249, n_ctx = 32768, n_tokens = 2543, truncated = 0
0.07.993.268 D slot handle_last_: id  0 | task 0 | slot decode token, id=528, n_ctx = 32768, n_tokens = 2544, truncated = 0
0.08.023.201 D slot handle_last_: id  0 | task 0 | slot decode token, id=506, n_ctx = 32768, n_tokens = 2545, truncated = 0
0.08.052.908 D slot handle_last_: id  0 | task 0 | slot decode token, id=17686, n_ctx = 32768, n_tokens = 2546, truncated = 0
0.08.082.729 D slot handle_last_: id  0 | task 0 | slot decode token, id=16622, n_ctx = 32768, n_tokens = 2547, truncated = 0
0.08.112.390 D slot handle_last_: id  0 | task 0 | slot decode token, id=236761, n_ctx = 32768, n_tokens = 2548, truncated = 0
0.08.142.054 D slot handle_last_: id  0 | task 0 | slot decode token, id=108, n_ctx = 32768, n_tokens = 2549, truncated = 0
0.08.172.237 D slot handle_last_: id  0 | task 0 | slot decode token, id=236796, n_ctx = 32768, n_tokens = 2550, truncated = 0
0.08.201.956 D slot handle_last_: id  0 | task 0 | slot decode token, id=236772, n_ctx = 32768, n_tokens = 2551, truncated = 0
0.08.231.774 D slot handle_last_: id  0 | task 0 | slot decode token, id=236935, n_ctx = 32768, n_tokens = 2552, truncated = 0
0.08.261.602 D slot handle_last_: id  0 | task 0 | slot decode token, id=236800, n_ctx = 32768, n_tokens = 2553, truncated = 0
0.08.291.290 D slot handle_last_: id  0 | task 0 | slot decode token, id=236787, n_ctx = 32768, n_tokens = 2554, truncated = 0
0.08.321.004 D slot handle_last_: id  0 | task 0 | slot decode token, id=3790, n_ctx = 32768, n_tokens = 2555, truncated = 0
