model_id,request,status,prompt_tokens,completion_tokens_api,reasoning_characters,first_visible_seconds,last_visible_seconds,wall_seconds,words_whitespace,words_excluding_pdf_markers,prose_words_normalized,pdf_marker_count,parenthesized_numeric_marker_count,server_decode_tokens_per_second,timing_note
evo-gemma12-qat,development-extraction,ok,2451,112,0,3.170457208,6.441631708000001,6.472292041000001,75,73,72,1,0,33.62551176665712,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-qat,development-summary,ok,2387,289,0,2.970069125,11.526557917,11.557145209,198,180,171,9,0,33.54097291880883,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-qat,H1-extraction,ok,3552,214,0,4.8331765,11.271919917000002,11.303305458,126,118,114,4,0,32.92399889016755,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-qat,H1-summary,ok,3442,386,0,4.7446867909999995,16.455035916,16.486671541,247,221,210,11,0,32.7904260813516,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-qat,H2-extraction,ok,3744,328,0,5.045750291999994,14.98904762499999,15.020857999999997,216,205,204,4,0,32.78401559676984,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-qat,H2-summary,ok,3642,254,0,4.829584250000011,12.488031958000008,12.519351208000003,182,167,160,7,0,32.904623801956305,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-qat,H3-extraction,ok,3369,313,0,4.381856749999997,13.794163583,13.825341332999997,204,190,189,5,0,33.04129208396301,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-qat,H3-summary,ok,3262,336,0,4.246082749999999,14.403643583000004,14.435641207999993,238,219,210,9,0,32.8794367978216,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-qat,H4-extraction,ok,4096,236,0,5.464912374999997,12.697727624999985,12.733008790999989,151,143,139,4,0,32.34776351004343,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-qat,H4-summary,ok,3998,327,0,5.244710083000001,15.454040332999995,15.486466167000003,222,203,194,9,0,31.833329280930982,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-qat,full-source-control,ok,13773,756,0,23.20863291699999,48.78912579199999,48.82498554199998,520,520,474,0,23,29.474547674026805,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-gemma12-qat,merged-summary-synthesis,ok,1508,1292,0,2.0075356250000027,42.184236,42.21631320899999,885,806,770,36,0,32.10705841223956,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
