model_id,request,status,visible_tokens_retokenized,first_content_delta_seconds,first_readable_delta_seconds,last_content_delta_seconds,visible_phase_seconds,wall_seconds,visible_phase_tokens_per_second,visible_tokens_per_total_wall_second
evo-gemma12-qat,development-extraction,ok,111,3.170457208,3.170457208,6.441631708000001,3.2711745000000008,6.472292041000001,33.932766350434676,17.150029587176963
evo-gemma12-qat,development-summary,ok,288,2.970069125,2.970069125,11.526557917,8.556488792,11.557145209,33.65866618901778,24.91964882259359
evo-gemma12-qat,H1-extraction,ok,213,4.8331765,4.8331765,11.271919917000002,6.438743417000001,11.303305458,33.08098897645512,18.844045292012137
evo-gemma12-qat,H1-summary,ok,385,4.7446867909999995,4.7446867909999995,16.455035916,11.710349125,16.486671541,32.876901951460816,23.35219689690305
evo-gemma12-qat,H2-extraction,ok,327,5.045750291999994,5.045750291999994,14.98904762499999,9.943297332999997,15.020857999999997,32.88647508455233,21.76972846690915
evo-gemma12-qat,H2-summary,ok,253,4.829584250000011,4.829584250000011,12.488031958000008,7.658447707999997,12.519351208000003,33.03541522333786,20.208714956277465
evo-gemma12-qat,H3-extraction,ok,312,4.381856749999997,4.381856749999997,13.794163583,9.412306833000002,13.825341332999997,33.148090636624055,22.567254759582728
evo-gemma12-qat,H3-summary,ok,335,4.246082749999999,4.246082749999999,14.403643583000004,10.157560833000005,14.435641207999993,32.98035872073225,23.206450975960013
evo-gemma12-qat,H4-extraction,ok,235,5.464912374999997,5.464912374999997,12.697727624999985,7.232815249999987,12.733008790999989,32.49080639796522,18.455967780851914
evo-gemma12-qat,H4-summary,ok,326,5.244710083000001,5.244710083000001,15.454040332999995,10.209330249999994,15.486466167000003,31.931575531117744,21.05063844033515
evo-gemma12-qat,merged-summary-synthesis,ok,1291,2.0075356250000027,2.0075356250000027,42.184236,40.176700374999996,42.21631320899999,32.13305194179974,30.58059555339794
evo-gemma12-qat,full-source-control,ok,755,23.20863291699999,23.20863291699999,48.78912579199999,25.580492875000004,48.82498554199998,29.514677597860782,15.463394235939665
