elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,1424689725.44,75005952,5119082496,40669528064,1555185664,2138669056,953401344,390341148672,377225216,227115008,1651179520,966656,True
2.024,loading,1424689725.44,65830912,5438717952,32773439488,1040351232,10257776640,954171392,390347816960,377405440,227115008,1651179520,8079540224,True
2.074,development-extraction,1424689725.44,79134720,5423661056,32773570560,1041399808,10257793024,954171392,390348980224,377405440,227115008,1651179520,8080687104,True
4.097,development-extraction,1424689725.44,63537152,5869912064,32773554176,549142528,10332553216,954236928,390350913536,377405440,227180544,1651179520,8705703936,True
6.117,development-extraction,1424689725.44,82116608,6115098624,32773554176,284196864,10333683712,954220544,390351142912,377405440,227180544,1651179520,8855044096,True
8.144,development-extraction,1424689725.44,64651264,6115999744,32773554176,303644672,10333683712,954204160,390351208448,377405440,227180544,1651179520,8855175168,True
10.187,development-summary,1424689725.44,93175808,6171082752,32773521408,291930112,10255679488,954204160,390351306752,377405440,227180544,1651179520,8889253888,True
12.217,development-summary,1424689725.44,68222976,6276087808,32771309568,141426688,10333437952,954204160,390351765504,377913344,227180544,1651179520,10459332608,True
14.235,development-summary,1424689725.44,58441728,6283132928,32771358720,142016512,10334453760,954269696,390352289792,377978880,227246080,1651179520,10462461952,True
16.262,development-summary,1424689725.44,68272128,6283149312,32771276800,133627904,10334519296,954269696,390352355328,378060800,227246080,1651179520,10462478336,True
18.289,development-summary,1424689725.44,64552960,6282641408,32771293184,136232960,10334584832,954302464,390352420864,378060800,227311616,1651179520,10462576640,True
20.317,development-summary,1424689725.44,87179264,6252249088,32771293184,147013632,10330734592,954286080,390352486400,378060800,227311616,1651179520,10462625792,True
22.361,H1-extraction,1424689725.44,66486272,6254821376,32771293184,161447936,10329718784,954236928,390352617472,378060800,227311616,1651179520,10463248384,True
24.392,H1-extraction,1424689725.44,780255232,7017201664,31416795136,46940160,10330177536,954236928,390353010688,378568704,227311616,1651179520,11391188992,True
26.422,H1-extraction,1424689725.44,62636032,8134918144,31025332224,35012608,10330406912,954236928,390353616896,378683392,227311616,1651179520,12511870976,True
28.446,H1-extraction,1424689725.44,62455808,8136785920,31022088192,33767424,10331799552,954236928,390353682432,378830848,227311616,1651179520,12514967552,True
30.472,H1-extraction,1424689725.44,57819136,8140144640,30888525824,40042496,10464837632,953401344,390353928192,378863616,227311616,1651179520,12514983936,True
32.502,H1-extraction,1424689725.44,59162624,8156069888,30770495488,161054720,10448519168,953401344,390354878464,378961920,227311616,1651179520,12514983936,True
34.55,H1-summary,1424689725.44,93519872,8233140224,30754078720,185630720,10330406912,953401344,390354944000,378978304,227311616,1651179520,12515295232,True
36.58,H1-summary,1424689725.44,1165770752,9503277056,28386590720,212074496,10331045888,953401344,390355009536,379338752,227311616,1651179520,13804994560,True
38.601,H1-summary,1424689725.44,61079552,10571382784,28386623488,246431744,10331275264,953401344,390355238912,379371520,227311616,1651179520,14884093952,True
40.63,H1-summary,1424689725.44,67567616,10554245120,28386607104,250593280,10332487680,953401344,390355517440,379387904,227311616,1651179520,14887190528,True
42.66,H1-summary,1424689725.44,77479936,10515103744,28386607104,279789568,10331963392,953401344,390355599360,379387904,227311616,1651179520,14887190528,True
44.686,H1-summary,1424689725.44,60030976,10502684672,28386607104,304070656,10331635712,953401344,390355664896,379387904,227311616,1651179520,14887190528,True
46.712,H1-summary,1424689725.44,65748992,10503323648,28386623488,297074688,10331734016,953401344,390355730432,379387904,227311616,1651179520,14887190528,True
48.753,H2-extraction,1424689725.44,66125824,10505519104,28386885632,295714816,10330341376,953401344,390355795968,379387904,227311616,1651179520,14887534592,True
50.782,H2-extraction,1424689725.44,1104773120,11781357568,26251788288,116080640,10330849280,953401344,390356189184,379502592,227311616,1651179520,16163471360,True
52.807,H2-extraction,1424689725.44,63733760,12962938880,26130595840,98091008,10331439104,953401344,390360301568,379748352,227311616,1651179520,17342365696,True
54.831,H2-extraction,1424689725.44,57999360,12964757504,26120798208,109887488,10332307456,953401344,390360367104,379781120,227311616,1651179520,17345445888,True
56.859,H2-extraction,1424689725.44,68780032,12963561472,26119438336,101515264,10332307456,953401344,390360760320,379977728,227311616,1651179520,17345478656,True
58.895,H2-extraction,1424689725.44,59998208,12963790848,26119503872,107479040,10332291072,953401344,390361268224,380190720,227311616,1651179520,17345478656,True
60.936,H2-summary,1424689725.44,67747840,12971704320,26119438336,98271232,10331275264,953401344,390361333760,380289024,227311616,1651179520,17345675264,True
62.961,H2-summary,1424689725.44,1797914624,11225841664,26120617984,113754112,10337812480,953368576,390365429760,380289024,227311616,1651179520,15409479680,True
64.985,H2-summary,1424689725.44,592052224,12394971136,26120617984,149880832,10337681408,953368576,390365495296,380289024,227311616,1651179520,16552558592,True
67.01,H2-summary,1424689725.44,546783232,12402917376,26120634368,185106432,10339090432,953352192,390365593600,380289024,227311616,1651179520,16555638784,True
69.041,H2-summary,1424689725.44,521158656,12400312320,26120634368,213057536,10339155968,953171968,390365659136,380289024,227311616,1651179520,16555638784,True
71.068,H2-summary,1424689725.44,491995136,12395266048,26120716288,245727232,10339221504,953155584,390365954048,380289024,227311616,1651179520,16555638784,True
73.095,H2-summary,1424689725.44,418660352,12394872832,26120716288,317702144,10339172352,953155584,390366035968,380289024,227311616,1651179520,16555638784,True
