0.00.041.717 I cmn  common_param: common_params_print_info: build 10852 (050dde50c) with AppleClang 21.0.0.21000101 for Darwin arm64
0.00.355.374 I load_tensors: offloaded 43/43 layers to GPU
0.00.355.375 I load_tensors:   CPU_Mapped model buffer size =   717.77 MiB
0.00.355.376 I load_tensors:  MTL0_Mapped model buffer size =  5488.40 MiB
0.00.359.196 I llama_context: n_ctx                 = 8192
0.00.359.321 I llama_context:        CPU  output buffer size =     0.98 MiB
0.00.390.344 I llama_kv_cache:       MTL0 KV buffer size =  1344.00 MiB
0.00.451.102 I llama_kv_cache:       MTL0 KV buffer size =   756.00 MiB
0.00.480.926 I sched_reserve:       MTL0 compute buffer size =   142.71 MiB
0.00.480.928 I sched_reserve:        CPU compute buffer size =    26.52 MiB
0.00.563.385 I slot   load_model: id  0 | task -1 | new slot, n_ctx = 8192
0.04.770.324 D slot handle_last_: id  0 | task 0 | slot decode token, id=235299, n_ctx = 8192, n_tokens = 2422, truncated = 0
0.04.797.080 D slot handle_last_: id  0 | task 0 | slot decode token, id=235290, n_ctx = 8192, n_tokens = 2423, truncated = 0
0.04.822.804 D slot handle_last_: id  0 | task 0 | slot decode token, id=235368, n_ctx = 8192, n_tokens = 2424, truncated = 0
0.04.848.579 D slot handle_last_: id  0 | task 0 | slot decode token, id=235274, n_ctx = 8192, n_tokens = 2425, truncated = 0
0.04.874.412 D slot handle_last_: id  0 | task 0 | slot decode token, id=235292, n_ctx = 8192, n_tokens = 2426, truncated = 0
0.04.901.802 D slot handle_last_: id  0 | task 0 | slot decode token, id=21117, n_ctx = 8192, n_tokens = 2427, truncated = 0
0.04.927.691 D slot handle_last_: id  0 | task 0 | slot decode token, id=33375, n_ctx = 8192, n_tokens = 2428, truncated = 0
0.04.953.379 D slot handle_last_: id  0 | task 0 | slot decode token, id=1049, n_ctx = 8192, n_tokens = 2429, truncated = 0
0.04.979.063 D slot handle_last_: id  0 | task 0 | slot decode token, id=6410, n_ctx = 8192, n_tokens = 2430, truncated = 0
0.05.004.739 D slot handle_last_: id  0 | task 0 | slot decode token, id=604, n_ctx = 8192, n_tokens = 2431, truncated = 0
0.05.030.297 D slot handle_last_: id  0 | task 0 | slot decode token, id=16644, n_ctx = 8192, n_tokens = 2432, truncated = 0
0.05.055.936 D slot handle_last_: id  0 | task 0 | slot decode token, id=235269, n_ctx = 8192, n_tokens = 2433, truncated = 0
