elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,2179265986.56,1360035840,8514240512,38062145536,37388288,2098888704,365592576,707367337984,588595200,1018281984,5749735424,1425408,True
2.023,loading,2179265986.56,65372160,8638087168,20871774208,160808960,20381204480,365543424,707370876928,589447168,1018281984,5749735424,18098110464,True
2.068,development-extraction,2179265986.56,59785216,8723628032,20871905280,164937728,20298301440,365543424,707371368448,589447168,1018281984,5749735424,18099306496,True
4.088,development-extraction,2179265986.56,60669952,9085403136,20246872064,345096192,20383154176,365527040,707371925504,589479936,1018281984,5749735424,18561466368,True
6.121,development-summary,2179265986.56,66158592,9083502592,20079755264,513359872,20381696000,365592576,707372056576,589512704,1018347520,5749735424,18607079424,True
8.141,development-summary,2179265986.56,58097664,9782771712,19370213376,525828096,20383973376,365592576,707372679168,589840384,1018347520,5749735424,19278315520,True
10.172,development-summary,2179265986.56,65486848,9781968896,19363708928,527056896,20383481856,365592576,707372793856,589873152,1018347520,5749735424,19278397440,True
12.201,development-summary,2179265986.56,68419584,9782067200,19360432128,530874368,20383481856,365592576,707372859392,589873152,1018347520,5749735424,19278512128,True
14.24,H1-extraction,2179265986.56,60899328,9845817344,19360432128,545308672,20299235328,365576192,707373203456,589889536,1018347520,5749735424,19357450240,True
16.27,H1-extraction,2179265986.56,62177280,10304847872,18701795328,675168256,20384350208,365576192,707374399488,590249984,1018347520,5749735424,19786137600,True
18.304,H1-extraction,2179265986.56,60162048,10517774336,18621513728,542343168,20384677888,365576192,707374530560,590364672,1018347520,5749735424,19999768576,True
20.332,H1-extraction,2179265986.56,68108288,10520821760,18622070784,531152896,20384759808,365346816,707377659904,590397440,1018675200,5749735424,19999801344,True
22.381,H1-summary,2179265986.56,65929216,10523459584,18618793984,537427968,20383744000,365330432,707378282496,590741504,1018675200,5749735424,20018364416,True
24.411,H1-summary,2179265986.56,62078976,11274567680,17918689280,488521728,20385218560,365330432,707378954240,591462400,1018675200,5749735424,20739096576,True
26.437,H1-summary,2179265986.56,67780608,11305517056,17877729280,504856576,20387168256,365395968,707380051968,591478784,1018740736,5749735424,20742242304,True
28.468,H1-summary,2179265986.56,62160896,11318476800,17866260480,512786432,20387463168,365395968,707380281344,591577088,1018740736,5749735424,20742242304,True
30.495,H1-summary,2179265986.56,65798144,11318902784,17835130880,545226752,20387479552,365395968,707380346880,592232448,1018740736,5749735424,20742275072,True
32.54,H2-extraction,2179265986.56,75546624,11381620736,17835130880,553451520,20303609856,365395968,707380854784,592248832,1018740736,5749735424,20791738368,True
34.57,H2-extraction,2179265986.56,261472256,11659509760,17142087680,710934528,20388593664,365395968,707381739520,592248832,1018740736,5749735424,21061861376,True
36.604,H2-extraction,2179265986.56,62947328,12315328512,16695066624,533774336,20575223808,363659264,707573743616,592461824,1019789312,5749735424,21484994560,True
38.628,H2-extraction,2179265986.56,65011712,12337676288,16676864000,553992192,20543520768,363642880,707578019840,592625664,1019789312,5749735424,21485027328,True
40.68,H2-summary,2179265986.56,65863680,12339478528,16660627456,570015744,20542521344,363642880,707578642432,592625664,1019789312,5749735424,21496283136,True
42.705,H2-summary,2179265986.56,92045312,12883230720,15923347456,773046272,20515454976,363642880,707579199488,592625664,1019789312,5749735424,22018867200,True
44.73,H2-summary,2179265986.56,62308352,13096026112,15926362112,586022912,20515831808,363642880,707581591552,592691200,1019789312,5749735424,22231744512,True
46.755,H2-summary,2179265986.56,60702720,13264486400,15921627136,539033600,20401127424,363626496,707582771200,593051648,1019789312,5749735424,22231744512,True
48.791,H3-extraction,2179265986.56,63176704,13265960960,15916711936,535822336,20400095232,363626496,707582853120,593149952,1019854848,5749735424,22241558528,True
50.809,H3-extraction,2179265986.56,65650688,14003404800,15215493120,494272512,20401242112,363626496,707584655360,593739776,1019854848,5749735424,22973136896,True
52.84,H3-extraction,2179265986.56,65454080,14005747712,15194193920,510951424,20401487872,363626496,707584770048,593821696,1019854848,5749735424,22976282624,True
54.87,H3-extraction,2179265986.56,62439424,13988069376,15130296320,469204992,20534476800,363626496,707584835584,593887232,1019854848,5749735424,22976282624,True
56.916,H3-summary,2179265986.56,60833792,14053949440,15130296320,496254976,20434386944,363741184,707585179648,594165760,1019985920,5749735424,23034724352,True
58.95,H3-summary,2179265986.56,60227584,14811856896,14491320320,414384128,20401700864,363724800,707586326528,594444288,1019985920,5749735424,23710908416,True
60.982,H3-summary,2179265986.56,58261504,14798094336,14473330688,450379776,20401586176,363692032,707586686976,594444288,1019985920,5749735424,23714054144,True
63.012,H3-summary,2179265986.56,64471040,14869544960,14427979776,415285248,20401586176,363692032,707587178496,594542592,1019985920,5749735424,23714054144,True
65.055,H4-extraction,2179265986.56,139100160,14715404288,14422949888,477233152,20397129728,363642880,707588767744,595214336,1019985920,5749735424,23715332096,True
67.078,H4-extraction,2179265986.56,211255296,14549893120,14419181568,593362944,20402159616,363642880,707590946816,595247104,1019985920,5749735424,24029036544,True
69.109,H4-extraction,2179265986.56,66387968,14848409600,14385577984,471089152,20403453952,363642880,707591520256,596246528,1019985920,5749735424,24452448256,True
71.144,H4-extraction,2179265986.56,62373888,14838988800,14385397760,494551040,20403470336,363642880,707592192000,596246528,1019985920,5749735424,24452448256,True
73.178,H4-summary,2179265986.56,66256896,14905376768,14397472768,497074176,20318535680,363642880,707592257536,596262912,1019985920,5749735424,24462655488,True
75.208,H4-summary,2179265986.56,305938432,14512259072,14361378816,598802432,20401881088,363642880,707592323072,596328448,1019985920,5749735424,24782192640,True
77.234,H4-summary,2179265986.56,60899328,14865350656,14376632320,472956928,20402192384,363642880,707593846784,596623360,1019985920,5749735424,25204801536,True
79.267,H4-summary,2179265986.56,62423040,14862139392,14384660480,470777856,20403175424,363577344,707594436608,596721664,1019985920,5749735424,25204801536,True
81.286,H4-summary,2179265986.56,62521344,14862041088,14384381952,469712896,20403159040,363577344,707594502144,597327872,1019985920,5749735424,25204801536,True
83.323,merged-summary-synthesis,2179265986.56,60997632,14899347456,14404665344,494256128,20318191616,363577344,707594878976,597704704,1019985920,5749735424,25293717504,True
85.35,merged-summary-synthesis,2179265986.56,62619648,14863908864,14401929216,447463424,20402601984,363577344,707595157504,597721088,1019985920,5749735424,25955139584,True
87.379,merged-summary-synthesis,2179265986.56,58130432,14864711680,14354366464,500301824,20402585600,363577344,707595223040,597999616,1019985920,5749735424,25955139584,True
89.408,merged-summary-synthesis,2179265986.56,59342848,14852194304,14331215872,533479424,20402618368,363560960,707595943936,598294528,1019985920,5749735424,25955139584,True
91.44,merged-summary-synthesis,2179265986.56,60194816,14853193728,14320943104,543719424,20402307072,363560960,707596550144,598310912,1019985920,5749735424,25955139584,True
93.469,merged-summary-synthesis,2179265986.56,62226432,14853406720,14320893952,540491776,20402290688,363560960,707596615680,598540288,1019985920,5749735424,25955155968,True
95.5,merged-summary-synthesis,2179265986.56,64225280,14852882432,14320795648,540721152,20402274304,363560960,707597058048,599326720,1019985920,5749735424,25955155968,True
97.526,merged-summary-synthesis,2179265986.56,64536576,14856175616,14320304128,536035328,20402520064,363560960,707597795328,599343104,1019985920,5749735424,25955155968,True
99.555,merged-summary-synthesis,2179265986.56,63913984,14860959744,14320222208,532692992,20402307072,363560960,707598155776,599883776,1019985920,5749735424,25955155968,True
101.584,merged-summary-synthesis,2179265986.56,62816256,14861828096,14319828992,535658496,20402307072,363560960,707598614528,599900160,1019985920,5749735424,25955172352,True
103.617,merged-summary-synthesis,2179265986.56,62881792,14853783552,14319828992,539197440,20402307072,363560960,707598893056,599900160,1019985920,5749735424,25955172352,True
105.639,merged-summary-synthesis,2179265986.56,64585728,14860419072,14323662848,529629184,20402159616,363560960,707601743872,600604672,1019985920,5749735424,25955172352,True
107.685,full-source-control,2179265986.56,77840384,14893580288,14356447232,537952256,20318191616,363560960,707602219008,600637440,1019985920,5749735424,25956368384,True
109.708,full-source-control,2179265986.56,383172608,14390181888,14325104640,630931456,20394409984,363560960,707602808832,600637440,1019985920,5749735424,26255278080,True
111.731,full-source-control,2179265986.56,195067904,14392852480,14325055488,817266688,20394426368,363560960,707602874368,600637440,1019985920,5749735424,26259718144,True
113.764,full-source-control,2179265986.56,65961984,14395342848,14317453312,949321728,20394409984,363560960,707602939904,600801280,1019985920,5749735424,26265157632,True
115.793,full-source-control,2179265986.56,58359808,14386626560,14317174784,837894144,20520108032,363544576,707603005440,601210880,1019985920,5749735424,26269515776,True
117.825,full-source-control,2179265986.56,73760768,14484684800,14316929024,853245952,20394393600,363544576,707603431424,601423872,1019985920,5749735424,26273873920,True
119.859,full-source-control,2179265986.56,60817408,14840496128,14327152640,499580928,20396212224,363544576,707604414464,601456640,1019985920,5749735424,26698563584,True
121.88,full-source-control,2179265986.56,61816832,14821490688,14322991104,519356416,20396113920,363544576,707604889600,601620480,1019985920,5749735424,26698563584,True
123.905,full-source-control,2179265986.56,60915712,14807040000,14322941952,537608192,20395769856,363544576,707605266432,601653248,1019985920,5749735424,26698579968,True
125.938,full-source-control,2179265986.56,58064896,14800896000,14322909184,546209792,20395769856,363577344,707605544960,601669632,1020051456,5749735424,26698596352,True
127.967,full-source-control,2179265986.56,66650112,14772895744,14322876416,565837824,20395769856,363577344,707605626880,602390528,1020051456,5749735424,26698596352,True
129.991,full-source-control,2179265986.56,64487424,14772436992,14322843648,568246272,20395720704,363577344,707605692416,602406912,1020051456,5749735424,26698629120,True
132.021,full-source-control,2179265986.56,62832640,14772551680,14322843648,569802752,20395720704,363577344,707606134784,602423296,1020051456,5749735424,26698629120,True
