0.00.035.897 I cmn  common_param: common_params_print_info: build 10852 (050dde50c) with AppleClang 21.0.0.21000101 for Darwin arm64
0.00.772.673 I load_tensors: offloaded 31/31 layers to GPU
0.00.772.675 I load_tensors:   CPU_Mapped model buffer size =   748.00 MiB
0.00.772.675 I load_tensors:  MTL0_Mapped model buffer size = 16147.34 MiB
0.00.774.692 I llama_context: n_ctx                 = 32768
0.00.774.824 I llama_context:        CPU  output buffer size =     1.00 MiB
0.00.787.896 I llama_kv_cache:       MTL0 KV buffer size =   640.00 MiB
0.00.813.149 I llama_kv_cache:       MTL0 KV buffer size =   300.00 MiB
0.00.834.912 I sched_reserve:       MTL0 compute buffer size =   255.24 MiB
0.00.834.916 I sched_reserve:        CPU compute buffer size =    44.52 MiB
0.00.889.671 I slot   load_model: id  0 | task -1 | new slot, n_ctx = 32768
0.03.758.398 D slot handle_last_: id  0 | task 0 | slot decode token, id=236796, n_ctx = 32768, n_tokens = 2451, truncated = 0
0.03.778.923 D slot handle_last_: id  0 | task 0 | slot decode token, id=236772, n_ctx = 32768, n_tokens = 2452, truncated = 0
0.03.796.060 D slot handle_last_: id  0 | task 0 | slot decode token, id=236935, n_ctx = 32768, n_tokens = 2453, truncated = 0
0.03.813.135 D slot handle_last_: id  0 | task 0 | slot decode token, id=236770, n_ctx = 32768, n_tokens = 2454, truncated = 0
0.03.830.097 D slot handle_last_: id  0 | task 0 | slot decode token, id=236787, n_ctx = 32768, n_tokens = 2455, truncated = 0
0.03.847.013 D slot handle_last_: id  0 | task 0 | slot decode token, id=35028, n_ctx = 32768, n_tokens = 2456, truncated = 0
0.03.863.960 D slot handle_last_: id  0 | task 0 | slot decode token, id=31872, n_ctx = 32768, n_tokens = 2457, truncated = 0
0.03.881.035 D slot handle_last_: id  0 | task 0 | slot decode token, id=964, n_ctx = 32768, n_tokens = 2458, truncated = 0
0.03.898.128 D slot handle_last_: id  0 | task 0 | slot decode token, id=5540, n_ctx = 32768, n_tokens = 2459, truncated = 0
0.03.915.079 D slot handle_last_: id  0 | task 0 | slot decode token, id=573, n_ctx = 32768, n_tokens = 2460, truncated = 0
0.03.932.223 D slot handle_last_: id  0 | task 0 | slot decode token, id=14860, n_ctx = 32768, n_tokens = 2461, truncated = 0
0.03.949.235 D slot handle_last_: id  0 | task 0 | slot decode token, id=236764, n_ctx = 32768, n_tokens = 2462, truncated = 0
0.03.966.183 D slot handle_last_: id  0 | task 0 | slot decode token, id=840, n_ctx = 32768, n_tokens = 2463, truncated = 0
0.03.983.030 D slot handle_last_: id  0 | task 0 | slot decode token, id=711, n_ctx = 32768, n_tokens = 2464, truncated = 0
0.03.999.936 D slot handle_last_: id  0 | task 0 | slot decode token, id=784, n_ctx = 32768, n_tokens = 2465, truncated = 0
0.04.016.887 D slot handle_last_: id  0 | task 0 | slot decode token, id=6819, n_ctx = 32768, n_tokens = 2466, truncated = 0
0.04.033.759 D slot handle_last_: id  0 | task 0 | slot decode token, id=8390, n_ctx = 32768, n_tokens = 2467, truncated = 0
0.04.050.756 D slot handle_last_: id  0 | task 0 | slot decode token, id=236761, n_ctx = 32768, n_tokens = 2468, truncated = 0
0.04.067.840 D slot handle_last_: id  0 | task 0 | slot decode token, id=8512, n_ctx = 32768, n_tokens = 2469, truncated = 0
0.04.085.010 D slot handle_last_: id  0 | task 0 | slot decode token, id=529, n_ctx = 32768, n_tokens = 2470, truncated = 0
0.04.102.147 D slot handle_last_: id  0 | task 0 | slot decode token, id=506, n_ctx = 32768, n_tokens = 2471, truncated = 0
0.04.119.108 D slot handle_last_: id  0 | task 0 | slot decode token, id=47643, n_ctx = 32768, n_tokens = 2472, truncated = 0
0.04.135.988 D slot handle_last_: id  0 | task 0 | slot decode token, id=11561, n_ctx = 32768, n_tokens = 2473, truncated = 0
0.04.152.883 D slot handle_last_: id  0 | task 0 | slot decode token, id=531, n_ctx = 32768, n_tokens = 2474, truncated = 0
