0.00.034.861 I cmn  common_param: common_params_print_info: build 10852 (050dde50c) with AppleClang 21.0.0.21000101 for Darwin arm64
0.00.862.513 I load_tensors: offloaded 61/61 layers to GPU
0.00.862.514 I load_tensors:   CPU_Mapped model buffer size =  1102.50 MiB
0.00.862.515 I load_tensors:  MTL0_Mapped model buffer size = 17806.27 MiB
0.00.864.574 I llama_context: n_ctx                 = 32768
0.00.864.705 I llama_context:        CPU  output buffer size =     1.00 MiB
0.00.920.127 I llama_kv_cache:       MTL0 KV buffer size =  2560.00 MiB
0.01.022.744 I llama_kv_cache:       MTL0 KV buffer size =  1200.00 MiB
0.01.076.205 I sched_reserve:       MTL0 compute buffer size =   476.86 MiB
0.01.076.206 I sched_reserve:        CPU compute buffer size =    54.52 MiB
0.01.292.796 I slot   load_model: id  0 | task -1 | new slot, n_ctx = 32768
0.11.527.879 D slot handle_last_: id  0 | task 0 | slot decode token, id=236796, n_ctx = 32768, n_tokens = 2451, truncated = 0
0.11.610.473 D slot handle_last_: id  0 | task 0 | slot decode token, id=236772, n_ctx = 32768, n_tokens = 2452, truncated = 0
0.11.687.686 D slot handle_last_: id  0 | task 0 | slot decode token, id=236935, n_ctx = 32768, n_tokens = 2453, truncated = 0
0.11.763.761 D slot handle_last_: id  0 | task 0 | slot decode token, id=236770, n_ctx = 32768, n_tokens = 2454, truncated = 0
0.11.838.932 D slot handle_last_: id  0 | task 0 | slot decode token, id=236787, n_ctx = 32768, n_tokens = 2455, truncated = 0
0.11.913.239 D slot handle_last_: id  0 | task 0 | slot decode token, id=35028, n_ctx = 32768, n_tokens = 2456, truncated = 0
0.11.987.651 D slot handle_last_: id  0 | task 0 | slot decode token, id=31872, n_ctx = 32768, n_tokens = 2457, truncated = 0
0.12.062.031 D slot handle_last_: id  0 | task 0 | slot decode token, id=964, n_ctx = 32768, n_tokens = 2458, truncated = 0
0.12.136.432 D slot handle_last_: id  0 | task 0 | slot decode token, id=5540, n_ctx = 32768, n_tokens = 2459, truncated = 0
0.12.211.103 D slot handle_last_: id  0 | task 0 | slot decode token, id=236764, n_ctx = 32768, n_tokens = 2460, truncated = 0
0.12.285.699 D slot handle_last_: id  0 | task 0 | slot decode token, id=840, n_ctx = 32768, n_tokens = 2461, truncated = 0
0.12.360.134 D slot handle_last_: id  0 | task 0 | slot decode token, id=711, n_ctx = 32768, n_tokens = 2462, truncated = 0
0.12.434.479 D slot handle_last_: id  0 | task 0 | slot decode token, id=784, n_ctx = 32768, n_tokens = 2463, truncated = 0
0.12.508.663 D slot handle_last_: id  0 | task 0 | slot decode token, id=8390, n_ctx = 32768, n_tokens = 2464, truncated = 0
0.12.582.760 D slot handle_last_: id  0 | task 0 | slot decode token, id=1547, n_ctx = 32768, n_tokens = 2465, truncated = 0
0.12.657.115 D slot handle_last_: id  0 | task 0 | slot decode token, id=1156, n_ctx = 32768, n_tokens = 2466, truncated = 0
0.12.733.821 D slot handle_last_: id  0 | task 0 | slot decode token, id=24096, n_ctx = 32768, n_tokens = 2467, truncated = 0
0.12.809.468 D slot handle_last_: id  0 | task 0 | slot decode token, id=1308, n_ctx = 32768, n_tokens = 2468, truncated = 0
0.12.884.547 D slot handle_last_: id  0 | task 0 | slot decode token, id=506, n_ctx = 32768, n_tokens = 2469, truncated = 0
0.12.959.675 D slot handle_last_: id  0 | task 0 | slot decode token, id=13098, n_ctx = 32768, n_tokens = 2470, truncated = 0
0.13.034.884 D slot handle_last_: id  0 | task 0 | slot decode token, id=1562, n_ctx = 32768, n_tokens = 2471, truncated = 0
0.13.111.689 D slot handle_last_: id  0 | task 0 | slot decode token, id=152815, n_ctx = 32768, n_tokens = 2472, truncated = 0
0.13.186.954 D slot handle_last_: id  0 | task 0 | slot decode token, id=991, n_ctx = 32768, n_tokens = 2473, truncated = 0
