elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,1424888954.88,68976640,7360004096,38944538624,1075855360,2127773696,951107584,439756079104,395378688,229605376,1651376128,9256960,True
2.028,loading,1424888954.88,73154560,7573372928,24720424960,1165590528,16053567488,953991168,444590325760,395460608,229605376,1651376128,13730594816,True
2.051,development-extraction,1424888954.88,70860800,7577600000,24725979136,1158758400,16053583872,953991168,444640722944,395460608,229605376,1651376128,13749927936,True
4.071,development-extraction,1424888954.88,70352896,7600439296,25064112128,804339712,16049618944,953303040,449406009344,395558912,229736448,1651376128,13760086016,True
6.097,development-extraction,1424888954.88,62750720,7611236352,25705496576,159481856,16049750016,953384960,453987090432,395640832,229867520,1651376128,13761626112,True
8.124,development-extraction,1424888954.88,71221248,5175263232,28254339072,35700736,16049537024,953483264,458366550016,395640832,229998592,1651376128,13761691648,True
10.154,development-extraction,1424888954.88,67764224,5173968896,28251488256,45203456,16049176576,953483264,462880702464,395739136,229998592,1651376128,13761773568,True
12.192,development-summary,1424888954.88,68878336,5181865984,28168355840,122355712,16048324608,953483264,466706546688,395984896,229998592,1651376128,13882032128,True
14.22,development-summary,1424888954.88,71008256,5607899136,27706834944,161267712,16048390144,953483264,471404511232,395984896,229998592,1651376128,14188478464,True
16.243,development-summary,1424888954.88,59424768,5591613440,27646050304,245547008,16048226304,952123392,471913054208,396492800,230588416,1651376128,14188756992,True
18.267,development-summary,1424888954.88,64929792,5591269376,27646230528,245694464,16048193536,952123392,471913119744,396673024,230588416,1651376128,14188773376,True
20.295,development-summary,1424888954.88,62341120,5597216768,27646246912,235225088,16048455680,952123392,471913447424,396804096,230588416,1651376128,14188789760,True
22.321,development-summary,1424888954.88,64438272,5601951744,27646558208,104710144,16174465024,952123392,471913971712,397197312,230588416,1651376128,14188838912,True
24.355,development-summary,1424888954.88,84623360,5703876608,27639709696,115802112,16048455680,952123392,471914299392,397328384,230588416,1651376128,14188838912,True
26.379,development-summary,1424888954.88,60391424,5675794432,27572666368,233422848,16048259072,952123392,471914364928,397656064,230588416,1651376128,14188855296,True
28.407,development-summary,1424888954.88,136560640,5700845568,27493613568,228966400,16048701440,939147264,471916511232,397672448,230653952,1651376128,14188888064,True
30.439,development-summary,1424888954.88,74629120,5820284928,27488108544,162643968,16053977088,939130880,471922982912,397852672,230653952,1651376128,14188904448,True
32.476,development-summary,1424888954.88,62586880,5834260480,27488075776,166985728,16054517760,939130880,471923310592,397901824,230653952,1651376128,14188904448,True
34.502,development-summary,1424888954.88,61292544,5810782208,27489583104,187121664,16054501376,939130880,471923687424,397934592,230653952,1651376128,14188937216,True
36.552,H1-extraction,1424888954.88,65929216,5791072256,27502149632,192282624,16053993472,939081728,471923752960,397934592,230653952,1651376128,14198046720,True
38.584,H1-extraction,1424888954.88,64618496,6272188416,27065122816,145588224,16054321152,939065344,471924424704,397967360,230653952,1651376128,14671839232,True
40.61,H1-extraction,1424888954.88,66076672,6273499136,27012694016,199229440,16054386688,939065344,471924572160,397967360,230653952,1651376128,14673985536,True
42.638,H1-extraction,1424888954.88,59981824,6272811008,27012694016,203276288,16054845440,939032576,471924654080,397967360,230653952,1651376128,14673985536,True
44.658,H1-extraction,1424888954.88,65814528,6272106496,27012694016,200065024,16054878208,939032576,471924736000,397967360,230653952,1651376128,14673985536,True
46.68,H1-extraction,1424888954.88,62275584,6272303104,27012841472,204898304,16054648832,939032576,471924998144,398147584,230653952,1651376128,14673985536,True
48.71,H1-extraction,1424888954.88,66387968,6273073152,27012841472,198148096,16054648832,939032576,471925227520,398147584,230653952,1651376128,14673985536,True
50.742,H1-extraction,1424888954.88,73547776,6278512640,27013038080,186777600,16054566912,939032576,471925587968,398147584,230653952,1651376128,14673985536,True
52.772,H1-extraction,1424888954.88,70909952,6278643712,27013005312,189399040,16054550528,939032576,471925653504,398147584,230653952,1651376128,14674018304,True
54.803,H1-extraction,1424888954.88,69566464,6278676480,27013054464,191561728,16054550528,939032576,471925768192,398147584,230653952,1651376128,14674018304,True
56.834,H1-extraction,1424888954.88,74153984,6278594560,27013251072,184483840,16054337536,939032576,471925866496,398147584,230653952,1651376128,14674018304,True
58.865,H1-extraction,1424888954.88,76546048,6279479296,27013251072,186695680,16054419456,939032576,471925932032,398147584,230653952,1651376128,14674018304,True
60.907,H1-summary,1424888954.88,79249408,6351765504,27013251072,188858368,15977250816,939032576,471925997568,398147584,230653952,1651376128,14681997312,True
62.937,H1-summary,1424888954.88,62881792,6943834112,26533068800,9355264,16054206464,939032576,471926423552,399491072,230653952,1651376128,15342370816,True
64.969,H1-summary,1424888954.88,66682880,6944079872,26524696576,16777216,16054206464,939016192,471926767616,399507456,230653952,1651376128,15342370816,True
66.993,H1-summary,1424888954.88,70156288,6944555008,26519814144,18087936,16054779904,938983424,471927046144,399523840,230653952,1651376128,15342370816,True
69.01,H1-summary,1424888954.88,59670528,6943670272,26493599744,54394880,16049930240,939180032,471927209984,399556608,230850560,1651376128,15342370816,True
71.04,H1-summary,1416500346.88,63209472,7062274048,26306478080,108249088,16054927360,952532992,471960371200,399556608,248938496,1651376128,15342370816,True
73.066,H1-summary,1416500346.88,260849664,6863405056,26297139200,109608960,16047407104,952188928,471962009600,399851520,248938496,1651376128,15342370816,True
75.099,H1-summary,1416500346.88,268632064,6856114176,26297171968,111034368,16047407104,952188928,471962091520,399851520,248938496,1651376128,15342370816,True
77.129,H1-summary,1416500346.88,266518528,6860619776,26297171968,113508352,16047374336,952188928,471962157056,399851520,248938496,1651376128,15342370816,True
79.16,H1-summary,1416500346.88,255000576,6858211328,26297171968,121192448,16047325184,952188928,471962222592,399851520,248938496,1651376128,15342370816,True
81.182,H1-summary,1416500346.88,63078400,6828621824,26296893440,207634432,16179036160,952188928,471962517504,400818176,248938496,1651376128,15342370816,True
83.21,H1-summary,1416500346.88,62128128,6836191232,26296844288,206864384,16172810240,952188928,471962763264,401047552,248938496,1651376128,15342370816,True
85.234,H1-summary,1416500346.88,105906176,6919028736,26264043520,242089984,16046997504,952188928,471962877952,401276928,248938496,1651376128,15342370816,True
87.262,H1-summary,1416500346.88,127795200,6894206976,26264125440,245776384,16046718976,952188928,471962959872,401276928,248938496,1651376128,15342370816,True
89.294,H1-summary,1416500346.88,138215424,6881689600,26264125440,248184832,16046718976,952123392,471963205632,401276928,248938496,1651376128,15342436352,True
91.316,H1-summary,1416500346.88,149487616,6868664320,26264141824,250183680,16046718976,952123392,471963271168,401276928,248938496,1651376128,15342452736,True
