0.00.046.562 I cmn  common_param: common_params_print_info: build 10852 (050dde50c) with AppleClang 21.0.0.21000101 for Darwin arm64
0.00.445.682 I load_tensors: offloaded 41/41 layers to GPU
0.00.445.684 I load_tensors:   CPU_Mapped model buffer size =   360.00 MiB
0.00.445.685 I load_tensors:  MTL0_Mapped model buffer size =  7849.86 MiB
0.00.446.905 I llama_context: n_ctx                 = 32768
0.00.447.016 I llama_context:        CPU  output buffer size =     0.50 MiB
0.00.550.246 I llama_kv_cache:       MTL0 KV buffer size =  5120.00 MiB
0.00.717.393 I sched_reserve:       MTL0 compute buffer size =   214.36 MiB
0.00.717.398 I sched_reserve:        CPU compute buffer size =    52.01 MiB
0.00.850.006 I slot   load_model: id  0 | task -1 | new slot, n_ctx = 32768
0.05.198.619 D slot handle_last_: id  0 | task 0 | slot decode token, id=1438, n_ctx = 32768, n_tokens = 2403, truncated = 0
0.05.232.279 D slot handle_last_: id  0 | task 0 | slot decode token, id=1068, n_ctx = 32768, n_tokens = 2404, truncated = 0
0.05.264.976 D slot handle_last_: id  0 | task 0 | slot decode token, id=40713, n_ctx = 32768, n_tokens = 2405, truncated = 0
0.05.297.739 D slot handle_last_: id  0 | task 0 | slot decode token, id=1049, n_ctx = 32768, n_tokens = 2406, truncated = 0
0.05.330.322 D slot handle_last_: id  0 | task 0 | slot decode token, id=24185, n_ctx = 32768, n_tokens = 2407, truncated = 0
0.05.362.948 D slot handle_last_: id  0 | task 0 | slot decode token, id=73668, n_ctx = 32768, n_tokens = 2408, truncated = 0
0.05.395.748 D slot handle_last_: id  0 | task 0 | slot decode token, id=35297, n_ctx = 32768, n_tokens = 2409, truncated = 0
0.05.429.601 D slot handle_last_: id  0 | task 0 | slot decode token, id=1722, n_ctx = 32768, n_tokens = 2410, truncated = 0
0.05.462.205 D slot handle_last_: id  0 | task 0 | slot decode token, id=6322, n_ctx = 32768, n_tokens = 2411, truncated = 0
0.05.495.043 D slot handle_last_: id  0 | task 0 | slot decode token, id=1394, n_ctx = 32768, n_tokens = 2412, truncated = 0
0.05.527.669 D slot handle_last_: id  0 | task 0 | slot decode token, id=18606, n_ctx = 32768, n_tokens = 2413, truncated = 0
0.05.560.449 D slot handle_last_: id  0 | task 0 | slot decode token, id=1044, n_ctx = 32768, n_tokens = 2414, truncated = 0
0.05.593.221 D slot handle_last_: id  0 | task 0 | slot decode token, id=1809, n_ctx = 32768, n_tokens = 2415, truncated = 0
0.05.626.054 D slot handle_last_: id  0 | task 0 | slot decode token, id=2342, n_ctx = 32768, n_tokens = 2416, truncated = 0
0.05.658.935 D slot handle_last_: id  0 | task 0 | slot decode token, id=3946, n_ctx = 32768, n_tokens = 2417, truncated = 0
0.05.691.733 D slot handle_last_: id  0 | task 0 | slot decode token, id=1722, n_ctx = 32768, n_tokens = 2418, truncated = 0
0.05.724.933 D slot handle_last_: id  0 | task 0 | slot decode token, id=1402, n_ctx = 32768, n_tokens = 2419, truncated = 0
0.05.757.688 D slot handle_last_: id  0 | task 0 | slot decode token, id=126771, n_ctx = 32768, n_tokens = 2420, truncated = 0
0.05.790.278 D slot handle_last_: id  0 | task 0 | slot decode token, id=1059, n_ctx = 32768, n_tokens = 2421, truncated = 0
0.05.822.813 D slot handle_last_: id  0 | task 0 | slot decode token, id=1278, n_ctx = 32768, n_tokens = 2422, truncated = 0
0.05.855.437 D slot handle_last_: id  0 | task 0 | slot decode token, id=2147, n_ctx = 32768, n_tokens = 2423, truncated = 0
0.05.888.041 D slot handle_last_: id  0 | task 0 | slot decode token, id=3300, n_ctx = 32768, n_tokens = 2424, truncated = 0
0.05.920.687 D slot handle_last_: id  0 | task 0 | slot decode token, id=33813, n_ctx = 32768, n_tokens = 2425, truncated = 0
0.05.953.467 D slot handle_last_: id  0 | task 0 | slot decode token, id=3964, n_ctx = 32768, n_tokens = 2426, truncated = 0
0.05.986.194 D slot handle_last_: id  0 | task 0 | slot decode token, id=1317, n_ctx = 32768, n_tokens = 2427, truncated = 0
0.06.018.848 D slot handle_last_: id  0 | task 0 | slot decode token, id=14988, n_ctx = 32768, n_tokens = 2428, truncated = 0
0.06.051.413 D slot handle_last_: id  0 | task 0 | slot decode token, id=4475, n_ctx = 32768, n_tokens = 2429, truncated = 0
0.06.084.076 D slot handle_last_: id  0 | task 0 | slot decode token, id=16018, n_ctx = 32768, n_tokens = 2430, truncated = 0
0.06.117.301 D slot handle_last_: id  0 | task 0 | slot decode token, id=2187, n_ctx = 32768, n_tokens = 2431, truncated = 0
0.06.150.042 D slot handle_last_: id  0 | task 0 | slot decode token, id=1046, n_ctx = 32768, n_tokens = 2432, truncated = 0
0.06.182.814 D slot handle_last_: id  0 | task 0 | slot decode token, id=1531, n_ctx = 32768, n_tokens = 2433, truncated = 0
0.06.215.458 D slot handle_last_: id  0 | task 0 | slot decode token, id=14456, n_ctx = 32768, n_tokens = 2434, truncated = 0
0.06.248.119 D slot handle_last_: id  0 | task 0 | slot decode token, id=8164, n_ctx = 32768, n_tokens = 2435, truncated = 0
0.06.280.784 D slot handle_last_: id  0 | task 0 | slot decode token, id=1044, n_ctx = 32768, n_tokens = 2436, truncated = 0
0.06.313.442 D slot handle_last_: id  0 | task 0 | slot decode token, id=1429, n_ctx = 32768, n_tokens = 2437, truncated = 0
0.06.347.062 D slot handle_last_: id  0 | task 0 | slot decode token, id=73668, n_ctx = 32768, n_tokens = 2438, truncated = 0
0.06.379.803 D slot handle_last_: id  0 | task 0 | slot decode token, id=1722, n_ctx = 32768, n_tokens = 2439, truncated = 0
0.06.412.567 D slot handle_last_: id  0 | task 0 | slot decode token, id=6322, n_ctx = 32768, n_tokens = 2440, truncated = 0
0.06.446.135 D slot handle_last_: id  0 | task 0 | slot decode token, id=1394, n_ctx = 32768, n_tokens = 2441, truncated = 0
0.06.480.186 D slot handle_last_: id  0 | task 0 | slot decode token, id=18606, n_ctx = 32768, n_tokens = 2442, truncated = 0
0.06.512.938 D slot handle_last_: id  0 | task 0 | slot decode token, id=1044, n_ctx = 32768, n_tokens = 2443, truncated = 0
0.06.545.754 D slot handle_last_: id  0 | task 0 | slot decode token, id=1321, n_ctx = 32768, n_tokens = 2444, truncated = 0
0.06.578.347 D slot handle_last_: id  0 | task 0 | slot decode token, id=3946, n_ctx = 32768, n_tokens = 2445, truncated = 0
0.06.611.032 D slot handle_last_: id  0 | task 0 | slot decode token, id=1307, n_ctx = 32768, n_tokens = 2446, truncated = 0
0.06.643.769 D slot handle_last_: id  0 | task 0 | slot decode token, id=2424, n_ctx = 32768, n_tokens = 2447, truncated = 0
0.06.676.593 D slot handle_last_: id  0 | task 0 | slot decode token, id=1722, n_ctx = 32768, n_tokens = 2448, truncated = 0
0.06.709.183 D slot handle_last_: id  0 | task 0 | slot decode token, id=1266, n_ctx = 32768, n_tokens = 2449, truncated = 0
0.06.741.843 D slot handle_last_: id  0 | task 0 | slot decode token, id=15572, n_ctx = 32768, n_tokens = 2450, truncated = 0
0.06.774.523 D slot handle_last_: id  0 | task 0 | slot decode token, id=1402, n_ctx = 32768, n_tokens = 2451, truncated = 0
0.06.807.206 D slot handle_last_: id  0 | task 0 | slot decode token, id=126771, n_ctx = 32768, n_tokens = 2452, truncated = 0
0.06.839.942 D slot handle_last_: id  0 | task 0 | slot decode token, id=2880, n_ctx = 32768, n_tokens = 2453, truncated = 0
0.06.872.553 D slot handle_last_: id  0 | task 0 | slot decode token, id=1531, n_ctx = 32768, n_tokens = 2454, truncated = 0
0.06.905.349 D slot handle_last_: id  0 | task 0 | slot decode token, id=3804, n_ctx = 32768, n_tokens = 2455, truncated = 0
0.06.938.002 D slot handle_last_: id  0 | task 0 | slot decode token, id=3300, n_ctx = 32768, n_tokens = 2456, truncated = 0
0.06.971.646 D slot handle_last_: id  0 | task 0 | slot decode token, id=91153, n_ctx = 32768, n_tokens = 2457, truncated = 0
0.07.004.379 D slot handle_last_: id  0 | task 0 | slot decode token, id=1428, n_ctx = 32768, n_tokens = 2458, truncated = 0
0.07.037.024 D slot handle_last_: id  0 | task 0 | slot decode token, id=1722, n_ctx = 32768, n_tokens = 2459, truncated = 0
0.07.069.714 D slot handle_last_: id  0 | task 0 | slot decode token, id=1317, n_ctx = 32768, n_tokens = 2460, truncated = 0
0.07.102.516 D slot handle_last_: id  0 | task 0 | slot decode token, id=1402, n_ctx = 32768, n_tokens = 2461, truncated = 0
0.07.135.161 D slot handle_last_: id  0 | task 0 | slot decode token, id=20434, n_ctx = 32768, n_tokens = 2462, truncated = 0
0.07.167.887 D slot handle_last_: id  0 | task 0 | slot decode token, id=1044, n_ctx = 32768, n_tokens = 2463, truncated = 0
0.07.200.655 D slot handle_last_: id  0 | task 0 | slot decode token, id=1809, n_ctx = 32768, n_tokens = 2464, truncated = 0
0.07.233.378 D slot handle_last_: id  0 | task 0 | slot decode token, id=1278, n_ctx = 32768, n_tokens = 2465, truncated = 0
0.07.266.128 D slot handle_last_: id  0 | task 0 | slot decode token, id=16018, n_ctx = 32768, n_tokens = 2466, truncated = 0
0.07.298.854 D slot handle_last_: id  0 | task 0 | slot decode token, id=2703, n_ctx = 32768, n_tokens = 2467, truncated = 0
0.07.331.541 D slot handle_last_: id  0 | task 0 | slot decode token, id=1878, n_ctx = 32768, n_tokens = 2468, truncated = 0
0.07.364.364 D slot handle_last_: id  0 | task 0 | slot decode token, id=1289, n_ctx = 32768, n_tokens = 2469, truncated = 0
0.07.397.082 D slot handle_last_: id  0 | task 0 | slot decode token, id=1851, n_ctx = 32768, n_tokens = 2470, truncated = 0
0.07.429.743 D slot handle_last_: id  0 | task 0 | slot decode token, id=1970, n_ctx = 32768, n_tokens = 2471, truncated = 0
0.07.462.353 D slot handle_last_: id  0 | task 0 | slot decode token, id=1794, n_ctx = 32768, n_tokens = 2472, truncated = 0
0.07.495.085 D slot handle_last_: id  0 | task 0 | slot decode token, id=6255, n_ctx = 32768, n_tokens = 2473, truncated = 0
0.07.527.682 D slot handle_last_: id  0 | task 0 | slot decode token, id=1455, n_ctx = 32768, n_tokens = 2474, truncated = 0
0.07.560.341 D slot handle_last_: id  0 | task 0 | slot decode token, id=2295, n_ctx = 32768, n_tokens = 2475, truncated = 0
0.07.593.022 D slot handle_last_: id  0 | task 0 | slot decode token, id=1307, n_ctx = 32768, n_tokens = 2476, truncated = 0
0.07.625.693 D slot handle_last_: id  0 | task 0 | slot decode token, id=1278, n_ctx = 32768, n_tokens = 2477, truncated = 0
0.07.658.322 D slot handle_last_: id  0 | task 0 | slot decode token, id=80515, n_ctx = 32768, n_tokens = 2478, truncated = 0
0.07.690.997 D slot handle_last_: id  0 | task 0 | slot decode token, id=2880, n_ctx = 32768, n_tokens = 2479, truncated = 0
0.07.723.617 D slot handle_last_: id  0 | task 0 | slot decode token, id=14374, n_ctx = 32768, n_tokens = 2480, truncated = 0
0.07.756.265 D slot handle_last_: id  0 | task 0 | slot decode token, id=1317, n_ctx = 32768, n_tokens = 2481, truncated = 0
0.07.788.845 D slot handle_last_: id  0 | task 0 | slot decode token, id=1278, n_ctx = 32768, n_tokens = 2482, truncated = 0
0.07.821.566 D slot handle_last_: id  0 | task 0 | slot decode token, id=7161, n_ctx = 32768, n_tokens = 2483, truncated = 0
0.07.854.312 D slot handle_last_: id  0 | task 0 | slot decode token, id=23020, n_ctx = 32768, n_tokens = 2484, truncated = 0
0.07.887.069 D slot handle_last_: id  0 | task 0 | slot decode token, id=1034, n_ctx = 32768, n_tokens = 2485, truncated = 0
0.07.919.806 D slot handle_last_: id  0 | task 0 | slot decode token, id=1766, n_ctx = 32768, n_tokens = 2486, truncated = 0
0.07.952.414 D slot handle_last_: id  0 | task 0 | slot decode token, id=43302, n_ctx = 32768, n_tokens = 2487, truncated = 0
0.07.985.159 D slot handle_last_: id  0 | task 0 | slot decode token, id=1274, n_ctx = 32768, n_tokens = 2488, truncated = 0
0.08.017.808 D slot handle_last_: id  0 | task 0 | slot decode token, id=1046, n_ctx = 32768, n_tokens = 2489, truncated = 0
0.08.050.556 D slot handle_last_: id  0 | task 0 | slot decode token, id=1032, n_ctx = 32768, n_tokens = 2490, truncated = 0
0.08.083.194 D slot handle_last_: id  0 | task 0 | slot decode token, id=1049, n_ctx = 32768, n_tokens = 2491, truncated = 0
0.08.115.876 D slot handle_last_: id  0 | task 0 | slot decode token, id=1048, n_ctx = 32768, n_tokens = 2492, truncated = 0
0.08.149.273 D slot handle_last_: id  0 | task 0 | slot decode token, id=1050, n_ctx = 32768, n_tokens = 2493, truncated = 0
0.08.182.021 D slot handle_last_: id  0 | task 0 | slot decode token, id=11390, n_ctx = 32768, n_tokens = 2494, truncated = 0
0.08.214.758 D slot handle_last_: id  0 | task 0 | slot decode token, id=1438, n_ctx = 32768, n_tokens = 2495, truncated = 0
0.08.247.415 D slot handle_last_: id  0 | task 0 | slot decode token, id=1068, n_ctx = 32768, n_tokens = 2496, truncated = 0
0.08.280.108 D slot handle_last_: id  0 | task 0 | slot decode token, id=40713, n_ctx = 32768, n_tokens = 2497, truncated = 0
0.08.312.935 D slot handle_last_: id  0 | task 0 | slot decode token, id=1050, n_ctx = 32768, n_tokens = 2498, truncated = 0
0.08.345.578 D slot handle_last_: id  0 | task 0 | slot decode token, id=24185, n_ctx = 32768, n_tokens = 2499, truncated = 0
0.08.378.249 D slot handle_last_: id  0 | task 0 | slot decode token, id=1784, n_ctx = 32768, n_tokens = 2500, truncated = 0
0.08.410.910 D slot handle_last_: id  0 | task 0 | slot decode token, id=14456, n_ctx = 32768, n_tokens = 2501, truncated = 0
0.08.443.546 D slot handle_last_: id  0 | task 0 | slot decode token, id=3120, n_ctx = 32768, n_tokens = 2502, truncated = 0
0.08.476.322 D slot handle_last_: id  0 | task 0 | slot decode token, id=1605, n_ctx = 32768, n_tokens = 2503, truncated = 0
0.08.508.976 D slot handle_last_: id  0 | task 0 | slot decode token, id=15071, n_ctx = 32768, n_tokens = 2504, truncated = 0
0.08.541.671 D slot handle_last_: id  0 | task 0 | slot decode token, id=1032, n_ctx = 32768, n_tokens = 2505, truncated = 0
0.08.574.279 D slot handle_last_: id  0 | task 0 | slot decode token, id=1051, n_ctx = 32768, n_tokens = 2506, truncated = 0
0.08.607.014 D slot handle_last_: id  0 | task 0 | slot decode token, id=1053, n_ctx = 32768, n_tokens = 2507, truncated = 0
0.08.639.666 D slot handle_last_: id  0 | task 0 | slot decode token, id=1044, n_ctx = 32768, n_tokens = 2508, truncated = 0
0.08.672.354 D slot handle_last_: id  0 | task 0 | slot decode token, id=1048, n_ctx = 32768, n_tokens = 2509, truncated = 0
