model_id,request,status,visible_tokens_retokenized,first_content_delta_seconds,first_readable_delta_seconds,last_content_delta_seconds,visible_phase_seconds,wall_seconds,visible_phase_tokens_per_second,visible_tokens_per_total_wall_second
evo-ministral14,development-extraction,ok,196,3.158497249999982,3.158497249999982,9.595335582999951,6.436838332999969,9.632154499999842,30.449731663316726,20.348510813442953
evo-ministral14,development-summary,ok,597,3.766816209000126,3.766816209000126,24.06871754200006,20.301901332999932,24.102751042000136,29.40611276785196,24.768956828193613
evo-ministral14,H1-extraction,ok,502,5.649336958000049,5.649336958000049,23.137917875000085,17.488580917000036,23.173450083000034,28.704444481943266,21.662721700998055
evo-ministral14,H1-summary,ok,742,5.152537749999965,5.152537749999965,30.97900254199999,25.826464792000024,31.015158707999944,28.730219407723236,23.923785365270792
evo-ministral14,H2-extraction,ok,392,5.492407333000074,5.492407333000074,19.168585500000063,13.67617816699999,19.20661324999992,28.662978444217597,20.40963676925195
evo-ministral14,H2-summary,ok,398,5.417038041000069,5.417038041000069,19.28537504100018,13.86833700000011,19.32450341599997,28.698466153511905,20.59561332222751
evo-ministral14,H3-extraction,ok,563,4.978839667000102,4.978839667000102,24.52639175000013,19.547552083000028,24.5619062090002,28.801560298162638,22.92167371739659
evo-ministral14,H3-summary,ok,360,4.5521620419999635,4.5521620419999635,16.95647708399997,12.404315042000007,16.992462999999816,29.022158723078952,21.185863403086646
evo-ministral14,H4-extraction,ok,366,6.24802416600005,6.24802416600005,19.082260333000022,12.834236166999972,19.12134333300014,28.517474295905313,19.14091461180696
evo-ministral14,H4-summary,ok,597,6.068863958000065,6.068863958000065,27.075658417000113,21.006794459000048,27.11210508299996,28.419376462467564,22.019684497842093
evo-ministral14,merged-summary-synthesis,capped,2048,3.1534201249999114,3.1534201249999114,74.07152170900008,70.91810158400017,74.07474745900004,28.878381601546554,27.647748662707986
evo-ministral14,full-source-control,ok,529,30.33807016700007,30.33807016700007,51.82453554199992,21.486465374999852,51.866560041999946,24.620149976622372,10.199249758835597
