elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,2204431810.56,5390663680,9831006208,32009076736,717176832,2085470208,359579648,690270896128,577994752,992411648,5749735424,8962048,True
2.024,loading,2204431810.56,3959078912,9936732160,10853302272,928563200,24390156288,359579648,690271354880,577994752,992411648,5749735424,22065512448,True
2.063,development-extraction,2204431810.56,3975217152,10002595840,10853466112,931577856,24306139136,359579648,690271420416,577994752,992411648,5749735424,22068723712,True
4.081,development-extraction,2204431810.56,3550674944,10167762944,10853498880,1124384768,24376852480,359579648,690271698944,577994752,992411648,5749735424,22283681792,True
6.113,development-extraction,2204431810.56,3502194688,10251173888,10853498880,1205813248,24259067904,359530496,690271764480,577994752,992411648,5749735424,22283550720,True
8.147,development-summary,2204431810.56,3301834752,10438361088,10858446848,1348616192,24179376128,359514112,690274697216,577994752,992411648,5749735424,22355492864,True
10.169,development-summary,2204431810.56,2739961856,10748788736,10858725376,1513897984,24265293824,359514112,690274762752,577994752,992411648,5749735424,22667640832,True
12.189,development-summary,2204431810.56,2557345792,10738089984,10858725376,1708310528,24264572928,359514112,690274828288,577994752,992411648,5749735424,22667722752,True
14.209,development-summary,2204431810.56,2399059968,10712973312,10858774528,1892368384,24264572928,359514112,690274910208,577994752,992411648,5749735424,22667804672,True
16.243,H1-extraction,2204431810.56,2208661504,10769956864,10858840064,2107719680,24179556352,359514112,690274975744,577994752,992411648,5749735424,22724739072,True
18.266,H1-extraction,2196043202.56,1586872320,11117051904,10859053056,2305490944,24264687616,364658688,690278449152,577994752,1004584960,5749735424,23054565376,True
20.292,H1-extraction,2196043202.56,1422639104,11119902720,10859085824,2468904960,24264818688,364658688,690278514688,577994752,1004584960,5749735424,23057563648,True
22.325,H1-summary,2196043202.56,1251000320,11121901568,10859085824,2640216064,24263540736,364658688,690278580224,577994752,1004584960,5749735424,23117545472,True
24.347,H1-summary,2196043202.56,650149888,11524898816,10859118592,2834776064,24264622080,364658688,690278694912,577994752,1004584960,5749735424,23462543360,True
26.378,H1-summary,2196043202.56,453033984,11527847936,10859118592,3031351296,24264900608,364658688,690278760448,577994752,1004584960,5749735424,23465525248,True
28.407,H1-summary,2196043202.56,270336000,11527766016,10859151360,3214770176,24264884224,364658688,690278858752,577994752,1004584960,5749735424,23465525248,True
30.435,H1-summary,2196043202.56,61554688,11526946816,10859282432,3420536832,24264884224,364658688,690279088128,577994752,1004584960,5749735424,23465525248,True
32.472,H2-extraction,2187654594.56,65765376,11604033536,10869833728,3423240192,24181424128,363397120,690318426112,578027520,1005830144,5749735424,23542956032,True
34.496,H2-extraction,2187654594.56,63864832,11880775680,10869833728,3058581504,24266473472,363380736,690318557184,578027520,1005830144,5749735424,23806902272,True
36.518,H2-extraction,2187654594.56,64438272,11949260800,10869833728,2994601984,24266653696,363364352,690318622720,578027520,1005830144,5749735424,23875780608,True
38.541,H2-extraction,2187654594.56,59310080,11967610880,10871668736,2985836544,24267276288,363364352,690320703488,578093056,1005830144,5749735424,23875796992,True
40.577,H2-summary,2187654594.56,84328448,12009308160,10871734272,2997108736,24181456896,363347968,690322915328,578174976,1005830144,5749735424,23919394816,True
42.597,H2-summary,2187654594.56,58146816,12428099584,10872766464,2538831872,24268767232,363347968,690323816448,579141632,1005830144,5749735424,24284987392,True
44.612,H2-summary,2187654594.56,62898176,12430753792,10871816192,2531000320,24268898304,363347968,690323898368,579141632,1005830144,5749735424,24287985664,True
46.641,H2-summary,2187654594.56,64716800,12436062208,10871914496,2524921856,24268816384,363413504,690324291584,579141632,1005895680,5749735424,24287985664,True
48.675,H3-extraction,2187654594.56,65912832,12438732800,10872356864,2520219648,24267866112,363347968,690324733952,579141632,1005895680,5749735424,24341135360,True
50.696,H3-extraction,2187654594.56,64356352,12847005696,10872356864,2116845568,24269045760,363347968,690324832256,579141632,1005895680,5749735424,24696684544,True
52.724,H3-extraction,2187654594.56,62259200,12849938432,10872520704,2113470464,24268832768,363347968,690324930560,579141632,1005895680,5749735424,24699666432,True
54.761,H3-summary,2187654594.56,62668800,12934971392,10872537088,2117369856,24183930880,363315200,690325291008,579158016,1005895680,5749735424,24762105856,True
56.785,H3-summary,2187654594.56,66076672,12886441984,11234869248,1709064192,24268947456,363413504,690325667840,579190784,1006026752,5749735424,25099304960,True
58.819,H3-summary,2187654594.56,58310656,12889702400,11234918400,1717534720,24269094912,363413504,690325749760,579207168,1006026752,5749735424,25102286848,True
60.85,H3-summary,2187654594.56,62242816,12882624512,11234983936,1719107584,24269078528,363380736,690325831680,579239936,1006026752,5749735424,25102270464,True
62.892,H4-extraction,2187654594.56,60719104,12865257472,11246436352,1606270976,24391303168,363364352,690325897216,579239936,1006026752,5749735424,25132662784,True
64.917,H4-extraction,2187654594.56,65781760,12866142208,11638947840,1332576256,24269094912,363315200,690327257088,580763648,1006026752,5749735424,25372852224,True
66.948,H4-extraction,2187654594.56,66256896,12909674496,11688640512,1233715200,24270225408,363315200,690327322624,580763648,1006026752,5749735424,25508823040,True
68.976,H4-extraction,2187654594.56,65912832,12892241920,11687985152,1252376576,24270127104,363315200,690327781376,580780032,1006026752,5749735424,25508839424,True
71.023,H4-summary,2187654594.56,66289664,12964069376,11689328640,1264975872,24183914496,363315200,690328059904,580780032,1006026752,5749735424,25563791360,True
73.052,H4-summary,2187654594.56,62324736,12843794432,12054003712,942047232,24268832768,363315200,690328141824,581435392,1006026752,5749735424,25860358144,True
75.083,H4-summary,2187654594.56,66224128,12898156544,12054102016,880394240,24270028800,363315200,690328518656,581484544,1006026752,5749735424,25929220096,True
77.111,H4-summary,2187654594.56,60325888,12898467840,12054020096,890880000,24269897728,363315200,690328584192,581632000,1006026752,5749735424,25929220096,True
79.138,H4-summary,2187654594.56,61734912,12897697792,12054036480,885817344,24269914112,363315200,690328911872,581632000,1006026752,5749735424,25929220096,True
81.185,merged-summary-synthesis,2187654594.56,68567040,12956549120,12061917184,896008192,24183914496,363315200,690329190400,581648384,1006026752,5749735424,26017005568,True
83.211,merged-summary-synthesis,2187654594.56,67977216,12734283776,12460670976,582467584,24263442432,363315200,690329337856,581730304,1006026752,5749735424,26351665152,True
85.239,merged-summary-synthesis,2187654594.56,64307200,12675940352,12460736512,625065984,24261869568,363298816,690329763840,582287360,1006026752,5749735424,26351665152,True
87.267,merged-summary-synthesis,2187654594.56,58490880,12678053888,12460949504,624656384,24260820992,363298816,690330484736,582287360,1006026752,5749735424,26351665152,True
89.301,merged-summary-synthesis,2187654594.56,60358656,12675874816,12461195264,629538816,24260820992,363298816,690330763264,582680576,1006026752,5749735424,26351681536,True
91.331,merged-summary-synthesis,2187654594.56,61046784,12716638208,12461113344,593952768,24262737920,363347968,690331516928,583434240,1006092288,5749735424,26351681536,True
93.359,merged-summary-synthesis,2187654594.56,64438272,12716556288,12461064192,597000192,24262868992,363347968,690331582464,583548928,1006092288,5749735424,26351681536,True
95.382,merged-summary-synthesis,2187654594.56,60178432,12716425216,12461326336,595247104,24262787072,363347968,690332057600,584450048,1006092288,5749735424,26351681536,True
97.412,merged-summary-synthesis,2187654594.56,64438272,12715147264,12461162496,592855040,24262492160,363347968,690332614656,584744960,1006092288,5749735424,26351681536,True
99.444,merged-summary-synthesis,2187654594.56,60211200,12715180032,12461162496,600555520,24262475776,363347968,690332696576,584744960,1006092288,5749735424,26351697920,True
101.492,full-source-control,2187654594.56,62980096,12719292416,12461146112,595607552,24261459968,363347968,690333024256,585154560,1006092288,5749735424,26353631232,True
103.518,full-source-control,2187654594.56,64618496,12708757504,12461031424,600752128,24262524928,363347968,690333483008,585187328,1006092288,5749735424,26613940224,True
105.548,full-source-control,2187654594.56,62603264,12711378944,12461080576,599539712,24262524928,363347968,690333581312,585547776,1006092288,5749735424,26617839616,True
107.578,full-source-control,2187654594.56,67944448,12734791680,12461080576,577486848,24263507968,363347968,690334056448,585547776,1006092288,5749735424,26623279104,True
