model_id,request,status,prompt_tokens,completion_tokens_api,reasoning_characters,first_visible_seconds,last_visible_seconds,wall_seconds,words_whitespace,words_excluding_pdf_markers,prose_words_normalized,pdf_marker_count,parenthesized_numeric_marker_count,server_decode_tokens_per_second,timing_note
evo-qwen35-community,development-extraction,ok,2452,188,0,1.67505025,4.310992958,4.32578275,121,115,112,3,0,70.55496193805048,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-community,development-summary,ok,2388,390,0,1.5377048749999993,6.873784125,6.887929290999999,262,238,226,12,0,72.71051141657833,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-community,H1-extraction,ok,3595,222,0,2.3265189589999977,5.3888996250000005,5.403457624999998,137,129,125,4,0,71.83286929083081,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-community,H1-summary,ok,3489,439,0,2.3096001249999993,8.493399583999999,8.509029292000005,289,261,247,14,0,70.65446032897232,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-community,H2-extraction,ok,3733,294,0,2.4748833749999974,6.5452652079999964,6.559779208000002,182,174,170,4,0,71.73314876940927,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-community,H2-summary,ok,3630,376,0,2.3397841250000013,7.538187083000004,7.552642292000002,246,217,203,14,0,71.9413281059805,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-community,H3-extraction,ok,3379,187,0,2.267182875000003,4.845680209000001,4.860163249999999,110,100,95,5,0,71.74021710286775,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-community,H3-summary,ok,3275,410,0,2.151699999999991,7.820601709000002,7.835097958999995,275,253,242,11,0,71.96758678428763,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-community,H4-extraction,ok,4181,246,0,2.8579981249999946,6.281651874999994,6.296503250000001,161,149,149,4,0,71.25765692608428,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-community,H4-summary,ok,4086,436,0,2.692495875000006,8.753498917000002,8.768103708000012,300,276,264,12,0,71.60146132821534,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-community,full-source-control,ok,13916,665,0,12.008747041999996,22.54205429199999,22.55984404200001,504,504,504,0,0,62.93688529904309,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-community,merged-summary-synthesis,ok,1865,1334,0,1.2141702079999988,19.895219833,19.910172666999998,1021,1021,1021,0,0,71.29923792721509,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
