model_id,request,status,visible_tokens_retokenized,first_content_delta_seconds,first_readable_delta_seconds,last_content_delta_seconds,visible_phase_seconds,wall_seconds,visible_phase_tokens_per_second,visible_tokens_per_total_wall_second
evo-qwen35-community,development-extraction,ok,187,1.67505025,1.67505025,4.310992958,2.635942708,4.32578275,70.94236131629914,43.229170489433386
evo-qwen35-community,development-summary,ok,389,1.5377048749999993,1.5377048749999993,6.873784125,5.336079250000001,6.887929290999999,72.89996676867194,56.47560878830166
evo-qwen35-community,H1-extraction,ok,221,2.3265189589999977,2.3265189589999977,5.3888996250000005,3.062380666000003,5.403457624999998,72.16607734421994,40.89973778595147
evo-qwen35-community,H1-summary,ok,438,2.3096001249999993,2.3096001249999993,8.493399583999999,6.183799458999999,8.509029292000005,70.83024003350042,51.474731719609615
evo-qwen35-community,H2-extraction,ok,293,2.4748833749999974,2.4748833749999974,6.5452652079999964,4.070381832999999,6.559779208000002,71.98341876050725,44.666137488693344
evo-qwen35-community,H2-summary,ok,375,2.3397841250000013,2.3397841250000013,7.538187083000004,5.198402958000003,7.552642292000002,72.13753974629833,49.65149751593716
evo-qwen35-community,H3-extraction,ok,186,2.267182875000003,2.267182875000003,4.845680209000001,2.578497333999998,4.860163249999999,72.13503677021842,38.27031941776853
evo-qwen35-community,H3-summary,ok,409,2.151699999999991,2.151699999999991,7.820601709000002,5.668901709000011,7.835097958999995,72.14801402371593,52.201006565615586
evo-qwen35-community,H4-extraction,ok,245,2.8579981249999946,2.8579981249999946,6.281651874999994,3.4236537499999997,6.296503250000001,71.56097487954207,38.910485752548446
evo-qwen35-community,H4-summary,ok,435,2.692495875000006,2.692495875000006,8.753498917000002,6.061003041999996,8.768103708000012,71.77029890690497,49.611639470357346
evo-qwen35-community,merged-summary-synthesis,ok,1333,1.2141702079999988,1.2141702079999988,19.895219833,18.681049625,19.910172666999998,71.35573357805906,66.95070014181108
evo-qwen35-community,full-source-control,ok,664,12.008747041999996,12.008747041999996,22.54205429199999,10.533307249999993,22.55984404200001,63.03813078271313,29.432827583551596
