elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,2179265986.56,1491566592,6414974976,40118665216,14909440,2104541184,365051904,747358617600,603799552,1024638976,5749735424,1359872,True
2.027,loading,2179265986.56,389677056,6536527872,17995218944,15646720,25240993792,365035520,747361173504,603799552,1024638976,5749735424,23033184256,True
2.073,development-extraction,2179265986.56,387317760,6623313920,17995399168,15712256,25157025792,365035520,747361566720,603799552,1024638976,5749735424,23036510208,True
4.095,development-extraction,2179265986.56,189775872,6737920000,17995399168,15745024,25242828800,365035520,747361779712,603799552,1024638976,5749735424,23251435520,True
6.124,development-extraction,2179265986.56,189546496,6737149952,17995235328,16138240,25242140672,365035520,747361845248,603799552,1024638976,5749735424,23251288064,True
8.168,development-summary,2179265986.56,195739648,6731808768,17995235328,16285696,25241141248,365035520,747361910784,603799552,1024638976,5749735424,23315005440,True
10.192,development-summary,2179265986.56,60571648,7122632704,17752555520,3080192,25242959872,365035520,747362484224,603832320,1024638976,5749735424,23635951616,True
12.23,development-summary,2179265986.56,62062592,7122272256,17752555520,3702784,25241944064,365035520,747362762752,603832320,1024638976,5749735424,23636000768,True
14.259,development-summary,2179265986.56,89030656,7115079680,17730273280,2834432,25241911296,365035520,747362828288,604504064,1024638976,5749735424,23636082688,True
16.303,H1-extraction,2179265986.56,80658432,7119994880,17731616768,6520832,25241108480,365035520,747364089856,604504064,1024638976,5749735424,23711858688,True
18.331,H1-extraction,2179265986.56,65077248,7612809216,17248731136,6750208,25242206208,365019136,747364679680,604651520,1024638976,5749735424,24022810624,True
20.357,H1-extraction,2179265986.56,111198208,7572684800,17248780288,7946240,25242337280,365019136,747365203968,604651520,1024638976,5749735424,24025808896,True
22.387,H1-extraction,2179265986.56,132071424,7548157952,17248796672,9093120,25242353664,365002752,747365269504,604651520,1024638976,5749735424,24025808896,True
24.434,H1-summary,2179265986.56,158482432,7607517184,17248796672,9224192,25157435392,364986368,747365367808,604651520,1024638976,5749735424,24079040512,True
26.458,H1-summary,2179265986.56,70729728,7939899392,16927604736,3276800,25242484736,364986368,747366072320,606060544,1024638976,5749735424,24430854144,True
28.485,H1-summary,2179265986.56,82296832,7928037376,16927621120,3686400,25242386432,365051904,747366187008,606060544,1024704512,5749735424,24433836032,True
30.515,H1-summary,2179265986.56,177078272,7787266048,16927637504,3948544,25237667840,365051904,747366252544,606060544,1024704512,5749735424,24433836032,True
32.543,H1-summary,2179265986.56,205193216,7749238784,16927637504,5390336,25236537344,365051904,747366350848,606060544,1024704512,5749735424,24433836032,True
34.589,H2-extraction,2179265986.56,227557376,7814348800,16927637504,5537792,25151586304,365051904,747366416384,606060544,1024704512,5749735424,24470945792,True
36.611,H2-extraction,2179265986.56,110362624,8089731072,16684089344,3473408,25236684800,365051904,747366957056,606633984,1024704512,5749735424,24773853184,True
38.639,H2-extraction,2179265986.56,66846720,8158461952,16660578304,4210688,25236832256,365051904,747367546880,606650368,1024704512,5749735424,24842715136,True
40.687,H2-summary,2179265986.56,63553536,8160378880,16660578304,4407296,25235816448,365051904,747367612416,606650368,1024704512,5749735424,24888852480,True
42.718,H2-summary,2179265986.56,66289664,8565112832,16249749504,3194880,25236684800,365051904,747367989248,607076352,1024704512,5749735424,25248956416,True
44.746,H2-summary,2179265986.56,64176128,8568061952,16249749504,3473408,25236815872,365051904,747368071168,607076352,1024704512,5749735424,25251938304,True
46.775,H2-summary,2179265986.56,64847872,8567832576,16249733120,3719168,25236815872,365051904,747368136704,607076352,1024704512,5749735424,25251954688,True
48.804,H2-summary,2179265986.56,66600960,8567259136,16249733120,3948544,25236815872,365051904,747368202240,607076352,1024704512,5749735424,25252020224,True
50.843,H3-extraction,2179265986.56,83525632,8615477248,16141778944,1998848,25284935680,365051904,747368693760,607682560,1024704512,5749735424,25342738432,True
52.873,H3-extraction,2179265986.56,63586304,8879751168,15943122944,2637824,25236897792,365035520,747369136128,607748096,1024704512,5749735424,25660112896,True
54.897,H3-extraction,2179265986.56,97533952,8848211968,15943155712,3801088,25236979712,365035520,747369480192,607748096,1024704512,5749735424,25663094784,True
56.941,H3-summary,2179265986.56,123191296,8825257984,15943155712,4014080,25235767296,365035520,747369545728,607748096,1024704512,5749735424,25716228096,True
