0.00.035.715 I cmn  common_param: common_params_print_info: build 10852 (050dde50c) with AppleClang 21.0.0.21000101 for Darwin arm64
0.00.933.821 I load_tensors: offloaded 42/42 layers to GPU
0.00.933.823 I load_tensors:   CPU_Mapped model buffer size =   515.31 MiB
0.00.933.823 I load_tensors:  MTL0_Mapped model buffer size = 21098.65 MiB
0.00.937.727 I llama_context: n_ctx                 = 32768
0.00.937.848 I llama_context:        CPU  output buffer size =     0.95 MiB
0.00.949.334 I llama_kv_cache:       MTL0 KV buffer size =   640.00 MiB
0.00.970.359 I llama_memory_recurrent:       MTL0 RS buffer size =    62.81 MiB
0.00.980.291 I sched_reserve:       MTL0 compute buffer size =   154.48 MiB
0.00.980.293 I sched_reserve:        CPU compute buffer size =    40.02 MiB
0.01.036.148 I slot   load_model: id  0 | task -1 | new slot, n_ctx = 32768
0.03.707.764 D slot handle_last_: id  0 | task 0 | slot decode token, id=35, n_ctx = 32768, n_tokens = 2452, truncated = 0
0.03.726.300 D slot handle_last_: id  0 | task 0 | slot decode token, id=27325, n_ctx = 32768, n_tokens = 2453, truncated = 0
0.03.742.504 D slot handle_last_: id  0 | task 0 | slot decode token, id=16, n_ctx = 32768, n_tokens = 2454, truncated = 0
0.03.758.650 D slot handle_last_: id  0 | task 0 | slot decode token, id=25, n_ctx = 32768, n_tokens = 2455, truncated = 0
0.03.774.825 D slot handle_last_: id  0 | task 0 | slot decode token, id=28970, n_ctx = 32768, n_tokens = 2456, truncated = 0
0.03.790.997 D slot handle_last_: id  0 | task 0 | slot decode token, id=26268, n_ctx = 32768, n_tokens = 2457, truncated = 0
0.03.807.182 D slot handle_last_: id  0 | task 0 | slot decode token, id=998, n_ctx = 32768, n_tokens = 2458, truncated = 0
0.03.823.328 D slot handle_last_: id  0 | task 0 | slot decode token, id=3955, n_ctx = 32768, n_tokens = 2459, truncated = 0
0.03.839.504 D slot handle_last_: id  0 | task 0 | slot decode token, id=364, n_ctx = 32768, n_tokens = 2460, truncated = 0
0.03.855.732 D slot handle_last_: id  0 | task 0 | slot decode token, id=10993, n_ctx = 32768, n_tokens = 2461, truncated = 0
0.03.871.877 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 32768, n_tokens = 2462, truncated = 0
0.03.887.987 D slot handle_last_: id  0 | task 0 | slot decode token, id=694, n_ctx = 32768, n_tokens = 2463, truncated = 0
0.03.904.226 D slot handle_last_: id  0 | task 0 | slot decode token, id=524, n_ctx = 32768, n_tokens = 2464, truncated = 0
0.03.920.436 D slot handle_last_: id  0 | task 0 | slot decode token, id=660, n_ctx = 32768, n_tokens = 2465, truncated = 0
0.03.936.614 D slot handle_last_: id  0 | task 0 | slot decode token, id=7840, n_ctx = 32768, n_tokens = 2466, truncated = 0
0.03.952.920 D slot handle_last_: id  0 | task 0 | slot decode token, id=8209, n_ctx = 32768, n_tokens = 2467, truncated = 0
0.03.969.095 D slot handle_last_: id  0 | task 0 | slot decode token, id=1521, n_ctx = 32768, n_tokens = 2468, truncated = 0
0.03.985.394 D slot handle_last_: id  0 | task 0 | slot decode token, id=1330, n_ctx = 32768, n_tokens = 2469, truncated = 0
0.04.001.980 D slot handle_last_: id  0 | task 0 | slot decode token, id=25057, n_ctx = 32768, n_tokens = 2470, truncated = 0
0.04.018.678 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 2471, truncated = 0
0.04.034.961 D slot handle_last_: id  0 | task 0 | slot decode token, id=20078, n_ctx = 32768, n_tokens = 2472, truncated = 0
0.04.051.255 D slot handle_last_: id  0 | task 0 | slot decode token, id=13161, n_ctx = 32768, n_tokens = 2473, truncated = 0
0.04.067.702 D slot handle_last_: id  0 | task 0 | slot decode token, id=13, n_ctx = 32768, n_tokens = 2474, truncated = 0
0.04.084.225 D slot handle_last_: id  0 | task 0 | slot decode token, id=561, n_ctx = 32768, n_tokens = 2475, truncated = 0
0.04.100.877 D slot handle_last_: id  0 | task 0 | slot decode token, id=1414, n_ctx = 32768, n_tokens = 2476, truncated = 0
0.04.117.546 D slot handle_last_: id  0 | task 0 | slot decode token, id=5134, n_ctx = 32768, n_tokens = 2477, truncated = 0
0.04.133.831 D slot handle_last_: id  0 | task 0 | slot decode token, id=421, n_ctx = 32768, n_tokens = 2478, truncated = 0
0.04.150.089 D slot handle_last_: id  0 | task 0 | slot decode token, id=328, n_ctx = 32768, n_tokens = 2479, truncated = 0
0.04.166.299 D slot handle_last_: id  0 | task 0 | slot decode token, id=57517, n_ctx = 32768, n_tokens = 2480, truncated = 0
0.04.182.566 D slot handle_last_: id  0 | task 0 | slot decode token, id=998, n_ctx = 32768, n_tokens = 2481, truncated = 0
