model_id,request,status,prompt_tokens,completion_tokens_api,reasoning_characters,first_visible_seconds,last_visible_seconds,wall_seconds,words_whitespace,words_excluding_pdf_markers,prose_words_normalized,pdf_marker_count,parenthesized_numeric_marker_count,server_decode_tokens_per_second,timing_note
evo-qwen35-mtp-off,development-extraction,ok,2452,212,0,1.646189209000001,5.095515584000001,5.1123871250000015,141,135,135,2,0,60.88014805128705,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-mtp-off,development-summary,ok,2388,389,0,1.5530160839999994,7.909406167,7.926574374999998,265,239,226,13,0,60.88071804099658,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-mtp-off,H1-extraction,ok,3595,227,0,2.3910045409999974,6.104809082999999,6.121914790999998,144,136,132,4,0,60.58235729168985,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-mtp-off,H1-summary,ok,3489,376,0,2.285558958000003,8.469367791000003,8.486555250000002,253,231,220,11,0,60.47919846192528,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-mtp-off,H2-extraction,ok,3733,152,0,2.507297957999995,4.992263041999998,5.009521041999996,80,68,68,4,0,60.359945140404825,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-mtp-off,H2-summary,ok,3630,349,0,2.3977937089999983,8.149217334,8.166422083999997,228,202,189,13,0,60.33127068578104,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-mtp-off,H3-extraction,ok,3379,177,0,2.2415419160000027,5.129622540999996,5.146809957999999,103,91,91,4,0,60.591246630472575,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-mtp-off,H3-summary,ok,3275,389,0,2.1941192080000036,8.595968458000002,8.613154082999998,261,239,228,11,0,60.449074303441265,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-mtp-off,H4-extraction,ok,4181,266,0,2.8030389160000055,7.195895582999995,7.2133015,178,170,166,4,0,60.094559356076594,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-mtp-off,H4-summary,ok,4086,382,0,2.7657158330000016,9.084689291999993,9.102053458,268,250,241,9,0,60.134540380343864,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-mtp-off,full-source-control,ok,13916,961,0,11.751579082999996,30.732964917000004,30.755837541999995,653,609,587,22,0,50.519655171778666,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen35-mtp-off,merged-summary-synthesis,ok,1700,1496,0,1.1393641250000002,25.670491499999997,25.687576957999994,1010,922,878,44,0,60.901374562355386,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
