model_id,request,status,visible_tokens_retokenized,first_content_delta_seconds,first_readable_delta_seconds,last_content_delta_seconds,visible_phase_seconds,wall_seconds,visible_phase_tokens_per_second,visible_tokens_per_total_wall_second
evo-qwen35-mtp-off,development-extraction,ok,211,1.646189209000001,1.646189209000001,5.095515584000001,3.449326375,5.1123871250000015,61.17136422035448,41.27230486286774
evo-qwen35-mtp-off,development-summary,ok,388,1.5530160839999994,1.5530160839999994,7.909406167,6.356390083000001,7.926574374999998,61.0409359610726,48.94926630900377
evo-qwen35-mtp-off,H1-extraction,ok,226,2.3910045409999974,2.3910045409999974,6.104809082999999,3.713804542000002,6.121914790999998,60.854037266670964,36.91655433235514
evo-qwen35-mtp-off,H1-summary,ok,375,2.285558958000003,2.285558958000003,8.469367791000003,6.1838088330000005,8.486555250000002,60.6422368684501,44.1875400504816
evo-qwen35-mtp-off,H2-extraction,ok,151,2.507297957999995,2.507297957999995,4.992263041999998,2.4849650840000024,5.009521041999996,60.76544132239399,30.142602203685907
evo-qwen35-mtp-off,H2-summary,ok,348,2.3977937089999983,2.3977937089999983,8.149217334,5.751423625000001,8.166422083999997,60.50675844626207,42.61352112595508
evo-qwen35-mtp-off,H3-extraction,ok,176,2.2415419160000027,2.2415419160000027,5.129622540999996,2.8880806249999935,5.146809957999999,60.94012697446782,34.19593912272446
evo-qwen35-mtp-off,H3-summary,ok,388,2.1941192080000036,2.1941192080000036,8.595968458000002,6.401849249999998,8.613154082999998,60.60748775051211,45.04737710031282
evo-qwen35-mtp-off,H4-extraction,ok,265,2.8030389160000055,2.8030389160000055,7.195895582999995,4.39285666699999,7.2133015,60.32520978677328,36.73768523331515
evo-qwen35-mtp-off,H4-summary,ok,381,2.7657158330000016,2.7657158330000016,9.084689291999993,6.3189734589999915,9.102053458,60.29460362067973,41.85868625778401
evo-qwen35-mtp-off,merged-summary-synthesis,ok,1495,1.1393641250000002,1.1393641250000002,25.670491499999997,24.531127374999997,25.687576957999994,60.94297979650029,58.19933902074036
evo-qwen35-mtp-off,full-source-control,ok,960,11.751579082999996,11.751579082999996,30.732964917000004,18.981385834000008,30.755837541999995,50.57586460733653,31.21358664640589
