elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,2296706498.56,1157677056,5179441152,41082535936,443514880,2091368448,343146496,662539829248,555597824,907804672,5749735424,9224192,True
2.028,loading,2296706498.56,58703872,5449711616,22668787712,545374208,21319057408,343146496,662542204928,556171264,907804672,5749735424,19017007104,True
2.067,development-extraction,2296706498.56,86147072,5516099584,22668967936,538116096,21234221056,343146496,662542811136,556171264,907804672,5749735424,19022004224,True
4.083,development-extraction,2296706498.56,67862528,5597167616,22525165568,535396352,21319598080,340819968,662558195712,556171264,908197888,5749735424,19200868352,True
6.104,development-extraction,2296706498.56,60506112,5601132544,22525280256,541491200,21319467008,340787200,662558310400,556335104,908197888,5749735424,19201146880,True
8.134,development-extraction,2296706498.56,62488576,5917245440,22319054848,431456256,21318942720,340852736,662559342592,556400640,908263424,5749735424,19516522496,True
10.168,development-extraction,2296706498.56,67895296,5919227904,22309224448,434421760,21320040448,340836352,662560030720,556466176,908263424,5749735424,19520012288,True
12.19,development-extraction,2296706498.56,58540032,5919653888,22294200320,454852608,21319909376,340754432,662560096256,557203456,908263424,5749735424,19520028672,True
14.219,development-extraction,2296706498.56,64897024,5919375360,22287237120,458080256,21319827456,340738048,662561193984,557400064,908263424,5749735424,19520061440,True
16.257,development-extraction,2296706498.56,64520192,5919096832,22287384576,456507392,21319811072,340639744,662561554432,557465600,908328960,5749735424,19520110592,True
18.284,development-extraction,2296706498.56,60178432,5912674304,22287499264,467271680,21319680000,340754432,662561800192,557514752,908460032,5749735424,19520159744,True
20.319,development-summary,2296706498.56,59244544,5915115520,22287548416,465797120,21318631424,340754432,662562275328,557678592,908460032,5749735424,19625459712,True
22.345,development-summary,2296706498.56,65863680,6551977984,21517549568,592510976,21319532544,340738048,662563700736,557678592,908460032,5749735424,20158611456,True
24.374,development-summary,2296706498.56,66813952,6552387584,21517549568,594886656,21319417856,340738048,662563782656,557678592,908460032,5749735424,20158611456,True
26.404,development-summary,2296706498.56,66158592,6867091456,21353725952,442155008,21318713344,340738048,662564208640,557875200,908460032,5749735424,20472430592,True
28.44,development-summary,2296706498.56,65798144,6875283456,21353725952,431538176,21320613888,340738048,662564487168,557875200,908460032,5749735424,20475445248,True
30.473,development-summary,2296706498.56,62210048,6868189184,21347188736,450560000,21320433664,340738048,662564552704,557891584,908460032,5749735424,20475428864,True
32.504,development-summary,2296706498.56,58671104,6874955776,21338816512,454443008,21320187904,340738048,662564913152,558366720,908460032,5749735424,20475428864,True
34.532,development-summary,2296706498.56,60178432,6858014720,21261811712,418856960,21452603392,340836352,662565208064,558448640,908591104,5749735424,20475428864,True
36.557,development-summary,2296706498.56,66207744,6867386368,21261860864,413597696,21436727296,341606400,662565486592,558465024,909508608,5749735424,20475428864,True
38.579,development-summary,2296706498.56,66355200,6942261248,21261860864,455524352,21319450624,341606400,662565912576,558661632,909508608,5749735424,20475445248,True
40.617,development-summary,2296706498.56,62406656,6917652480,21261582336,490323968,21319254016,341606400,662566600704,558759936,909508608,5749735424,20475494400,True
42.647,development-summary,2296706498.56,84213760,6848135168,21261647872,514998272,21317255168,341475328,662567157760,559104000,909508608,5749735424,20475510784,True
44.669,development-summary,2296706498.56,62767104,6722420736,21261467648,620773376,21314158592,341475328,662567239680,559366144,909508608,5749735424,20475527168,True
46.692,development-summary,2296706498.56,65961984,6668926976,21261582336,662241280,21312454656,341475328,662567354368,559382528,909508608,5749735424,20475527168,True
48.716,development-summary,2296706498.56,60948480,6662389760,21261615104,673546240,21311848448,341475328,662567698432,559759360,909508608,5749735424,20475527168,True
50.745,development-summary,2296706498.56,66437120,6656655360,21261860864,673071104,21311504384,341442560,662568828928,559775744,909508608,5749735424,20475527168,True
52.774,development-summary,2296706498.56,64405504,6656475136,21261877248,678805504,21310488576,341442560,662568894464,559808512,909508608,5749735424,20475576320,True
54.805,development-summary,2296706498.56,62341120,6656688128,21261877248,681050112,21310357504,341475328,662568992768,559824896,909574144,5749735424,20475576320,True
56.852,H1-extraction,2296706498.56,63111168,6744489984,21261975552,678756352,21224374272,341475328,662569336832,560005120,909574144,5749735424,20566900736,True
58.883,H1-extraction,2296706498.56,192774144,7358267392,20557463552,571293696,21312356352,341475328,662570565632,560021504,909574144,5749735424,21128036352,True
60.911,H1-extraction,2296706498.56,73859072,7359053824,20557463552,687865856,21311373312,341475328,662570631168,560021504,909574144,5749735424,21128036352,True
62.934,H1-extraction,2296706498.56,60391424,7358283776,20557463552,701726720,21312339968,341475328,662570696704,560152576,909574144,5749735424,21128675328,True
64.96,H1-extraction,2296706498.56,58212352,7464370176,20557463552,577945600,21309718528,341475328,662571220992,560201728,909574144,5749735424,21285634048,True
66.992,H1-extraction,2296706498.56,66715648,7620853760,20544356352,432717824,21310390272,341524480,662571483136,560300032,909639680,5749735424,21444509696,True
69.014,H1-extraction,2296706498.56,60276736,7624605696,20544356352,431685632,21310439424,341458944,662571548672,560349184,909639680,5749735424,21447524352,True
71.045,H1-extraction,2296706498.56,59408384,7624441856,20544356352,434585600,21310406656,341458944,662571892736,560447488,909639680,5749735424,21447524352,True
73.076,H1-extraction,2296706498.56,60325888,7631618048,20544716800,431603712,21310341120,341409792,662572580864,560496640,909639680,5749735424,21447524352,True
75.098,H1-extraction,2296706498.56,68075520,7630749696,20533673984,433373184,21310341120,341409792,662574104576,560791552,909639680,5749735424,21447540736,True
77.12,H1-extraction,2296706498.56,60473344,7830306816,20374700032,461930496,21317091328,341344256,662578659328,561020928,909639680,5749735424,21447540736,True
79.152,H1-extraction,2296706498.56,64569344,7853768704,20323909632,497467392,21317468160,341344256,662578888704,561217536,909639680,5749735424,21447540736,True
81.177,H1-extraction,2296706498.56,63766528,7852621824,20294533120,527450112,21317304320,341278720,662579019776,561233920,909639680,5749735424,21447540736,True
83.207,H1-extraction,2296706498.56,58998784,7849410560,20289634304,537460736,21317320704,341278720,662579363840,561315840,909639680,5749735424,21447540736,True
85.254,H1-summary,2296706498.56,62619648,7851900928,20289667072,531202048,21316321280,341278720,662580314112,561463296,909639680,5749735424,21497774080,True
87.275,H1-summary,2296706498.56,169836544,8571355136,19291930624,706609152,21317419008,341278720,662580445184,561496064,909639680,5749735424,22168535040,True
89.304,H1-summary,2296706498.56,62324736,8580120576,19291586560,812302336,21317419008,341278720,662580690944,561676288,909639680,5749735424,22168535040,True
91.329,H1-summary,2296706498.56,58851328,8573059072,19291586560,817332224,21317435392,341278720,662581035008,561725440,909639680,5749735424,22168551424,True
93.353,H1-summary,2296706498.56,64602112,8736571392,19291586560,651509760,21316780032,341229568,662581379072,561840128,909639680,5749735424,22325460992,True
95.378,H1-summary,2296706498.56,70778880,8880422912,19181813760,479838208,21450997760,341311488,662581460992,561856512,909836288,5749735424,22482370560,True
97.407,H1-summary,2296706498.56,65028096,9046048768,19181912064,455573504,21320728576,341311488,662584180736,561905664,909836288,5749735424,22485352448,True
99.432,H1-summary,2296706498.56,65601536,9028780032,19181912064,477560832,21320744960,341311488,662584803328,562020352,909836288,5749735424,22485368832,True
101.457,H1-summary,2296706498.56,62619648,9008005120,19181912064,504938496,21320728576,341344256,662584868864,562020352,909901824,5749735424,22485385216,True
103.477,H1-summary,2296706498.56,64339968,8992473088,19181912064,510394368,21320761344,341344256,662584934400,562102272,909901824,5749735424,22485385216,True
105.497,H1-summary,2296706498.56,60964864,8986935296,19181813760,523091968,21320761344,341344256,662585294848,562429952,909901824,5749735424,22485401600,True
107.531,H1-summary,2296706498.56,67174400,8967208960,19181813760,536363008,21320761344,341344256,662585573376,562593792,909901824,5749735424,22485401600,True
109.553,H1-summary,2296706498.56,58195968,8964341760,19182206976,553910272,21320613888,341344256,662586032128,562593792,909901824,5749735424,22485417984,True
111.575,H1-summary,2296706498.56,67928064,8957542400,19182239744,541982720,21320515584,341327872,662586130432,562610176,909901824,5749735424,22485434368,True
113.607,H1-summary,2296706498.56,58195968,8958246912,19182419968,552009728,21320531968,341377024,662587244544,562659328,909967360,5749735424,22485434368,True
115.637,H1-summary,2296706498.56,67862528,8958164992,19182419968,540229632,21320531968,341278720,662587670528,562823168,909967360,5749735424,22485450752,True
117.657,H1-summary,2296706498.56,66519040,8966815744,19182288896,540016640,21320564736,341147648,662587785216,563036160,909967360,5749735424,22485450752,True
119.69,H1-summary,2296706498.56,86441984,8791162880,19182272512,632979456,21315174400,341147648,662587850752,563036160,909967360,5749735424,22485450752,True
121.708,H1-summary,2296706498.56,62865408,8789655552,19182272512,659554304,21315190784,341147648,662588276736,563101696,909967360,5749735424,22485450752,True
123.752,H2-extraction,2296706498.56,59392000,8791752704,19182272512,660062208,21314387968,341147648,662588555264,563101696,909967360,5749735424,22529736704,True
125.779,H2-extraction,2296706498.56,191774720,9504751616,18435276800,566722560,21315190784,341147648,662588686336,563544064,909967360,5749735424,23208427520,True
127.81,H2-extraction,2296706498.56,60555264,9514778624,18435162112,687931392,21315371008,341147648,662589227008,563544064,909967360,5749735424,23208427520,True
129.834,H2-extraction,2296706498.56,58884096,9508831232,18435162112,697810944,21315141632,341180416,662589669376,563560448,910032896,5749735424,23208427520,True
131.865,H2-extraction,2296706498.56,58228736,9507733504,18435162112,695697408,21315141632,341164032,662589947904,563707904,910032896,5749735424,23208443904,True
133.896,H2-extraction,2296706498.56,58294272,9821650944,18356535296,457048064,21314584576,341164032,662590013440,563888128,910032896,5749735424,23522263040,True
135.922,H2-extraction,2296706498.56,60981248,9823076352,18327060480,481951744,21315616768,341164032,662590406656,563904512,910032896,5749735424,23525244928,True
137.957,H2-extraction,2296706498.56,60325888,9830268928,18314100736,491569152,21315518464,341147648,662592405504,564019200,910032896,5749735424,23525244928,True
139.982,H2-extraction,2296706498.56,63848448,9818980352,18314280960,494813184,21315190784,341147648,662592471040,564035584,910032896,5749735424,23525244928,True
142.008,H2-extraction,2296706498.56,58785792,9761308672,18314280960,535068672,21313503232,341065728,662592815104,564051968,910032896,5749735424,23525244928,True
144.034,H2-extraction,2296706498.56,66633728,9754525696,18314280960,531234816,21313568768,341065728,662593126400,564101120,910032896,5749735424,23525244928,True
146.057,H2-extraction,2296706498.56,60391424,9753214976,18314280960,537346048,21313552384,341065728,662593257472,564330496,910032896,5749735424,23525244928,True
148.081,H2-extraction,2296706498.56,66666496,9753509888,18314280960,532938752,21313536000,341065728,662593323008,564346880,910032896,5749735424,23525261312,True
150.108,H2-extraction,2296706498.56,58834944,9753477120,18314002432,536772608,21313536000,341065728,662593847296,564363264,910032896,5749735424,23525261312,True
152.136,H2-extraction,2296706498.56,62357504,9753231360,18329387008,522420224,21313568768,341131264,662608723968,564592640,910163968,5749735424,23525261312,True
154.176,H2-summary,2296706498.56,60243968,9802104832,18318196736,441024512,21359689728,341131264,662608789504,564641792,910163968,5749735424,23571152896,True
156.198,H2-summary,2296706498.56,204898304,10480386048,17276174336,587120640,21439627264,341131264,662608871424,564641792,910163968,5749735424,24254791680,True
158.224,H2-summary,2296706498.56,103071744,10514251776,17276174336,767033344,21310816256,341180416,662608936960,564641792,910295040,5749735424,24254791680,True
160.248,H2-summary,2296706498.56,73449472,10517512192,17276223488,805175296,21312471040,341114880,662610231296,564723712,910295040,5749735424,24254791680,True
162.271,H2-summary,2296706498.56,66715648,10662232064,17276223488,667254784,21311832064,341114880,662610804736,564838400,910295040,5749735424,24411701248,True
164.305,H2-summary,2296706498.56,64569344,10807377920,17276223488,522911744,21311062016,340983808,662610870272,565084160,910295040,5749735424,24568610816,True
166.358,H2-summary,2296706498.56,67125248,10777935872,17276239872,544112640,21312946176,340983808,662610952192,565149696,910295040,5749735424,24571592704,True
168.382,H2-summary,2296706498.56,66420736,10776215552,17276239872,548913152,21312978944,340983808,662611378176,565346304,910295040,5749735424,24571592704,True
170.421,H2-summary,2296706498.56,60686336,10775592960,17276239872,551927808,21313077248,340983808,662611968000,565346304,910295040,5749735424,24571592704,True
172.452,H2-summary,2296706498.56,62406656,10775904256,17276239872,546324480,21313110016,340983808,662612033536,565346304,910295040,5749735424,24571592704,True
174.485,H2-summary,2296706498.56,67436544,10783145984,17276239872,541409280,21313093632,340934656,662612099072,565428224,910295040,5749735424,24571592704,True
176.504,H2-summary,2296706498.56,65093632,10783539200,17276256256,540213248,21313077248,340934656,662612541440,565755904,910295040,5749735424,24571592704,True
178.541,H2-summary,2296706498.56,67977216,10776510464,17276256256,548093952,21313126400,340934656,662613016576,565755904,910295040,5749735424,24571592704,True
180.573,H2-summary,2296706498.56,64929792,10775969792,17276256256,546553856,21313142784,340934656,662613082112,565805056,910295040,5749735424,24571609088,True
182.607,H2-summary,2296706498.56,58867712,10775953408,17276256256,552534016,21313159168,340934656,662613901312,566149120,910295040,5749735424,24571609088,True
184.643,H2-summary,2296706498.56,58114048,10775986176,17276256256,551763968,21313159168,340934656,662614523904,566149120,910295040,5749735424,24571609088,True
186.666,H2-summary,2296706498.56,67977216,10776002560,17276305408,541671424,21313257472,340951040,662614638592,566214656,910360576,5749735424,24571609088,True
188.7,H2-summary,2296706498.56,62685184,10776133632,17276305408,548225024,21313372160,340918272,662614704128,566329344,910360576,5749735424,24571609088,True
190.727,H2-summary,2288317890.56,65159168,10805936128,17276305408,532496384,21313323008,336117760,662615130112,566362112,911572992,5749735424,24571609088,True
192.757,H2-summary,2288317890.56,64667648,10806001664,17276157952,532054016,21313306624,335986688,662615408640,566771712,911572992,5749735424,24571609088,True
194.787,H2-summary,2288317890.56,66191360,10806001664,17276157952,532529152,21313306624,335986688,662615490560,566902784,911572992,5749735424,24571609088,True
196.826,H3-extraction,2288317890.56,60801024,10893492224,17276174336,534937600,21227323392,335986688,662615834624,566935552,911572992,5749735424,24646795264,True
198.851,H3-extraction,2288317890.56,187056128,11526471680,16325738496,634093568,21313404928,336134144,662616850432,567066624,911769600,5749735424,25306775552,True
200.877,H3-extraction,2288317890.56,58212352,11526651904,16325738496,764624896,21313355776,336134144,662616915968,567066624,911769600,5749735424,25306775552,True
202.901,H3-extraction,2288317890.56,67878912,11526635520,16325738496,755089408,21313175552,336134144,662616981504,567066624,911769600,5749735424,25306775552,True
204.933,H3-extraction,2288317890.56,60456960,11834294272,16325918720,450101248,21312552960,336281600,662617669632,567115776,911966208,5749735424,25620594688,True
206.956,H3-extraction,2288317890.56,66617344,11836178432,16325951488,444530688,21313634304,336281600,662617931776,567115776,911966208,5749735424,25623576576,True
