0.00.042.205 I cmn  common_param: common_params_print_info: build 10852 (050dde50c) with AppleClang 21.0.0.21000101 for Darwin arm64
0.00.727.643 I load_tensors: offloaded 66/66 layers to GPU
0.00.727.644 I load_tensors:   CPU_Mapped model buffer size =   682.03 MiB
0.00.727.645 I load_tensors:  MTL0_Mapped model buffer size = 15770.35 MiB
0.00.730.789 I llama_context: n_ctx                 = 32768
0.00.730.920 I llama_context:        CPU  output buffer size =     0.95 MiB
0.00.772.181 I llama_kv_cache:       MTL0 KV buffer size =  2048.00 MiB
0.00.841.958 I llama_memory_recurrent:       MTL0 RS buffer size =   149.62 MiB
0.00.855.177 I sched_reserve:       MTL0 compute buffer size =   257.30 MiB
0.00.855.180 I sched_reserve:        CPU compute buffer size =    52.02 MiB
0.01.034.227 I slot   load_model: id  0 | task -1 | new slot, n_ctx = 32768
0.09.439.338 D slot handle_last_: id  0 | task 0 | slot decode token, id=35, n_ctx = 32768, n_tokens = 2452, truncated = 0
0.09.509.250 D slot handle_last_: id  0 | task 0 | slot decode token, id=27325, n_ctx = 32768, n_tokens = 2453, truncated = 0
0.09.576.813 D slot handle_last_: id  0 | task 0 | slot decode token, id=16, n_ctx = 32768, n_tokens = 2454, truncated = 0
0.09.649.050 D slot handle_last_: id  0 | task 0 | slot decode token, id=25, n_ctx = 32768, n_tokens = 2455, truncated = 0
0.09.716.332 D slot handle_last_: id  0 | task 0 | slot decode token, id=28970, n_ctx = 32768, n_tokens = 2456, truncated = 0
0.09.783.951 D slot handle_last_: id  0 | task 0 | slot decode token, id=26268, n_ctx = 32768, n_tokens = 2457, truncated = 0
0.09.851.436 D slot handle_last_: id  0 | task 0 | slot decode token, id=998, n_ctx = 32768, n_tokens = 2458, truncated = 0
0.09.918.480 D slot handle_last_: id  0 | task 0 | slot decode token, id=3955, n_ctx = 32768, n_tokens = 2459, truncated = 0
0.09.985.797 D slot handle_last_: id  0 | task 0 | slot decode token, id=364, n_ctx = 32768, n_tokens = 2460, truncated = 0
0.10.052.845 D slot handle_last_: id  0 | task 0 | slot decode token, id=10993, n_ctx = 32768, n_tokens = 2461, truncated = 0
0.10.119.893 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 32768, n_tokens = 2462, truncated = 0
0.10.186.709 D slot handle_last_: id  0 | task 0 | slot decode token, id=694, n_ctx = 32768, n_tokens = 2463, truncated = 0
0.10.253.619 D slot handle_last_: id  0 | task 0 | slot decode token, id=1330, n_ctx = 32768, n_tokens = 2464, truncated = 0
0.10.320.532 D slot handle_last_: id  0 | task 0 | slot decode token, id=25057, n_ctx = 32768, n_tokens = 2465, truncated = 0
0.10.387.609 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 2466, truncated = 0
0.10.454.397 D slot handle_last_: id  0 | task 0 | slot decode token, id=2763, n_ctx = 32768, n_tokens = 2467, truncated = 0
0.10.520.915 D slot handle_last_: id  0 | task 0 | slot decode token, id=20078, n_ctx = 32768, n_tokens = 2468, truncated = 0
