model_id,request,status,prompt_tokens,completion_tokens_api,reasoning_characters,first_visible_seconds,last_visible_seconds,wall_seconds,words_whitespace,words_excluding_pdf_markers,prose_words_normalized,pdf_marker_count,parenthesized_numeric_marker_count,server_decode_tokens_per_second,timing_note
evo-qwen38-27b,development-extraction,ok,2452,144,0,7.381079416999999,17.072703542,17.141097958,89,85,83,2,0,14.652263866984493,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen38-27b,development-summary,ok,2388,420,0,6.85593325,35.296880957999996,35.365626166999995,289,265,253,12,0,14.696863682274993,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen38-27b,H1-extraction,ok,3595,265,0,10.230422583000006,28.162882832999998,28.231838333,167,159,155,4,0,14.665886930344872,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen38-27b,H1-summary,ok,3489,401,0,10.190910666000008,37.576729791000005,37.647007458000004,262,240,229,11,0,14.568692935112681,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen38-27b,H2-extraction,ok,3733,258,0,10.821809624999986,28.425057332999984,28.494416124999987,157,145,145,4,0,14.542475884246194,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen38-27b,H2-summary,ok,3630,448,0,10.345236375000013,41.11814291600001,41.188026416000014,322,300,289,11,0,14.493094299950313,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen38-27b,H3-extraction,ok,3379,250,0,9.77897225000001,27.12673454100002,27.197341375000008,156,148,144,4,0,14.295649885410896,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen38-27b,H3-summary,ok,3275,430,0,9.579362791999984,39.41502216699999,39.48726974999997,295,273,262,11,0,14.344067365625095,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen38-27b,H4-extraction,ok,4181,264,0,12.429240708999998,31.032626917000016,31.104728542000032,172,164,160,4,0,14.082764891185207,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen38-27b,H4-summary,ok,4086,484,0,12.186679749999996,46.36873716600002,46.440546332999986,282,256,243,13,0,14.100608042741602,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen38-27b,full-source-control,ok,13916,672,0,46.37441074999998,95.99921512500003,96.07483525000004,494,484,479,5,0,13.501046783843414,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
evo-qwen38-27b,merged-summary-synthesis,ok,1967,1754,0,5.930285834000017,128.70524862500002,128.77644216700003,1157,1065,1019,46,0,14.271562864032216,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
