elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,0.0,1376092160,15015870464,29786767360,1901133824,2398519296,22855680,31479447552,27279360,0,0,8962048,True
2.026,loading,0.0,92700672,14943879168,13140000768,1775861760,20566966272,22855680,31479873536,27279360,0,0,18185764864,True
2.073,development-extraction,0.0,90914816,14944288768,13141671936,1776779264,20566982656,22855680,31479939072,27279360,0,0,18189008896,True
4.1,development-extraction,0.0,68567040,14857715712,13515276288,1299398656,20785102848,22855680,31480578048,27279360,0,0,18649464832,True
6.145,development-summary,0.0,71778304,14903984128,13559529472,1336393728,20652425216,22855680,31480643584,27279360,0,0,18692112384,True
8.178,development-summary,0.0,74727424,14834597888,14193623040,618119168,20800176128,22822912,31481085952,27279360,0,0,19365068800,True
10.218,development-summary,0.0,75448320,14314799104,14180532224,121028608,21836103680,22118400,31487934464,29409280,0,0,19365199872,True
12.246,development-summary,0.0,64045056,14255144960,14127054848,109936640,21966831616,22118400,31488081920,29409280,0,0,19365347328,True
14.289,H1-extraction,0.0,574652416,14254292992,14103101440,146571264,21446754304,22102016,31488999424,29409280,0,0,19378601984,True
16.312,H1-extraction,0.0,481083392,14348419072,14218870784,126877696,21351677952,22609920,31489441792,29523968,0,0,19662667776,True
18.338,H1-extraction,0.0,64700416,14557806592,14422130688,103677952,21380055040,22609920,31490064384,29851648,0,0,20086833152,True
20.364,H1-extraction,0.0,69632000,14566490112,14427176960,128188416,21338456064,22593536,31490129920,29851648,0,0,20086882304,True
22.388,H1-extraction,0.0,125747200,14573273088,14446182400,123191296,21254471680,22593536,31494766592,30146560,0,0,20086882304,True
24.432,H1-summary,0.0,64356352,14587101184,14448148480,167247872,21259010048,22593536,31494864896,30146560,0,0,20102463488,True
26.46,H1-summary,0.0,465059840,14393442304,14264500224,141606912,21254209536,27525120,31497027584,30457856,0,0,20406894592,True
28.483,H1-summary,0.0,59097088,14542438400,14398013440,118816768,21403107328,27475968,31501975552,30932992,0,0,20829503488,True
30.508,H1-summary,0.0,65208320,14394769408,14360870912,105234432,21572763648,48857088,31502630912,31096832,0,0,20829503488,True
32.538,H1-summary,0.0,70664192,14491107328,14344486912,125026304,21471199232,48857088,31503220736,31096832,0,0,20829503488,True
34.575,H2-extraction,0.0,58802176,14494629888,14358609920,113065984,21481603072,48857088,31503630336,32063488,0,0,20850999296,True
36.595,H2-extraction,0.0,498696192,14250835968,14158905344,126287872,21468413952,52559872,31503728640,32145408,0,0,21148270592,True
38.622,H2-extraction,0.0,63864832,14518812672,14335819776,166133760,21416411136,52543488,31503810560,32145408,0,0,21571420160,True
40.645,H2-extraction,0.0,62488576,14508720128,14321893376,161808384,21445246976,52527104,31504105472,32358400,0,0,21571420160,True
42.668,H2-extraction,0.0,63881216,14522613760,14334705664,172802048,21405073408,52510720,31504400384,32358400,0,0,21571469312,True
44.693,H2-extraction,0.0,60489728,14506754048,14327627776,158515200,21445099520,52510720,31504482304,32555008,0,0,21571502080,True
46.737,H2-summary,0.0,84590592,14541586432,14378188800,158302208,21340372992,52248576,31504908288,32555008,0,0,21571649536,True
48.757,H2-summary,0.0,427556864,14268956672,14214004736,123453440,21459845120,60293120,31505334272,32997376,0,0,21896642560,True
50.785,H2-summary,0.0,67026944,14474739712,14381940736,85508096,21479079936,66142208,31510282240,34193408,0,0,22319251456,True
52.809,H2-summary,0.0,64307200,14510014464,14408220672,82673664,21420457984,67649536,31510970368,34455552,0,0,22319235072,True
54.836,H2-summary,0.0,66011136,14477213696,14381203456,95371264,21464334336,69681152,31511396352,34488320,0,0,22319235072,True
56.874,H3-extraction,0.0,67026944,14510800896,14387609600,98402304,21415542784,71270400,31512035328,34734080,0,0,22350839808,True
58.903,H3-extraction,0.0,415039488,14198013952,14180859904,136986624,21452865536,142311424,31517655040,34914304,0,0,22641065984,True
60.928,H3-extraction,0.0,62521344,14461272064,14320435200,106463232,21430108160,143163392,31517966336,35307520,0,0,23063674880,True
62.955,H3-extraction,0.0,63422464,14453768192,14321811456,105234432,21436448768,143163392,31518195712,35389440,0,0,23063674880,True
64.991,H3-summary,0.0,63143936,14453620736,14332903424,95469568,21438988288,143147008,31518294016,35405824,0,0,23064559616,True
67.015,H3-summary,0.0,409649152,14232371200,14071562240,123879424,21461385216,184729600,31519195136,35635200,0,0,23378821120,True
69.038,H3-summary,0.0,62128128,14422884352,14285668352,99860480,21432565760,186171392,31519686656,36126720,0,0,23801430016,True
71.068,H3-summary,0.0,67829760,14402371584,14275182592,95371264,21465792512,186155008,31519932416,36143104,0,0,23801430016,True
73.092,H3-summary,0.0,66387968,14423556096,14302560256,91832320,21418393600,186089472,31519997952,36143104,0,0,23801430016,True
75.114,H3-summary,0.0,71073792,14411644928,14276608000,105938944,21443657728,185958400,31520456704,36225024,0,0,23801430016,True
77.154,H4-extraction,0.0,80658432,14441922560,14322483200,121536512,21343911936,185909248,31520686080,36749312,0,0,23801659392,True
