0.00.036.891 I cmn  common_param: common_params_print_info: build 10852 (050dde50c) with AppleClang 21.0.0.21000101 for Darwin arm64
0.00.831.720 I load_tensors: offloaded 31/31 layers to GPU
0.00.831.724 I load_tensors:   CPU_Mapped model buffer size =   577.50 MiB
0.00.831.725 I load_tensors:  MTL0_Mapped model buffer size = 16230.79 MiB
0.00.834.666 I llama_context: n_ctx                 = 32768
0.00.834.813 I llama_context:        CPU  output buffer size =     1.00 MiB
0.00.845.237 I llama_kv_cache:       MTL0 KV buffer size =   640.00 MiB
0.00.867.702 I llama_kv_cache:       MTL0 KV buffer size =   300.00 MiB
0.00.889.744 I sched_reserve:       MTL0 compute buffer size =   255.24 MiB
0.00.889.746 I sched_reserve:        CPU compute buffer size =    44.52 MiB
0.00.993.547 I slot   load_model: id  0 | task -1 | new slot, n_ctx = 32768
0.04.031.740 D slot handle_last_: id  0 | task 0 | slot decode token, id=236796, n_ctx = 32768, n_tokens = 2451, truncated = 0
0.04.048.602 D slot handle_last_: id  0 | task 0 | slot decode token, id=236772, n_ctx = 32768, n_tokens = 2452, truncated = 0
0.04.063.855 D slot handle_last_: id  0 | task 0 | slot decode token, id=236935, n_ctx = 32768, n_tokens = 2453, truncated = 0
0.04.079.007 D slot handle_last_: id  0 | task 0 | slot decode token, id=236770, n_ctx = 32768, n_tokens = 2454, truncated = 0
0.04.094.032 D slot handle_last_: id  0 | task 0 | slot decode token, id=236787, n_ctx = 32768, n_tokens = 2455, truncated = 0
0.04.109.417 D slot handle_last_: id  0 | task 0 | slot decode token, id=35028, n_ctx = 32768, n_tokens = 2456, truncated = 0
0.04.124.492 D slot handle_last_: id  0 | task 0 | slot decode token, id=31872, n_ctx = 32768, n_tokens = 2457, truncated = 0
0.04.139.518 D slot handle_last_: id  0 | task 0 | slot decode token, id=964, n_ctx = 32768, n_tokens = 2458, truncated = 0
0.04.154.601 D slot handle_last_: id  0 | task 0 | slot decode token, id=5540, n_ctx = 32768, n_tokens = 2459, truncated = 0
0.04.169.687 D slot handle_last_: id  0 | task 0 | slot decode token, id=573, n_ctx = 32768, n_tokens = 2460, truncated = 0
0.04.185.170 D slot handle_last_: id  0 | task 0 | slot decode token, id=14860, n_ctx = 32768, n_tokens = 2461, truncated = 0
0.04.200.461 D slot handle_last_: id  0 | task 0 | slot decode token, id=236764, n_ctx = 32768, n_tokens = 2462, truncated = 0
0.04.215.541 D slot handle_last_: id  0 | task 0 | slot decode token, id=840, n_ctx = 32768, n_tokens = 2463, truncated = 0
0.04.230.666 D slot handle_last_: id  0 | task 0 | slot decode token, id=711, n_ctx = 32768, n_tokens = 2464, truncated = 0
0.04.245.701 D slot handle_last_: id  0 | task 0 | slot decode token, id=784, n_ctx = 32768, n_tokens = 2465, truncated = 0
0.04.260.788 D slot handle_last_: id  0 | task 0 | slot decode token, id=6819, n_ctx = 32768, n_tokens = 2466, truncated = 0
0.04.275.897 D slot handle_last_: id  0 | task 0 | slot decode token, id=8390, n_ctx = 32768, n_tokens = 2467, truncated = 0
0.04.290.912 D slot handle_last_: id  0 | task 0 | slot decode token, id=236761, n_ctx = 32768, n_tokens = 2468, truncated = 0
0.04.305.960 D slot handle_last_: id  0 | task 0 | slot decode token, id=8512, n_ctx = 32768, n_tokens = 2469, truncated = 0
0.04.321.010 D slot handle_last_: id  0 | task 0 | slot decode token, id=529, n_ctx = 32768, n_tokens = 2470, truncated = 0
0.04.336.124 D slot handle_last_: id  0 | task 0 | slot decode token, id=506, n_ctx = 32768, n_tokens = 2471, truncated = 0
0.04.351.199 D slot handle_last_: id  0 | task 0 | slot decode token, id=47643, n_ctx = 32768, n_tokens = 2472, truncated = 0
0.04.366.221 D slot handle_last_: id  0 | task 0 | slot decode token, id=24096, n_ctx = 32768, n_tokens = 2473, truncated = 0
0.04.381.222 D slot handle_last_: id  0 | task 0 | slot decode token, id=1308, n_ctx = 32768, n_tokens = 2474, truncated = 0
0.04.396.274 D slot handle_last_: id  0 | task 0 | slot decode token, id=506, n_ctx = 32768, n_tokens = 2475, truncated = 0
0.04.411.283 D slot handle_last_: id  0 | task 0 | slot decode token, id=13098, n_ctx = 32768, n_tokens = 2476, truncated = 0
0.04.426.311 D slot handle_last_: id  0 | task 0 | slot decode token, id=1562, n_ctx = 32768, n_tokens = 2477, truncated = 0
0.04.441.287 D slot handle_last_: id  0 | task 0 | slot decode token, id=152815, n_ctx = 32768, n_tokens = 2478, truncated = 0
0.04.456.367 D slot handle_last_: id  0 | task 0 | slot decode token, id=991, n_ctx = 32768, n_tokens = 2479, truncated = 0
0.04.471.357 D slot handle_last_: id  0 | task 0 | slot decode token, id=506, n_ctx = 32768, n_tokens = 2480, truncated = 0
0.04.486.340 D slot handle_last_: id  0 | task 0 | slot decode token, id=4209, n_ctx = 32768, n_tokens = 2481, truncated = 0
0.04.501.356 D slot handle_last_: id  0 | task 0 | slot decode token, id=532, n_ctx = 32768, n_tokens = 2482, truncated = 0
0.04.516.439 D slot handle_last_: id  0 | task 0 | slot decode token, id=506, n_ctx = 32768, n_tokens = 2483, truncated = 0
