elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,1541731778.56,73564160,5576933376,38098501632,2531950592,3170385920,1081114624,286686937088,280002560,115490816,1650786304,12255232,True
2.028,loading,1541731778.56,58277888,4062789632,7852916736,464502784,37021220864,1080836096,286687936512,283099136,115490816,1650786304,33632927744,True
2.056,development-extraction,1541731778.56,57556992,4068442112,7853146112,458457088,37021450240,1080836096,286688493568,283099136,115490816,1650786304,33643937792,True
4.08,development-extraction,1541731778.56,58589184,4054335488,7853408256,467746816,37025644544,1080721408,286688739328,283099136,115490816,1650786304,33670053888,True
6.106,development-extraction,1541731778.56,61669376,4048633856,7854784512,473907200,37024514048,1079410688,286689312768,283115520,116015104,1650786304,33670971392,True
8.13,development-extraction,1541731778.56,59670528,4052041728,7854817280,489963520,37008310272,1079328768,286689558528,283115520,116015104,1650786304,33670971392,True
10.152,development-extraction,1541731778.56,59867136,4050993152,7854833664,494714880,37004984320,1079017472,286689624064,283246592,116015104,1650786304,33672069120,True
12.174,development-extraction,1541731778.56,59555840,4054171648,7855587328,490848256,37008932864,1072742400,286690279424,283295744,116015104,1650786304,33672019968,True
14.203,development-extraction,1541731778.56,62504960,4043161600,7855685632,463683584,37046452224,1072742400,286690852864,283328512,116015104,1650786304,33672609792,True
16.227,development-extraction,1541731778.56,66584576,4054384640,7855423488,458604544,37034622976,1072709632,286690967552,283885568,116015104,1650786304,33672609792,True
18.249,development-extraction,1541731778.56,61292544,4046290944,7856357376,473923584,37033721856,1072578560,286691475456,283918336,116277248,1650786304,33672740864,True
20.274,development-extraction,1541731778.56,63160320,4057137152,7856422912,496959488,37003804672,1072578560,286691704832,284033024,116277248,1650786304,33674280960,True
22.298,development-extraction,1541731778.56,66011136,4035903488,7857750016,490979328,37021908992,1070612480,286695849984,284082176,116342784,1650786304,33674297344,True
24.326,development-extraction,1541731778.56,82493440,4035084288,7858241536,569475072,36992696320,1003044864,286697193472,284098560,116473856,1650786304,33674297344,True
26.355,development-extraction,1541731778.56,67158016,4020699136,7858323456,587153408,37005246464,1002979328,286697881600,284229632,116473856,1650786304,33674297344,True
28.383,development-extraction,1541731778.56,63078400,4017340416,7863042048,601587712,36997185536,1002881024,286698029056,284639232,116473856,1650786304,33674313728,True
30.411,development-extraction,1541731778.56,61505536,4001660928,7871545344,611385344,37004361728,991035392,286700191744,284770304,116801536,1650786304,33674313728,True
32.441,development-extraction,1541731778.56,64536576,3970482176,7871692800,647118848,36987813888,984432640,286702059520,285065216,116801536,1650786304,33674346496,True
