model_id,request,status,prompt_tokens,completion_tokens_api,reasoning_characters,first_visible_seconds,last_visible_seconds,wall_seconds,words_whitespace,words_excluding_pdf_markers,prose_words_normalized,pdf_marker_count,parenthesized_numeric_marker_count,server_decode_tokens_per_second,timing_note
nemotron-49b,development-extraction,ok,2372,129,0,16.998226000000003,35.710238917000005,35.858601792,94,91,91,1,0,6.786746480926141,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,development-summary,ok,2311,429,0,15.943302958000004,78.970443708,79.119639458,298,284,277,7,0,6.774584424752388,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,H1-extraction,ok,3512,538,0,24.85335574999999,106.78868483299999,106.931532791,374,359,346,5,0,6.542406986618146,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,H1-summary,ok,3408,428,0,23.09031245899999,84.33199587499999,84.480725917,251,231,221,10,0,6.956678028860634,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,H2-extraction,ok,3648,526,0,25.061341000000027,100.86493425000003,101.01189762500002,357,345,331,4,0,6.912284583259153,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,H2-summary,ok,3549,482,0,24.91527791699997,93.91936120799994,94.06325283299998,344,317,305,13,0,6.9559717501934974,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,H3-extraction,ok,3289,301,0,22.723899666999955,65.46737662499993,65.61056920800002,196,184,184,4,0,6.995060671075809,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,H3-summary,ok,3188,389,0,21.55555162500002,76.78377383299994,76.928054041,249,227,215,11,1,7.006989020066264,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,H4-extraction,ok,4047,494,0,27.891737041000056,99.00599508300002,99.15190508300009,356,344,331,4,0,6.918195897852233,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,H4-summary,ok,3954,431,0,27.751918124999975,85.443003084,85.559375875,255,241,234,7,0,7.438376167193661,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,full-source-control,ok,13541,753,0,100.94578637500001,197.23686974999998,197.36735591600007,496,486,468,4,7,7.798992419960143,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
nemotron-49b,merged-summary-synthesis,ok,1928,834,0,10.83973658299999,104.65816849999999,104.77015370799995,535,490,469,22,0,8.868084601356763,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
