elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,0.0,82919424,18075303936,15175172096,14213054464,2986475520,0,14215004160,16384,0,0,9633792,True
2.026,loading,0.0,61800448,18388434944,10153361408,9022373888,12919898112,0,14216019968,16384,0,0,9979265024,True
2.072,development-extraction,0.0,66682880,18390876160,10153476096,9014820864,12919930880,0,14216118272,16384,0,0,9980821504,True
4.093,development-extraction,0.0,63471616,18232066048,10153476096,8944582656,13153878016,0,14216675328,16384,0,0,10002202624,True
6.113,development-extraction,0.0,78331904,18350784512,10153492480,8967127040,13001261056,0,14216740864,16384,0,0,10003841024,True
8.157,development-summary,0.0,63520768,18256707584,10153476096,8942436352,13129711616,0,14216806400,16384,0,0,10021306368,True
10.184,development-summary,0.0,74727424,18732564480,10177183744,8554987520,13008175104,0,14217560064,16384,0,0,10379558912,True
12.203,development-summary,0.0,61374464,18663211008,10176364544,8513519616,13130891264,0,14217723904,16384,0,0,10379591680,True
14.23,development-summary,0.0,105136128,18708250624,10211835904,8518729728,13004619776,0,14217789440,16384,0,0,10379673600,True
16.256,development-summary,0.0,60981248,18661556224,10175987712,8514289664,13131448320,0,14217887744,16384,0,0,10379706368,True
18.283,development-summary,0.0,86573056,18716278784,10207854592,8533475328,13005619200,0,14218051584,16384,0,0,10379755520,True
20.307,development-summary,0.0,66535424,18667831296,10175954944,8515928064,13126713344,0,14218117120,16384,0,0,10379755520,True
22.355,H1-extraction,0.0,101056512,18764791808,10227154944,8537587712,12919226368,0,14218313728,16384,0,0,10380328960,True
24.384,H1-extraction,0.0,62177280,18683133952,10596270080,8064794624,13144932352,0,14219214848,16384,0,0,10792075264,True
26.403,H1-extraction,0.0,82722816,18721914880,10650173440,8086700032,13006929920,0,14219296768,16384,0,0,10792615936,True
28.425,H1-extraction,0.0,58556416,18681659392,10594435072,8072396800,13147013120,0,14219362304,16384,0,0,10792615936,True
30.474,H1-summary,0.0,78151680,18735448064,10653728768,8082948096,13002620928,0,14219427840,16384,0,0,10792812544,True
32.503,H1-summary,0.0,66191360,18682331136,11156144128,7501758464,13143277568,0,14219591680,16384,0,0,11339661312,True
34.522,H1-summary,0.0,70762496,18715738112,11212046336,7541260288,13007945728,0,14219657216,16384,0,0,11339661312,True
36.545,H1-summary,0.0,68288512,18682068992,11166728192,7495483392,13132922880,0,14219739136,16384,0,0,11339661312,True
38.572,H1-summary,0.0,86228992,18718228480,11212652544,7530184704,13001850880,0,14219804672,16384,0,0,11339661312,True
40.599,H1-summary,0.0,68108288,18682953728,11165581312,7497957376,13131022336,0,14219870208,16384,0,0,11339677696,True
42.627,H1-summary,0.0,91635712,18700156928,11213176832,7537770496,13001375744,0,14219935744,16384,0,0,11339694080,True
44.675,H2-extraction,0.0,62799872,18726567936,11151245312,7555153920,13047529472,0,14220001280,16384,0,0,11339956224,True
46.703,H2-extraction,0.0,59408384,18586370048,11707105280,7025197056,13164544000,0,14220099584,16384,0,0,11903451136,True
48.722,H2-extraction,0.0,67469312,18690015232,11689656320,7034224640,13058834432,0,14220165120,16384,0,0,11904532480,True
50.746,H2-extraction,0.0,65667072,18615648256,11689508864,7019626496,13148389376,0,14220230656,16384,0,0,11904532480,True
52.774,H2-extraction,0.0,86917120,18739003392,11673206784,7048216576,12993740800,0,14220296192,16384,0,0,11904548864,True
54.819,H2-summary,0.0,81903616,18635423744,11672240128,7082999808,13071679488,0,14220361728,16384,0,0,11904679936,True
56.847,H2-summary,0.0,71991296,18748325888,12214386688,6513721344,12997050368,0,14220460032,16384,0,0,12475564032,True
58.867,H2-summary,0.0,62488576,18646401024,12178227200,6507036672,13146128384,0,14220525568,16384,0,0,12475564032,True
60.889,H2-summary,0.0,60571648,18751717376,12219744256,6515752960,12993904640,0,14220591104,16384,0,0,12475564032,True
62.917,H2-summary,0.0,64749568,18633981952,12183027712,6508003328,13148618752,0,14220656640,16384,0,0,12475564032,True
64.942,H2-summary,0.0,60981248,18748915712,12223004672,6511050752,12994412544,0,14220754944,16384,0,0,12475564032,True
66.965,H2-summary,0.0,63291392,18632491008,12183027712,6510608384,13149798400,0,14220820480,16384,0,0,12475564032,True
69.013,H3-extraction,0.0,62701568,18748391424,12222218240,6511951872,12993855488,0,14220886016,16384,0,0,12475629568,True
71.042,H3-extraction,0.0,67862528,18636947456,12765347840,5924110336,13149110272,0,14220967936,16384,0,0,13060653056,True
73.061,H3-extraction,0.0,62013440,18685378560,12747243520,5922242560,13130219520,0,14221787136,16384,0,0,13060653056,True
75.085,H3-extraction,0.0,65306624,18655412224,12753633280,5925879808,13144260608,0,14222049280,16384,0,0,13060653056,True
77.111,H3-extraction,0.0,62226432,18690162688,12744228864,5928910848,13119307776,0,14222147584,16384,0,0,13060653056,True
79.138,H3-extraction,0.0,60604416,18667143168,12739182592,5931974656,13146472448,0,14222344192,16384,0,0,13060653056,True
81.186,H3-summary,0.0,66306048,18790449152,12846727168,5921832960,12914622464,0,14222409728,16384,0,0,13060734976,True
83.214,H3-summary,0.0,67551232,18672533504,13277708288,5378916352,13145374720,0,14222671872,16384,0,0,13592379392,True
85.234,H3-summary,0.0,80642048,18733514752,13342834688,5387403264,12998656000,0,14222737408,16384,0,0,13592379392,True
87.258,H3-summary,0.0,62717952,18668634112,13278937088,5382946816,13153222656,0,14222950400,16384,0,0,13592379392,True
89.285,H3-summary,0.0,61079552,18683150336,13284147200,5382717440,13132791808,0,14223015936,16384,0,0,13592379392,True
91.314,H3-summary,0.0,68288512,18665275392,13294649344,5378195456,13138329600,0,14223081472,16384,0,0,13592379392,True
93.362,H4-extraction,0.0,76922880,18703319040,13314523136,5395709952,13056655360,0,14223147008,16384,0,0,13592625152,True
95.389,H4-extraction,0.0,65765376,18666553344,13803716608,4862509056,13145112576,0,14223212544,16384,0,0,14110851072,True
97.408,H4-extraction,0.0,63602688,18752454656,13863862272,4864049152,13000835072,0,14223294464,16384,0,0,14110900224,True
99.433,H4-extraction,0.0,65748992,18638897152,13972275200,4638883840,13232832512,0,14244069376,32768,0,0,14111096832,True
