0.00.254.512 I load_tensors: offloaded 37/37 layers to GPU
0.00.254.515 I load_tensors:   CPU_Mapped model buffer size =   333.84 MiB
0.00.254.515 I load_tensors:  MTL0_Mapped model buffer size =  4789.19 MiB
0.00.255.744 I llama_context: n_ctx                 = 32768
0.00.255.850 I llama_context:        CPU  output buffer size =     0.58 MiB
0.00.351.903 I llama_kv_cache:       MTL0 KV buffer size =  4608.00 MiB
0.00.500.993 I sched_reserve:       MTL0 compute buffer size =   202.37 MiB
0.00.500.995 I sched_reserve:        CPU compute buffer size =    48.01 MiB
0.00.607.697 I slot   load_model: id  0 | task -1 | new slot, n_ctx = 32768
0.04.395.989 D slot handle_last_: id  0 | task 0 | slot decode token, id=35, n_ctx = 32768, n_tokens = 2405, truncated = 0
0.04.419.420 D slot handle_last_: id  0 | task 0 | slot decode token, id=28242, n_ctx = 32768, n_tokens = 2406, truncated = 0
0.04.443.259 D slot handle_last_: id  0 | task 0 | slot decode token, id=16, n_ctx = 32768, n_tokens = 2407, truncated = 0
0.04.467.089 D slot handle_last_: id  0 | task 0 | slot decode token, id=25, n_ctx = 32768, n_tokens = 2408, truncated = 0
0.04.490.867 D slot handle_last_: id  0 | task 0 | slot decode token, id=29948, n_ctx = 32768, n_tokens = 2409, truncated = 0
0.04.514.674 D slot handle_last_: id  0 | task 0 | slot decode token, id=27141, n_ctx = 32768, n_tokens = 2410, truncated = 0
0.04.537.151 D slot handle_last_: id  0 | task 0 | slot decode token, id=1033, n_ctx = 32768, n_tokens = 2411, truncated = 0
0.04.560.739 D slot handle_last_: id  0 | task 0 | slot decode token, id=4091, n_ctx = 32768, n_tokens = 2412, truncated = 0
0.04.584.564 D slot handle_last_: id  0 | task 0 | slot decode token, id=369, n_ctx = 32768, n_tokens = 2413, truncated = 0
0.04.608.318 D slot handle_last_: id  0 | task 0 | slot decode token, id=11320, n_ctx = 32768, n_tokens = 2414, truncated = 0
0.04.632.261 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 32768, n_tokens = 2415, truncated = 0
0.04.655.447 D slot handle_last_: id  0 | task 0 | slot decode token, id=323, n_ctx = 32768, n_tokens = 2416, truncated = 0
0.04.678.281 D slot handle_last_: id  0 | task 0 | slot decode token, id=3040, n_ctx = 32768, n_tokens = 2417, truncated = 0
0.04.702.139 D slot handle_last_: id  0 | task 0 | slot decode token, id=315, n_ctx = 32768, n_tokens = 2418, truncated = 0
0.04.726.065 D slot handle_last_: id  0 | task 0 | slot decode token, id=1105, n_ctx = 32768, n_tokens = 2419, truncated = 0
0.04.749.922 D slot handle_last_: id  0 | task 0 | slot decode token, id=8469, n_ctx = 32768, n_tokens = 2420, truncated = 0
0.04.773.897 D slot handle_last_: id  0 | task 0 | slot decode token, id=13, n_ctx = 32768, n_tokens = 2421, truncated = 0
0.04.797.268 D slot handle_last_: id  0 | task 0 | slot decode token, id=330, n_ctx = 32768, n_tokens = 2422, truncated = 0
0.04.820.099 D slot handle_last_: id  0 | task 0 | slot decode token, id=59528, n_ctx = 32768, n_tokens = 2423, truncated = 0
0.04.844.105 D slot handle_last_: id  0 | task 0 | slot decode token, id=1033, n_ctx = 32768, n_tokens = 2424, truncated = 0
0.04.868.102 D slot handle_last_: id  0 | task 0 | slot decode token, id=4091, n_ctx = 32768, n_tokens = 2425, truncated = 0
0.04.892.003 D slot handle_last_: id  0 | task 0 | slot decode token, id=369, n_ctx = 32768, n_tokens = 2426, truncated = 0
0.04.915.902 D slot handle_last_: id  0 | task 0 | slot decode token, id=11320, n_ctx = 32768, n_tokens = 2427, truncated = 0
0.04.939.906 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 32768, n_tokens = 2428, truncated = 0
0.04.963.266 D slot handle_last_: id  0 | task 0 | slot decode token, id=323, n_ctx = 32768, n_tokens = 2429, truncated = 0
0.04.986.464 D slot handle_last_: id  0 | task 0 | slot decode token, id=3040, n_ctx = 32768, n_tokens = 2430, truncated = 0
0.05.010.418 D slot handle_last_: id  0 | task 0 | slot decode token, id=315, n_ctx = 32768, n_tokens = 2431, truncated = 0
0.05.034.317 D slot handle_last_: id  0 | task 0 | slot decode token, id=1105, n_ctx = 32768, n_tokens = 2432, truncated = 0
0.05.058.239 D slot handle_last_: id  0 | task 0 | slot decode token, id=1033, n_ctx = 32768, n_tokens = 2433, truncated = 0
0.05.082.123 D slot handle_last_: id  0 | task 0 | slot decode token, id=76803, n_ctx = 32768, n_tokens = 2434, truncated = 0
0.05.106.006 D slot handle_last_: id  0 | task 0 | slot decode token, id=387, n_ctx = 32768, n_tokens = 2435, truncated = 0
0.05.128.600 D slot handle_last_: id  0 | task 0 | slot decode token, id=62500, n_ctx = 32768, n_tokens = 2436, truncated = 0
0.05.152.556 D slot handle_last_: id  0 | task 0 | slot decode token, id=1, n_ctx = 32768, n_tokens = 2437, truncated = 0
0.05.176.590 D slot handle_last_: id  0 | task 0 | slot decode token, id=508, n_ctx = 32768, n_tokens = 2438, truncated = 0
0.05.200.576 D slot handle_last_: id  0 | task 0 | slot decode token, id=23424, n_ctx = 32768, n_tokens = 2439, truncated = 0
0.05.224.384 D slot handle_last_: id  0 | task 0 | slot decode token, id=281, n_ctx = 32768, n_tokens = 2440, truncated = 0
0.05.248.094 D slot handle_last_: id  0 | task 0 | slot decode token, id=13, n_ctx = 32768, n_tokens = 2441, truncated = 0
0.05.270.577 D slot handle_last_: id  0 | task 0 | slot decode token, id=220, n_ctx = 32768, n_tokens = 2442, truncated = 0
0.05.294.246 D slot handle_last_: id  0 | task 0 | slot decode token, id=16, n_ctx = 32768, n_tokens = 2443, truncated = 0
0.05.318.087 D slot handle_last_: id  0 | task 0 | slot decode token, id=15, n_ctx = 32768, n_tokens = 2444, truncated = 0
0.05.341.910 D slot handle_last_: id  0 | task 0 | slot decode token, id=17, n_ctx = 32768, n_tokens = 2445, truncated = 0
0.05.365.675 D slot handle_last_: id  0 | task 0 | slot decode token, id=29562, n_ctx = 32768, n_tokens = 2446, truncated = 0
0.05.389.334 D slot handle_last_: id  0 | task 0 | slot decode token, id=35, n_ctx = 32768, n_tokens = 2447, truncated = 0
0.05.411.893 D slot handle_last_: id  0 | task 0 | slot decode token, id=28242, n_ctx = 32768, n_tokens = 2448, truncated = 0
0.05.435.850 D slot handle_last_: id  0 | task 0 | slot decode token, id=17, n_ctx = 32768, n_tokens = 2449, truncated = 0
0.05.459.743 D slot handle_last_: id  0 | task 0 | slot decode token, id=25, n_ctx = 32768, n_tokens = 2450, truncated = 0
0.05.483.559 D slot handle_last_: id  0 | task 0 | slot decode token, id=576, n_ctx = 32768, n_tokens = 2451, truncated = 0
0.05.507.535 D slot handle_last_: id  0 | task 0 | slot decode token, id=21085, n_ctx = 32768, n_tokens = 2452, truncated = 0
0.05.531.428 D slot handle_last_: id  0 | task 0 | slot decode token, id=1558, n_ctx = 32768, n_tokens = 2453, truncated = 0
0.05.554.007 D slot handle_last_: id  0 | task 0 | slot decode token, id=537, n_ctx = 32768, n_tokens = 2454, truncated = 0
