elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,2666266624.0,74350592,2316091392,44495388672,453312512,2099200000,434798592,609216512000,521158656,543571968,5749276672,868352,True
2.027,loading,2666266624.0,59899904,2454552576,6467387392,445743104,40046510080,433537024,609255620608,521191424,543637504,5749276672,37766184960,True
2.053,development-extraction,2666266624.0,65912832,2457567232,6467584000,437420032,40046542848,433537024,609255931904,521191424,543637504,5749276672,37768085504,True
4.071,development-extraction,2666266624.0,65765376,2624176128,6289211392,444940288,40048197632,435027968,609257832448,521388032,545669120,5749276672,37941805056,True
6.107,development-extraction,2657878016.0,61456384,2958639104,5967495168,445071360,40048754688,437272576,609258307584,521420800,548814848,5749276672,38256328704,True
8.129,development-extraction,2657878016.0,62324736,2955640832,5967462400,445153280,40048852992,437370880,609259094016,521666560,548945920,5749276672,38260031488,True
10.158,development-extraction,2657878016.0,62717952,2954674176,5962547200,452296704,40048721920,437370880,609259421696,521682944,548945920,5749276672,38260047872,True
12.202,development-summary,2657878016.0,68222976,2954084352,5844533248,435437568,40178434048,437518336,609259618304,522043392,549273600,5749276672,38321471488,True
14.228,development-summary,2657878016.0,66240512,3503489024,5169627136,579616768,40166391808,437321728,609260371968,522059776,549404672,5749276672,38790676480,True
16.256,development-summary,2657878016.0,61571072,3891822592,5018910720,461799424,40049115136,437583872,609260732416,522141696,549666816,5749276672,39103315968,True
18.287,development-summary,2657878016.0,62390272,3876012032,5018746880,485376000,40049426432,437272576,609260847104,522485760,549666816,5749276672,39106379776,True
20.309,development-summary,2657878016.0,60260352,3856498688,5018910720,499826688,40049410048,437223424,609261109248,522715136,549666816,5749276672,39106412544,True
22.339,development-summary,2657878016.0,62849024,3844407296,5018927104,505839616,40048689152,437436416,609261682688,522747904,549928960,5749276672,39106428928,True
24.372,development-summary,2657878016.0,60456960,3821600768,5018943488,533987328,40048558080,437501952,609261830144,523173888,549994496,5749276672,39106461696,True
26.405,development-summary,2657878016.0,66682880,3821862912,5019090944,527777792,40048279552,437665792,609262157824,523190272,550191104,5749276672,39106510848,True
28.446,H1-extraction,2657878016.0,62849024,3824910336,5019123712,529809408,40047263744,438206464,609263026176,523190272,550780928,5749276672,38569918464,True
30.47,H1-extraction,2657878016.0,222478336,3664592896,4978163712,570671104,40048082944,437731328,609263108096,523206656,550912000,5749276672,38950912000,True
32.497,H1-extraction,2657878016.0,64536576,3664969728,4978163712,726679552,40048082944,437731328,609263190016,523206656,550912000,5749276672,38951600128,True
34.526,H1-extraction,2657878016.0,64176128,3978919936,4943806464,446578688,40047804416,437714944,609263632384,523370496,550912000,5749276672,39266287616,True
36.56,H1-extraction,2657878016.0,64192512,3980853248,4935614464,450609152,40048099328,437764096,609263894528,523419648,550977536,5749276672,39269285888,True
38.588,H1-extraction,2657878016.0,64241664,3981328384,4935499776,455098368,40047722496,437698560,609263992832,523550720,551043072,5749276672,39269285888,True
40.619,H1-extraction,2649489408.0,60293120,3986227200,4935630848,455966720,40047788032,438550528,609265090560,523911168,552484864,5749276672,39269302272,True
42.644,H1-extraction,2649489408.0,66928640,3992829952,4936122368,445431808,40047722496,438337536,609265827840,523927552,552550400,5749276672,39269302272,True
44.682,H1-summary,2649489408.0,58605568,4047454208,4936155136,482574336,39961149440,438403072,609265909760,524091392,552615936,5749276672,38889684992,True
46.703,H1-summary,2649489408.0,161120256,3693592576,4936728576,649347072,40047493120,438632448,609266089984,524107776,553009152,5749276672,38981091328,True
48.727,H1-summary,2649489408.0,64339968,3695247360,4936679424,743636992,40047591424,438452224,609266450432,524550144,553074688,5749276672,38981091328,True
50.755,H1-summary,2649489408.0,62357504,4007673856,4920754176,453689344,40047378432,438484992,609266745344,525336576,553205760,5749276672,39293730816,True
52.786,H1-summary,2649489408.0,62586880,4009476096,4920754176,443809792,40047607808,438534144,609267056640,525402112,553271296,5749276672,39296729088,True
54.808,H1-summary,2649489408.0,64847872,4008820736,4920770560,447725568,40047706112,438665216,609267220480,525533184,553402368,5749276672,39296745472,True
56.84,H1-summary,2649489408.0,58048512,3997024256,4920721408,457687040,40047443968,438763520,609267499008,525713408,553533440,5749276672,39296745472,True
58.862,H1-summary,2649489408.0,64438272,3998384128,4920721408,452526080,40047443968,438321152,609267941376,525713408,553533440,5749276672,39296745472,True
60.893,H1-summary,2649489408.0,62341120,3968204800,4920721408,483688448,40045854720,438370304,609268039680,525746176,553664512,5749276672,39296761856,True
62.927,H1-summary,2649489408.0,64307200,3967516672,4922245120,477855744,40045854720,438353920,609268301824,526139392,553664512,5749276672,39296778240,True
64.957,H1-summary,2649489408.0,64831488,3967467520,4922245120,475611136,40045838336,438321152,609268711424,526155776,553795584,5749276672,39296794624,True
67.0,H2-extraction,2649489408.0,60506112,3975495680,4922359808,474923008,40044740608,438419456,609268826112,526286848,553926656,5749276672,39046316032,True
69.023,H2-extraction,2649489408.0,197083136,3661676544,4922802176,654098432,40045723648,438779904,609270661120,526286848,554516480,5749276672,38984925184,True
71.047,H2-extraction,2649489408.0,61472768,3698966528,4922523648,763576320,40047345664,438714368,609272119296,526303232,554516480,5749276672,38984925184,True
73.072,H2-extraction,2649489408.0,58884096,3846045696,4922523648,493305856,40176173056,438632448,609272463360,526647296,554516480,5749276672,39141244928,True
75.096,H2-extraction,2649489408.0,60129280,4131110912,4810997760,445235200,40047509504,438632448,609272725504,526958592,554516480,5749276672,39300546560,True
77.119,H2-extraction,2649489408.0,59179008,4083744768,4811014144,490422272,40047378432,438665216,609272807424,527204352,554778624,5749276672,39300546560,True
79.147,H2-extraction,2649489408.0,62013440,4058775552,4810899456,511541248,40047427584,438616064,609273167872,527450112,554778624,5749276672,39300546560,True
81.177,H2-extraction,2649489408.0,64700416,4045275136,4810932224,522010624,40047427584,438534144,609273430016,527532032,554844160,5749276672,39300562944,True
83.215,H2-summary,2649489408.0,63225856,4031660032,4810948608,541671424,40046247936,438534144,609273528320,527859712,554844160,5749276672,38890127360,True
85.237,H2-summary,2649489408.0,218988544,3696459776,4810964992,725172224,40047312896,438599680,609273610240,527859712,554958848,5749276672,38985482240,True
87.26,H2-summary,2649489408.0,62341120,3696738304,4810964992,878886912,40047280128,438583296,609273675776,527859712,554958848,5749276672,38985482240,True
89.281,H2-summary,2649489408.0,65880064,4009902080,4810964992,562053120,40046985216,438829056,609274085376,527958016,555286528,5749276672,39298121728,True
91.309,H2-summary,2649489408.0,62341120,4012244992,4810964992,562839552,40047296512,438927360,609274347520,527958016,555483136,5749276672,39301103616,True
93.328,H2-summary,2649489408.0,60112896,4012523520,4810964992,568590336,40047280128,438960128,609274429440,527958016,555548672,5749276672,39301103616,True
95.351,H2-summary,2649489408.0,66306048,4012769280,4811096064,553648128,40047362048,439205888,609275412480,527990784,555810816,5749276672,39301103616,True
97.383,H2-summary,2649489408.0,67813376,4014080000,4811096064,558055424,40047198208,439173120,609275510784,528433152,555810816,5749276672,39301103616,True
99.416,H2-summary,2649489408.0,63799296,4012261376,4811096064,560578560,40047198208,438878208,609276051456,528433152,555810816,5749276672,39301103616,True
