0.00.071.754 I cmn  common_param: common_params_print_info: build 10852 (050dde50c) with AppleClang 21.0.0.21000101 for Darwin arm64
0.01.493.676 I load_tensors: offloaded 49/49 layers to GPU
0.01.493.678 I load_tensors:   CPU_Mapped model buffer size =   409.22 MiB
0.01.493.678 I load_tensors:  MTL0_Mapped model buffer size = 34929.91 MiB
0.01.497.567 I llama_context: n_ctx                 = 32768
0.01.497.857 I llama_context:        CPU  output buffer size =     0.95 MiB
0.01.516.989 I llama_kv_cache:       MTL0 KV buffer size =   768.00 MiB
0.01.550.658 I llama_memory_recurrent:       MTL0 RS buffer size =   149.06 MiB
0.01.570.884 I sched_reserve:       MTL0 compute buffer size =   206.61 MiB
0.01.570.885 I sched_reserve:        CPU compute buffer size =    44.02 MiB
0.01.678.318 I slot   load_model: id  0 | task -1 | new slot, n_ctx = 32768
0.07.147.485 D slot handle_last_: id  0 | task 0 | slot decode token, id=35, n_ctx = 32768, n_tokens = 2452, truncated = 0
0.07.184.819 D slot handle_last_: id  0 | task 0 | slot decode token, id=27325, n_ctx = 32768, n_tokens = 2453, truncated = 0
0.07.216.562 D slot handle_last_: id  0 | task 0 | slot decode token, id=16, n_ctx = 32768, n_tokens = 2454, truncated = 0
0.07.248.278 D slot handle_last_: id  0 | task 0 | slot decode token, id=25, n_ctx = 32768, n_tokens = 2455, truncated = 0
0.07.280.183 D slot handle_last_: id  0 | task 0 | slot decode token, id=28970, n_ctx = 32768, n_tokens = 2456, truncated = 0
0.07.311.671 D slot handle_last_: id  0 | task 0 | slot decode token, id=26268, n_ctx = 32768, n_tokens = 2457, truncated = 0
0.07.342.851 D slot handle_last_: id  0 | task 0 | slot decode token, id=998, n_ctx = 32768, n_tokens = 2458, truncated = 0
0.07.374.264 D slot handle_last_: id  0 | task 0 | slot decode token, id=3955, n_ctx = 32768, n_tokens = 2459, truncated = 0
0.07.405.466 D slot handle_last_: id  0 | task 0 | slot decode token, id=364, n_ctx = 32768, n_tokens = 2460, truncated = 0
0.07.436.317 D slot handle_last_: id  0 | task 0 | slot decode token, id=10993, n_ctx = 32768, n_tokens = 2461, truncated = 0
0.07.467.329 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 32768, n_tokens = 2462, truncated = 0
0.07.498.251 D slot handle_last_: id  0 | task 0 | slot decode token, id=694, n_ctx = 32768, n_tokens = 2463, truncated = 0
0.07.529.421 D slot handle_last_: id  0 | task 0 | slot decode token, id=524, n_ctx = 32768, n_tokens = 2464, truncated = 0
0.07.560.731 D slot handle_last_: id  0 | task 0 | slot decode token, id=660, n_ctx = 32768, n_tokens = 2465, truncated = 0
0.07.591.643 D slot handle_last_: id  0 | task 0 | slot decode token, id=7840, n_ctx = 32768, n_tokens = 2466, truncated = 0
0.07.623.287 D slot handle_last_: id  0 | task 0 | slot decode token, id=8209, n_ctx = 32768, n_tokens = 2467, truncated = 0
0.07.654.203 D slot handle_last_: id  0 | task 0 | slot decode token, id=1521, n_ctx = 32768, n_tokens = 2468, truncated = 0
0.07.685.116 D slot handle_last_: id  0 | task 0 | slot decode token, id=1330, n_ctx = 32768, n_tokens = 2469, truncated = 0
0.07.716.017 D slot handle_last_: id  0 | task 0 | slot decode token, id=314, n_ctx = 32768, n_tokens = 2470, truncated = 0
0.07.746.731 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 2471, truncated = 0
0.07.777.696 D slot handle_last_: id  0 | task 0 | slot decode token, id=1483, n_ctx = 32768, n_tokens = 2472, truncated = 0
0.07.808.862 D slot handle_last_: id  0 | task 0 | slot decode token, id=2250, n_ctx = 32768, n_tokens = 2473, truncated = 0
0.07.839.797 D slot handle_last_: id  0 | task 0 | slot decode token, id=25057, n_ctx = 32768, n_tokens = 2474, truncated = 0
0.07.870.648 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 2475, truncated = 0
0.07.901.054 D slot handle_last_: id  0 | task 0 | slot decode token, id=10605, n_ctx = 32768, n_tokens = 2476, truncated = 0
0.07.932.376 D slot handle_last_: id  0 | task 0 | slot decode token, id=2320, n_ctx = 32768, n_tokens = 2477, truncated = 0
0.07.963.386 D slot handle_last_: id  0 | task 0 | slot decode token, id=20078, n_ctx = 32768, n_tokens = 2478, truncated = 0
0.07.994.177 D slot handle_last_: id  0 | task 0 | slot decode token, id=13, n_ctx = 32768, n_tokens = 2479, truncated = 0
0.08.024.883 D slot handle_last_: id  0 | task 0 | slot decode token, id=328, n_ctx = 32768, n_tokens = 2480, truncated = 0
0.08.055.726 D slot handle_last_: id  0 | task 0 | slot decode token, id=57517, n_ctx = 32768, n_tokens = 2481, truncated = 0
0.08.086.825 D slot handle_last_: id  0 | task 0 | slot decode token, id=998, n_ctx = 32768, n_tokens = 2482, truncated = 0
0.08.117.503 D slot handle_last_: id  0 | task 0 | slot decode token, id=3955, n_ctx = 32768, n_tokens = 2483, truncated = 0
0.08.147.456 D slot handle_last_: id  0 | task 0 | slot decode token, id=364, n_ctx = 32768, n_tokens = 2484, truncated = 0
0.08.178.292 D slot handle_last_: id  0 | task 0 | slot decode token, id=10993, n_ctx = 32768, n_tokens = 2485, truncated = 0
0.08.209.305 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 32768, n_tokens = 2486, truncated = 0
0.08.240.285 D slot handle_last_: id  0 | task 0 | slot decode token, id=321, n_ctx = 32768, n_tokens = 2487, truncated = 0
