model_id,request,status,prompt_tokens,completion_tokens_api,reasoning_characters,first_visible_seconds,last_visible_seconds,wall_seconds,words_whitespace,words_excluding_pdf_markers,prose_words_normalized,pdf_marker_count,parenthesized_numeric_marker_count,server_decode_tokens_per_second,timing_note
qwen35-122b-iq2xxs,development-extraction,ok,2452,152,0,5.112137417000014,9.868211708000018,9.901556958000015,98,94,92,2,0,31.531190089433736,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,development-summary,ok,2388,342,0,4.7410846669999955,15.574034709000017,15.606099749999998,241,225,217,8,0,31.38494202023123,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,H1-extraction,ok,3595,243,0,6.892242082999985,14.559505416999997,14.593247124999976,162,154,150,4,0,31.42569414099099,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,H1-summary,ok,3489,492,0,6.38039658400001,21.978297167000022,22.010635917000002,323,293,278,15,0,31.41390332016167,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,H2-extraction,ok,3733,265,0,7.382185249999992,15.718001375,15.751268291999992,170,162,158,4,0,31.545952415320624,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,H2-summary,ok,3630,379,0,6.929639083000012,18.940871500000014,18.973321999999996,259,239,229,10,0,31.386420391209313,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,H3-extraction,ok,3379,188,0,6.369637124999997,12.282666791999986,12.315530874999979,110,98,98,4,0,31.453528085057062,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,H3-summary,ok,3275,282,0,6.054921999999976,15.039670082999976,15.072322166999982,220,220,220,0,0,31.16291573103986,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,H4-extraction,ok,4181,264,0,8.088628540999991,16.589820625000016,16.623357499999997,175,167,163,4,0,30.816391836398,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,H4-summary,ok,4086,468,0,7.813772374999985,23.104160707999995,23.13818437499998,295,271,259,12,0,30.474813252041063,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,full-source-control,ok,13916,791,0,32.758059,62.05900029100002,62.09750329100001,557,529,515,14,0,26.926688035777186,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
qwen35-122b-iq2xxs,merged-summary-synthesis,ok,1825,1462,0,3.544720791999964,52.87275554199999,52.90744799999999,947,869,830,39,0,29.596952109518206,"Application request with prefix-cache reuse; downloads continued. API completion tokens can include control tokens. Not matched synthetic throughput or factual accuracy. Normalized prose removes PDF markers, numeric parenthetical references, Markdown styling and punctuation-only tokens. Parenthesized numbers can be ambiguous; source support requires separate review."
