0.00.097.353 I cmn  common_param: common_params_print_info: build 10852 (050dde50c) with AppleClang 21.0.0.21000101 for Darwin arm64
0.01.053.851 I load_tensors: offloaded 41/41 layers to GPU
0.01.053.853 I load_tensors:   CPU_Mapped model buffer size =   515.31 MiB
0.01.053.854 I load_tensors:  MTL0_Mapped model buffer size = 21098.65 MiB
0.01.056.908 I llama_context: n_ctx                 = 32768
0.01.057.201 I llama_context:        CPU  output buffer size =     0.95 MiB
0.01.099.530 I llama_kv_cache:       MTL0 KV buffer size =   640.00 MiB
0.01.124.144 I llama_memory_recurrent:       MTL0 RS buffer size =    62.81 MiB
0.01.137.915 I sched_reserve:       MTL0 compute buffer size =   154.48 MiB
0.01.137.917 I sched_reserve:        CPU compute buffer size =    40.02 MiB
0.01.210.414 I slot   load_model: id  0 | task -1 | new slot, n_ctx = 32768
0.04.331.239 D slot handle_last_: id  0 | task 0 | slot decode token, id=35, n_ctx = 32768, n_tokens = 2452, truncated = 0
0.04.354.656 D slot handle_last_: id  0 | task 0 | slot decode token, id=27325, n_ctx = 32768, n_tokens = 2453, truncated = 0
0.04.376.759 D slot handle_last_: id  0 | task 0 | slot decode token, id=16, n_ctx = 32768, n_tokens = 2454, truncated = 0
0.04.397.393 D slot handle_last_: id  0 | task 0 | slot decode token, id=25, n_ctx = 32768, n_tokens = 2455, truncated = 0
0.04.419.339 D slot handle_last_: id  0 | task 0 | slot decode token, id=28970, n_ctx = 32768, n_tokens = 2456, truncated = 0
0.04.439.423 D slot handle_last_: id  0 | task 0 | slot decode token, id=26268, n_ctx = 32768, n_tokens = 2457, truncated = 0
0.04.460.772 D slot handle_last_: id  0 | task 0 | slot decode token, id=998, n_ctx = 32768, n_tokens = 2458, truncated = 0
0.04.481.372 D slot handle_last_: id  0 | task 0 | slot decode token, id=3955, n_ctx = 32768, n_tokens = 2459, truncated = 0
0.04.503.048 D slot handle_last_: id  0 | task 0 | slot decode token, id=364, n_ctx = 32768, n_tokens = 2460, truncated = 0
0.04.524.859 D slot handle_last_: id  0 | task 0 | slot decode token, id=10993, n_ctx = 32768, n_tokens = 2461, truncated = 0
0.04.544.739 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 32768, n_tokens = 2462, truncated = 0
0.04.565.257 D slot handle_last_: id  0 | task 0 | slot decode token, id=694, n_ctx = 32768, n_tokens = 2463, truncated = 0
0.04.586.557 D slot handle_last_: id  0 | task 0 | slot decode token, id=524, n_ctx = 32768, n_tokens = 2464, truncated = 0
0.04.607.084 D slot handle_last_: id  0 | task 0 | slot decode token, id=660, n_ctx = 32768, n_tokens = 2465, truncated = 0
0.04.628.632 D slot handle_last_: id  0 | task 0 | slot decode token, id=7840, n_ctx = 32768, n_tokens = 2466, truncated = 0
0.04.648.951 D slot handle_last_: id  0 | task 0 | slot decode token, id=8209, n_ctx = 32768, n_tokens = 2467, truncated = 0
0.04.669.829 D slot handle_last_: id  0 | task 0 | slot decode token, id=1521, n_ctx = 32768, n_tokens = 2468, truncated = 0
0.04.689.699 D slot handle_last_: id  0 | task 0 | slot decode token, id=1330, n_ctx = 32768, n_tokens = 2469, truncated = 0
0.04.710.556 D slot handle_last_: id  0 | task 0 | slot decode token, id=25057, n_ctx = 32768, n_tokens = 2470, truncated = 0
0.04.730.313 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 2471, truncated = 0
0.04.751.491 D slot handle_last_: id  0 | task 0 | slot decode token, id=20078, n_ctx = 32768, n_tokens = 2472, truncated = 0
0.04.771.149 D slot handle_last_: id  0 | task 0 | slot decode token, id=13161, n_ctx = 32768, n_tokens = 2473, truncated = 0
0.04.791.256 D slot handle_last_: id  0 | task 0 | slot decode token, id=13, n_ctx = 32768, n_tokens = 2474, truncated = 0
0.04.810.956 D slot handle_last_: id  0 | task 0 | slot decode token, id=561, n_ctx = 32768, n_tokens = 2475, truncated = 0
0.04.831.562 D slot handle_last_: id  0 | task 0 | slot decode token, id=1414, n_ctx = 32768, n_tokens = 2476, truncated = 0
0.04.852.178 D slot handle_last_: id  0 | task 0 | slot decode token, id=5134, n_ctx = 32768, n_tokens = 2477, truncated = 0
0.04.872.540 D slot handle_last_: id  0 | task 0 | slot decode token, id=421, n_ctx = 32768, n_tokens = 2478, truncated = 0
0.04.893.461 D slot handle_last_: id  0 | task 0 | slot decode token, id=328, n_ctx = 32768, n_tokens = 2479, truncated = 0
0.04.913.615 D slot handle_last_: id  0 | task 0 | slot decode token, id=57517, n_ctx = 32768, n_tokens = 2480, truncated = 0
0.04.934.374 D slot handle_last_: id  0 | task 0 | slot decode token, id=998, n_ctx = 32768, n_tokens = 2481, truncated = 0
0.04.954.225 D slot handle_last_: id  0 | task 0 | slot decode token, id=3955, n_ctx = 32768, n_tokens = 2482, truncated = 0
0.04.974.357 D slot handle_last_: id  0 | task 0 | slot decode token, id=364, n_ctx = 32768, n_tokens = 2483, truncated = 0
0.04.994.092 D slot handle_last_: id  0 | task 0 | slot decode token, id=10993, n_ctx = 32768, n_tokens = 2484, truncated = 0
0.05.014.227 D slot handle_last_: id  0 | task 0 | slot decode token, id=1, n_ctx = 32768, n_tokens = 2485, truncated = 0
0.05.035.024 D slot handle_last_: id  0 | task 0 | slot decode token, id=694, n_ctx = 32768, n_tokens = 2486, truncated = 0
0.05.055.210 D slot handle_last_: id  0 | task 0 | slot decode token, id=8129, n_ctx = 32768, n_tokens = 2487, truncated = 0
0.05.076.179 D slot handle_last_: id  0 | task 0 | slot decode token, id=421, n_ctx = 32768, n_tokens = 2488, truncated = 0
0.05.096.037 D slot handle_last_: id  0 | task 0 | slot decode token, id=1330, n_ctx = 32768, n_tokens = 2489, truncated = 0
0.05.115.932 D slot handle_last_: id  0 | task 0 | slot decode token, id=30500, n_ctx = 32768, n_tokens = 2490, truncated = 0
0.05.135.799 D slot handle_last_: id  0 | task 0 | slot decode token, id=328, n_ctx = 32768, n_tokens = 2491, truncated = 0
0.05.155.430 D slot handle_last_: id  0 | task 0 | slot decode token, id=64294, n_ctx = 32768, n_tokens = 2492, truncated = 0
0.05.176.096 D slot handle_last_: id  0 | task 0 | slot decode token, id=310, n_ctx = 32768, n_tokens = 2493, truncated = 0
0.05.196.101 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 2494, truncated = 0
0.05.215.878 D slot handle_last_: id  0 | task 0 | slot decode token, id=4751, n_ctx = 32768, n_tokens = 2495, truncated = 0
0.05.235.735 D slot handle_last_: id  0 | task 0 | slot decode token, id=13282, n_ctx = 32768, n_tokens = 2496, truncated = 0
0.05.255.268 D slot handle_last_: id  0 | task 0 | slot decode token, id=1, n_ctx = 32768, n_tokens = 2497, truncated = 0
0.05.275.917 D slot handle_last_: id  0 | task 0 | slot decode token, id=321, n_ctx = 32768, n_tokens = 2498, truncated = 0
0.05.295.619 D slot handle_last_: id  0 | task 0 | slot decode token, id=998, n_ctx = 32768, n_tokens = 2499, truncated = 0
0.05.315.385 D slot handle_last_: id  0 | task 0 | slot decode token, id=42861, n_ctx = 32768, n_tokens = 2500, truncated = 0
0.05.335.503 D slot handle_last_: id  0 | task 0 | slot decode token, id=539, n_ctx = 32768, n_tokens = 2501, truncated = 0
0.05.355.004 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 2502, truncated = 0
0.05.375.215 D slot handle_last_: id  0 | task 0 | slot decode token, id=12233, n_ctx = 32768, n_tokens = 2503, truncated = 0
0.05.394.960 D slot handle_last_: id  0 | task 0 | slot decode token, id=13, n_ctx = 32768, n_tokens = 2504, truncated = 0
0.05.414.384 D slot handle_last_: id  0 | task 0 | slot decode token, id=498, n_ctx = 32768, n_tokens = 2505, truncated = 0
0.05.434.984 D slot handle_last_: id  0 | task 0 | slot decode token, id=22695, n_ctx = 32768, n_tokens = 2506, truncated = 0
0.05.454.359 D slot handle_last_: id  0 | task 0 | slot decode token, id=280, n_ctx = 32768, n_tokens = 2507, truncated = 0
