0.00.038.403 I cmn  common_param: common_params_print_info: build 10852 (050dde50c) with AppleClang 21.0.0.21000101 for Darwin arm64
0.00.730.425 I load_tensors: offloaded 66/66 layers to GPU
0.00.730.430 I load_tensors:   CPU_Mapped model buffer size =   682.03 MiB
0.00.730.430 I load_tensors:  MTL0_Mapped model buffer size = 15356.48 MiB
0.00.734.165 I llama_context: n_ctx                 = 32768
0.00.734.317 I llama_context:        CPU  output buffer size =     0.95 MiB
0.00.779.996 I llama_kv_cache:       MTL0 KV buffer size =  2048.00 MiB
0.00.853.456 I llama_memory_recurrent:       MTL0 RS buffer size =   149.62 MiB
0.00.870.032 I sched_reserve:       MTL0 compute buffer size =   257.30 MiB
0.00.870.035 I sched_reserve:        CPU compute buffer size =    52.02 MiB
0.01.120.224 I slot   load_model: id  0 | task -1 | new slot, n_ctx = 32768
0.09.014.944 D slot handle_last_: id  0 | task 0 | slot decode token, id=35, n_ctx = 32768, n_tokens = 2452, truncated = 0
0.09.080.905 D slot handle_last_: id  0 | task 0 | slot decode token, id=27325, n_ctx = 32768, n_tokens = 2453, truncated = 0
0.09.144.686 D slot handle_last_: id  0 | task 0 | slot decode token, id=16, n_ctx = 32768, n_tokens = 2454, truncated = 0
0.09.208.632 D slot handle_last_: id  0 | task 0 | slot decode token, id=25, n_ctx = 32768, n_tokens = 2455, truncated = 0
0.09.272.437 D slot handle_last_: id  0 | task 0 | slot decode token, id=28970, n_ctx = 32768, n_tokens = 2456, truncated = 0
0.09.336.722 D slot handle_last_: id  0 | task 0 | slot decode token, id=26268, n_ctx = 32768, n_tokens = 2457, truncated = 0
0.09.401.486 D slot handle_last_: id  0 | task 0 | slot decode token, id=998, n_ctx = 32768, n_tokens = 2458, truncated = 0
0.09.465.408 D slot handle_last_: id  0 | task 0 | slot decode token, id=3955, n_ctx = 32768, n_tokens = 2459, truncated = 0
0.09.529.190 D slot handle_last_: id  0 | task 0 | slot decode token, id=364, n_ctx = 32768, n_tokens = 2460, truncated = 0
0.09.593.008 D slot handle_last_: id  0 | task 0 | slot decode token, id=10993, n_ctx = 32768, n_tokens = 2461, truncated = 0
0.09.656.759 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 32768, n_tokens = 2462, truncated = 0
0.09.720.453 D slot handle_last_: id  0 | task 0 | slot decode token, id=694, n_ctx = 32768, n_tokens = 2463, truncated = 0
0.09.784.265 D slot handle_last_: id  0 | task 0 | slot decode token, id=524, n_ctx = 32768, n_tokens = 2464, truncated = 0
0.09.848.027 D slot handle_last_: id  0 | task 0 | slot decode token, id=660, n_ctx = 32768, n_tokens = 2465, truncated = 0
0.09.911.974 D slot handle_last_: id  0 | task 0 | slot decode token, id=7840, n_ctx = 32768, n_tokens = 2466, truncated = 0
0.09.976.336 D slot handle_last_: id  0 | task 0 | slot decode token, id=8209, n_ctx = 32768, n_tokens = 2467, truncated = 0
0.10.040.259 D slot handle_last_: id  0 | task 0 | slot decode token, id=430, n_ctx = 32768, n_tokens = 2468, truncated = 0
0.10.104.019 D slot handle_last_: id  0 | task 0 | slot decode token, id=1330, n_ctx = 32768, n_tokens = 2469, truncated = 0
0.10.168.419 D slot handle_last_: id  0 | task 0 | slot decode token, id=25057, n_ctx = 32768, n_tokens = 2470, truncated = 0
0.10.232.223 D slot handle_last_: id  0 | task 0 | slot decode token, id=836, n_ctx = 32768, n_tokens = 2471, truncated = 0
0.10.296.160 D slot handle_last_: id  0 | task 0 | slot decode token, id=13161, n_ctx = 32768, n_tokens = 2472, truncated = 0
0.10.359.961 D slot handle_last_: id  0 | task 0 | slot decode token, id=506, n_ctx = 32768, n_tokens = 2473, truncated = 0
0.10.423.664 D slot handle_last_: id  0 | task 0 | slot decode token, id=20078, n_ctx = 32768, n_tokens = 2474, truncated = 0
0.10.487.319 D slot handle_last_: id  0 | task 0 | slot decode token, id=13, n_ctx = 32768, n_tokens = 2475, truncated = 0
0.10.551.131 D slot handle_last_: id  0 | task 0 | slot decode token, id=328, n_ctx = 32768, n_tokens = 2476, truncated = 0
0.10.614.884 D slot handle_last_: id  0 | task 0 | slot decode token, id=57517, n_ctx = 32768, n_tokens = 2477, truncated = 0
0.10.678.513 D slot handle_last_: id  0 | task 0 | slot decode token, id=998, n_ctx = 32768, n_tokens = 2478, truncated = 0
0.10.742.409 D slot handle_last_: id  0 | task 0 | slot decode token, id=3955, n_ctx = 32768, n_tokens = 2479, truncated = 0
0.10.806.257 D slot handle_last_: id  0 | task 0 | slot decode token, id=364, n_ctx = 32768, n_tokens = 2480, truncated = 0
0.10.870.035 D slot handle_last_: id  0 | task 0 | slot decode token, id=10993, n_ctx = 32768, n_tokens = 2481, truncated = 0
0.10.933.861 D slot handle_last_: id  0 | task 0 | slot decode token, id=1076, n_ctx = 32768, n_tokens = 2482, truncated = 0
0.10.997.625 D slot handle_last_: id  0 | task 0 | slot decode token, id=1330, n_ctx = 32768, n_tokens = 2483, truncated = 0
0.11.061.253 D slot handle_last_: id  0 | task 0 | slot decode token, id=314, n_ctx = 32768, n_tokens = 2484, truncated = 0
0.11.124.985 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 2485, truncated = 0
0.11.188.666 D slot handle_last_: id  0 | task 0 | slot decode token, id=30500, n_ctx = 32768, n_tokens = 2486, truncated = 0
0.11.252.539 D slot handle_last_: id  0 | task 0 | slot decode token, id=1076, n_ctx = 32768, n_tokens = 2487, truncated = 0
0.11.316.269 D slot handle_last_: id  0 | task 0 | slot decode token, id=10729, n_ctx = 32768, n_tokens = 2488, truncated = 0
0.11.380.090 D slot handle_last_: id  0 | task 0 | slot decode token, id=310, n_ctx = 32768, n_tokens = 2489, truncated = 0
0.11.443.865 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 2490, truncated = 0
0.11.507.644 D slot handle_last_: id  0 | task 0 | slot decode token, id=4751, n_ctx = 32768, n_tokens = 2491, truncated = 0
0.11.571.207 D slot handle_last_: id  0 | task 0 | slot decode token, id=13282, n_ctx = 32768, n_tokens = 2492, truncated = 0
0.11.634.966 D slot handle_last_: id  0 | task 0 | slot decode token, id=1, n_ctx = 32768, n_tokens = 2493, truncated = 0
0.11.698.642 D slot handle_last_: id  0 | task 0 | slot decode token, id=498, n_ctx = 32768, n_tokens = 2494, truncated = 0
0.11.762.384 D slot handle_last_: id  0 | task 0 | slot decode token, id=22695, n_ctx = 32768, n_tokens = 2495, truncated = 0
0.11.826.157 D slot handle_last_: id  0 | task 0 | slot decode token, id=280, n_ctx = 32768, n_tokens = 2496, truncated = 0
0.11.889.841 D slot handle_last_: id  0 | task 0 | slot decode token, id=13, n_ctx = 32768, n_tokens = 2497, truncated = 0
0.11.953.567 D slot handle_last_: id  0 | task 0 | slot decode token, id=220, n_ctx = 32768, n_tokens = 2498, truncated = 0
0.12.017.313 D slot handle_last_: id  0 | task 0 | slot decode token, id=16, n_ctx = 32768, n_tokens = 2499, truncated = 0
0.12.081.092 D slot handle_last_: id  0 | task 0 | slot decode token, id=15, n_ctx = 32768, n_tokens = 2500, truncated = 0
0.12.144.904 D slot handle_last_: id  0 | task 0 | slot decode token, id=17, n_ctx = 32768, n_tokens = 2501, truncated = 0
0.12.209.195 D slot handle_last_: id  0 | task 0 | slot decode token, id=906, n_ctx = 32768, n_tokens = 2502, truncated = 0
0.12.273.091 D slot handle_last_: id  0 | task 0 | slot decode token, id=271, n_ctx = 32768, n_tokens = 2503, truncated = 0
0.12.336.970 D slot handle_last_: id  0 | task 0 | slot decode token, id=35, n_ctx = 32768, n_tokens = 2504, truncated = 0
0.12.400.841 D slot handle_last_: id  0 | task 0 | slot decode token, id=27325, n_ctx = 32768, n_tokens = 2505, truncated = 0
0.12.464.573 D slot handle_last_: id  0 | task 0 | slot decode token, id=17, n_ctx = 32768, n_tokens = 2506, truncated = 0
0.12.528.542 D slot handle_last_: id  0 | task 0 | slot decode token, id=25, n_ctx = 32768, n_tokens = 2507, truncated = 0
0.12.592.344 D slot handle_last_: id  0 | task 0 | slot decode token, id=2233, n_ctx = 32768, n_tokens = 2508, truncated = 0
0.12.656.083 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 32768, n_tokens = 2509, truncated = 0
0.12.719.901 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 2510, truncated = 0
0.12.783.631 D slot handle_last_: id  0 | task 0 | slot decode token, id=20438, n_ctx = 32768, n_tokens = 2511, truncated = 0
0.12.847.353 D slot handle_last_: id  0 | task 0 | slot decode token, id=7944, n_ctx = 32768, n_tokens = 2512, truncated = 0
0.12.911.119 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 2513, truncated = 0
0.12.974.893 D slot handle_last_: id  0 | task 0 | slot decode token, id=220, n_ctx = 32768, n_tokens = 2514, truncated = 0
0.13.038.650 D slot handle_last_: id  0 | task 0 | slot decode token, id=18, n_ctx = 32768, n_tokens = 2515, truncated = 0
0.13.102.398 D slot handle_last_: id  0 | task 0 | slot decode token, id=20, n_ctx = 32768, n_tokens = 2516, truncated = 0
0.13.166.276 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 32768, n_tokens = 2517, truncated = 0
0.13.230.620 D slot handle_last_: id  0 | task 0 | slot decode token, id=15, n_ctx = 32768, n_tokens = 2518, truncated = 0
0.13.294.482 D slot handle_last_: id  0 | task 0 | slot decode token, id=15, n_ctx = 32768, n_tokens = 2519, truncated = 0
0.13.358.209 D slot handle_last_: id  0 | task 0 | slot decode token, id=15, n_ctx = 32768, n_tokens = 2520, truncated = 0
0.13.422.068 D slot handle_last_: id  0 | task 0 | slot decode token, id=15894, n_ctx = 32768, n_tokens = 2521, truncated = 0
0.13.485.718 D slot handle_last_: id  0 | task 0 | slot decode token, id=310, n_ctx = 32768, n_tokens = 2522, truncated = 0
0.13.549.495 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 2523, truncated = 0
0.13.613.442 D slot handle_last_: id  0 | task 0 | slot decode token, id=4307, n_ctx = 32768, n_tokens = 2524, truncated = 0
0.13.677.333 D slot handle_last_: id  0 | task 0 | slot decode token, id=4590, n_ctx = 32768, n_tokens = 2525, truncated = 0
0.13.741.123 D slot handle_last_: id  0 | task 0 | slot decode token, id=10902, n_ctx = 32768, n_tokens = 2526, truncated = 0
0.13.804.830 D slot handle_last_: id  0 | task 0 | slot decode token, id=1484, n_ctx = 32768, n_tokens = 2527, truncated = 0
0.13.868.652 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 32768, n_tokens = 2528, truncated = 0
0.13.932.309 D slot handle_last_: id  0 | task 0 | slot decode token, id=524, n_ctx = 32768, n_tokens = 2529, truncated = 0
0.13.996.138 D slot handle_last_: id  0 | task 0 | slot decode token, id=20417, n_ctx = 32768, n_tokens = 2530, truncated = 0
0.14.060.458 D slot handle_last_: id  0 | task 0 | slot decode token, id=310, n_ctx = 32768, n_tokens = 2531, truncated = 0
0.14.124.291 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 2532, truncated = 0
0.14.188.196 D slot handle_last_: id  0 | task 0 | slot decode token, id=1534, n_ctx = 32768, n_tokens = 2533, truncated = 0
0.14.252.321 D slot handle_last_: id  0 | task 0 | slot decode token, id=11366, n_ctx = 32768, n_tokens = 2534, truncated = 0
0.14.316.596 D slot handle_last_: id  0 | task 0 | slot decode token, id=13, n_ctx = 32768, n_tokens = 2535, truncated = 0
0.14.381.031 D slot handle_last_: id  0 | task 0 | slot decode token, id=328, n_ctx = 32768, n_tokens = 2536, truncated = 0
0.14.445.062 D slot handle_last_: id  0 | task 0 | slot decode token, id=2064, n_ctx = 32768, n_tokens = 2537, truncated = 0
0.14.508.794 D slot handle_last_: id  0 | task 0 | slot decode token, id=369, n_ctx = 32768, n_tokens = 2538, truncated = 0
0.14.572.803 D slot handle_last_: id  0 | task 0 | slot decode token, id=1018, n_ctx = 32768, n_tokens = 2539, truncated = 0
0.14.636.738 D slot handle_last_: id  0 | task 0 | slot decode token, id=421, n_ctx = 32768, n_tokens = 2540, truncated = 0
0.14.700.510 D slot handle_last_: id  0 | task 0 | slot decode token, id=220, n_ctx = 32768, n_tokens = 2541, truncated = 0
0.14.764.534 D slot handle_last_: id  0 | task 0 | slot decode token, id=18, n_ctx = 32768, n_tokens = 2542, truncated = 0
0.14.828.349 D slot handle_last_: id  0 | task 0 | slot decode token, id=20, n_ctx = 32768, n_tokens = 2543, truncated = 0
0.14.892.605 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 32768, n_tokens = 2544, truncated = 0
0.14.956.902 D slot handle_last_: id  0 | task 0 | slot decode token, id=15, n_ctx = 32768, n_tokens = 2545, truncated = 0
0.15.021.748 D slot handle_last_: id  0 | task 0 | slot decode token, id=15, n_ctx = 32768, n_tokens = 2546, truncated = 0
0.15.087.181 D slot handle_last_: id  0 | task 0 | slot decode token, id=15, n_ctx = 32768, n_tokens = 2547, truncated = 0
0.15.152.523 D slot handle_last_: id  0 | task 0 | slot decode token, id=2859, n_ctx = 32768, n_tokens = 2548, truncated = 0
