elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,0.0,1078116352,22945464320,23428546560,4325376,2126675968,966164480,103262830592,118931456,0,0,0,True
0.001,0.0,1079623680,22945644544,23428546560,4325376,2126872576,966164480,103262879744,118931456,0,0,10600448,True
2.024,0.0,61587456,15768010752,23067525120,2883584,10683498496,966148096,103264124928,118947840,0,0,8104968192,True
4.051,0.0,69615616,16140648448,22690676736,2768896,10683236352,966148096,103264239616,119013376,0,0,8474968064,True
6.076,0.0,71155712,16140271616,22690676736,2768896,10683170816,966148096,103264305152,119013376,0,0,8474656768,True
8.103,0.0,76201984,16132849664,22690676736,2768896,10683170816,966148096,103264387072,119013376,0,0,8474673152,True
10.125,0.0,76578816,16135634944,22690676736,2768896,10683170816,966148096,103264452608,119013376,0,0,8474673152,True
12.153,0.0,78708736,16135225344,22690676736,2768896,10683170816,966148096,103264518144,119013376,0,0,8474705920,True
14.174,0.0,60293120,16142680064,22690676736,6766592,10683334656,965689344,103267352576,119013376,0,0,8474705920,True
16.197,0.0,58933248,16143171584,22690676736,6782976,10683383808,965689344,103267418112,119013376,0,0,8474705920,True
18.219,0.0,63668224,16143532032,22690676736,6782976,10683269120,965689344,103267500032,119013376,0,0,8474705920,True
20.237,0.0,67321856,16145334272,22685892608,4833280,10683269120,965672960,103267942400,119095296,0,0,8474722304,True
22.271,0.0,65191936,16145170432,22685892608,5455872,10683285504,965672960,103268532224,119095296,0,0,8474722304,True
24.293,0.0,70139904,16142761984,22685892608,5488640,10683285504,965672960,103268597760,119095296,0,0,8474722304,True
26.322,0.0,69582848,16142647296,22685630464,5898240,10683416576,965672960,103268663296,119095296,0,0,8474722304,True
28.346,0.0,67715072,16142942208,22685663232,5865472,10683416576,965672960,103268745216,119095296,0,0,8474722304,True
30.376,0.0,63733760,16146513920,22685597696,9846784,10683482112,965574656,103272185856,119095296,0,0,8474738688,True
32.406,0.0,62685184,16143269888,22685614080,9994240,10683383808,965574656,103272251392,119095296,0,0,8474738688,True
34.435,0.0,64962560,16143777792,22685614080,10174464,10683318272,965574656,103272333312,119095296,0,0,8474738688,True
36.464,0.0,66764800,16143138816,22685614080,10174464,10683318272,965574656,103272398848,119095296,0,0,8474738688,True
38.492,0.0,65536000,16142942208,22685614080,10174464,10683318272,965574656,103272480768,119095296,0,0,8474738688,True
40.52,0.0,66617344,16142598144,22685646848,10141696,10683318272,965574656,103272579072,119095296,0,0,8474738688,True
42.543,0.0,66404352,16133177344,22574235648,5210112,10808655872,965574656,103273021440,119128064,0,0,8474738688,True
44.574,0.0,145965056,16174301184,22574252032,5521408,10681581568,965558272,103273267200,119128064,0,0,8474738688,True
46.604,0.0,1858551808,23007084544,22574252032,7290880,2126053376,965558272,103273332736,119128064,0,0,0,True
