elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,0.0,1079443456,15279243264,30659461120,271351808,2258337792,997310464,75491311616,47726592,0,0,0,True
0.001,0.0,1080836096,15279570944,30659461120,271351808,2258550784,997310464,75491360768,47726592,0,0,10502144,True
2.025,0.0,59801600,10449797120,28629499904,2637824,10412326912,996818944,75493818368,48185344,0,0,7699513344,True
4.053,0.0,66535424,10816995328,28259221504,3653632,10411900928,996802560,75494735872,48185344,0,0,8069677056,True
6.078,0.0,67944448,10815881216,28259221504,3670016,10411556864,996802560,75494801408,48185344,0,0,8069398528,True
8.099,0.0,67485696,10815373312,28259221504,3833856,10411458560,996802560,75494866944,48185344,0,0,8069398528,True
10.116,0.0,70483968,10810081280,28259221504,3850240,10411212800,996802560,75494932480,48185344,0,0,8069398528,True
12.141,0.0,74432512,10806312960,28259221504,3866624,10411212800,996802560,75494998016,48185344,0,0,8069431296,True
14.166,0.0,77004800,10804379648,28259221504,3899392,10411196416,996802560,75495096320,48185344,0,0,8069431296,True
16.193,0.0,79167488,10803789824,28259221504,3964928,10411196416,996802560,75495161856,48185344,0,0,8069431296,True
18.219,0.0,84869120,10794614784,28259221504,3964928,10410639360,996786176,75495227392,48185344,0,0,8069431296,True
20.244,0.0,86654976,10794926080,28258959360,4456448,10410770432,996786176,75495292928,48185344,0,0,8069431296,True
22.27,0.0,89194496,10792845312,28258959360,4456448,10410934272,996245504,75495358464,48185344,0,0,8069431296,True
24.296,0.0,90161152,10792321024,28258959360,4456448,10410688512,996245504,75495424000,48185344,0,0,8069431296,True
26.322,0.0,88326144,10791960576,28259024896,4505600,10410770432,996245504,75495489536,48185344,0,0,8069431296,True
28.347,0.0,88473600,10794991616,28259303424,4456448,10410852352,996245504,75495555072,48185344,0,0,8069431296,True
30.373,0.0,75972608,10806444032,28259303424,5718016,10411278336,996245504,75496636416,48185344,0,0,8069431296,True
32.4,0.0,74858496,10806394880,28259303424,5750784,10411278336,996245504,75496701952,48185344,0,0,8069431296,True
34.426,0.0,75988992,10806460416,28259303424,5767168,10411294720,996196352,75496767488,48185344,0,0,8069431296,True
36.446,0.0,63668224,10794385408,28161081344,1622016,10532798464,996196352,75497095168,48578560,0,0,8069431296,True
38.476,0.0,94617600,10886250496,28161081344,1900544,10410262528,996196352,75497340928,48578560,0,0,8069382144,True
40.499,0.0,121110528,10861395968,28161114112,2293760,10410262528,996196352,75497422848,48578560,0,0,8069382144,True
42.526,0.0,1860616192,15411871744,30020911104,2342912,2260647936,996196352,75497488384,48578560,0,0,0,True
