elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,1457845698.56,5945458688,3240214528,37465440256,202014720,2129870848,1427963904,337231020032,350765056,201211904,1650786304,0,True
0.001,1457845698.56,5947228160,3240411136,37465440256,202014720,2130067456,1427963904,337231069184,350765056,201211904,1650786304,10452992,True
2.025,1457845698.56,4460969984,2321956864,32717078528,202031104,9298477056,1427931136,337231855616,350765056,201211904,1650786304,6690684928,True
4.039,1457845698.56,3734077440,3048095744,32717160448,205537280,9298804736,1427800064,337236148224,350765056,201277440,1650786304,7395704832,True
6.064,1457845698.56,3749838848,3034349568,32711770112,205520896,9298198528,1427783680,337236230144,350765056,201277440,1650786304,7395377152,True
8.091,1457845698.56,3664723968,3003285504,32702316544,205324288,9431367680,1411399680,337236295680,350765056,201342976,1650786304,7395393536,True
10.121,1457845698.56,3662282752,3136176128,32701759488,205455360,9297952768,1411366912,337236361216,350765056,201342976,1650786304,7395426304,True
12.149,1457845698.56,3708780544,3089612800,32701710336,205471744,9298018304,1411219456,337236426752,350765056,201408512,1650786304,7395426304,True
14.176,1457845698.56,3733995520,3065004032,32701710336,205471744,9298083840,1411219456,337236492288,350765056,201408512,1650786304,7395426304,True
16.206,1457845698.56,3745349632,3052437504,32701710336,205471744,9298132992,1411186688,337236574208,350765056,201408512,1650786304,7395426304,True
18.236,1457845698.56,3754442752,3039870976,32701710336,205471744,9298132992,1411186688,337236639744,350765056,201408512,1650786304,7395442688,True
20.265,1457845698.56,3779002368,3017015296,32701513728,205619200,9298132992,1411219456,337236705280,350765056,201474048,1650786304,7395442688,True
22.295,1457845698.56,3780460544,3017162752,32701497344,205619200,9298051072,1411203072,337236770816,350765056,201474048,1650786304,7395442688,True
24.321,1457845698.56,3776921600,3022192640,32701497344,205717504,9297985536,1411203072,337236836352,350765056,201474048,1650786304,7395442688,True
26.345,1457845698.56,3780886528,3017736192,32701218816,205996032,9297985536,1411153920,337236918272,350765056,201474048,1650786304,7395442688,True
28.374,1457845698.56,3118841856,3079487488,32659193856,206946304,10001432576,1329414144,337237114880,350765056,202063872,1650786304,7395442688,True
30.399,1457845698.56,1977417728,3365961728,32518799360,216383488,11108106240,1237696512,337243095040,350765056,203636736,1650786304,7395442688,True
32.431,1457845698.56,1916682240,3728556032,32517783552,216858624,10809196544,1235681280,337243766784,350765056,203636736,1650786304,7395442688,True
34.463,1457845698.56,2129100800,3638509568,32500400128,217219072,10713792512,1233829888,337243963392,350765056,203702272,1650786304,7395442688,True
36.494,1457845698.56,2659549184,3620159488,32498089984,217415680,10204020736,1231699968,337244061696,350765056,203702272,1650786304,7395426304,True
38.519,1457845698.56,2741223424,3527786496,32501317632,217464832,10195664896,1231126528,337244127232,350765056,203833344,1650786304,7395426304,True
40.547,1457845698.56,5013766144,3918266368,36980752384,217726976,3028828160,1230848000,337244291072,350765056,203833344,1650786304,0,True
