elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,2179265986.56,1041186816,12514492416,34334113792,69861376,2103312384,365395968,707359883264,588218368,1017692160,5749735424,0,True
0.001,2179265986.56,1059192832,12515049472,34334965760,69877760,2085257216,365346816,707360718848,588218368,1017757696,5749735424,10518528,True
2.026,2179265986.56,66273280,8559755264,21431091200,2572288,20042547200,365363200,707361521664,588578816,1017823232,5749735424,17489772544,True
4.053,2179265986.56,60227584,8844017664,21162393600,3162112,20042366976,365363200,707362177024,588578816,1017823232,5749735424,17741692928,True
6.081,2179265986.56,65961984,8843395072,21152563200,3162112,20042366976,365363200,707362242560,588578816,1017823232,5749735424,17741447168,True
8.112,2179265986.56,66256896,8841609216,21152563200,5455872,20042366976,365363200,707362373632,588578816,1017823232,5749735424,17741479936,True
10.143,2179265986.56,66322432,8841592832,21152595968,5570560,20042366976,365363200,707362471936,588578816,1017823232,5749735424,17741479936,True
12.173,2179265986.56,65044480,8841691136,21152612352,6225920,20042514432,365363200,707363028992,588578816,1017823232,5749735424,17741496320,True
14.201,2179265986.56,68698112,8841723904,21152890880,5947392,20042514432,365363200,707363094528,588578816,1017823232,5749735424,17741496320,True
16.231,2179265986.56,75841536,8842952704,21139881984,5881856,20042498048,365445120,707363913728,588595200,1017954304,5749735424,17741496320,True
18.265,2179265986.56,82460672,8844115968,21130149888,6979584,20042498048,365510656,707364683776,588595200,1018150912,5749735424,17741496320,True
20.284,2179265986.56,85409792,8844410880,21130149888,7012352,20042498048,365510656,707364782080,588595200,1018150912,5749735424,17741496320,True
22.315,2179265986.56,87195648,8844345344,21130149888,7012352,20042514432,365510656,707364847616,588595200,1018150912,5749735424,17741496320,True
24.342,2179265986.56,1457848320,12614991872,33901133824,7028736,2085961728,365510656,707364913152,588595200,1018150912,5749735424,0,True
