elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,1457845698.56,667336704,4957077504,40705605632,8454144,3016933376,1049346048,345489408000,356876288,204619776,1650786304,0,True
0.001,1457845698.56,665026560,4957437952,40705605632,8454144,3017129984,1049346048,345489457152,356876288,204619776,1650786304,10600448,True
2.023,1457845698.56,62930944,3470557184,33842626560,1671168,12006293504,1049395200,345491062784,357367808,204685312,1650786304,8762032128,True
4.044,1457845698.56,67878912,3829923840,33488732160,1949696,12006522880,1049378816,345491177472,357367808,204685312,1650786304,9098231808,True
6.065,1457845698.56,78790656,3829186560,33482178560,2097152,12001935360,1049378816,345491259392,357367808,204685312,1650786304,9097936896,True
8.089,1457845698.56,80052224,3829383168,33482178560,2179072,11999608832,1049247744,345491324928,357367808,204685312,1650786304,9097936896,True
10.113,1457845698.56,77463552,3834609664,33482129408,2293760,11999559680,1049247744,345491390464,357367808,204685312,1650786304,9097936896,True
12.137,1457845698.56,71319552,3832496128,33482145792,2670592,12001558528,1049247744,345491472384,357367808,204685312,1650786304,9097936896,True
14.162,1457845698.56,78217216,3829514240,33482145792,2686976,11999395840,1049214976,345491537920,357367808,204685312,1650786304,9097936896,True
16.188,1457845698.56,74268672,3831660544,33482719232,2801664,12001607680,1048952832,345491619840,357367808,204685312,1650786304,9097969664,True
18.215,1457845698.56,70516736,3834380288,33482784768,4718592,11999199232,1048936448,345491734528,357367808,204685312,1650786304,9097953280,True
20.243,1457845698.56,74907648,3827220480,33482784768,4767744,12001542144,1048936448,345491816448,357367808,204685312,1650786304,9097953280,True
22.27,1457845698.56,73400320,3827286016,33482784768,4767744,12001591296,1048838144,345491881984,357367808,204685312,1650786304,9097953280,True
24.296,1457845698.56,73973760,3829596160,33482784768,4767744,11999166464,1048838144,345491947520,357367808,204685312,1650786304,9097953280,True
26.321,1457845698.56,72253440,3834920960,33482784768,4915200,11999264768,1048805376,345492029440,357367808,204685312,1650786304,9097953280,True
28.348,1457845698.56,73465856,3827957760,33482801152,4947968,12000968704,1048805376,345492094976,357367808,204685312,1650786304,9097953280,True
30.372,1457845698.56,71729152,3832889344,33482801152,4947968,12001067008,1048805376,345492193280,357367808,204685312,1650786304,9097953280,True
32.397,1457845698.56,74481664,3834691584,33482801152,4947968,11998674944,1048674304,345492258816,357367808,204685312,1650786304,9097953280,True
34.424,1457845698.56,70909952,3834855424,33482801152,4947968,11998674944,1048739840,345492324352,357367808,204750848,1650786304,9097953280,True
36.447,1457845698.56,76152832,3828121600,33482801152,4964352,12001116160,1048739840,345492406272,357367808,204750848,1650786304,9097953280,True
38.472,1457845698.56,73728000,3828727808,33482801152,5144576,12001116160,1048543232,345492471808,357367808,204750848,1650786304,9097953280,True
40.499,1457845698.56,70860800,3833593856,33483112448,4980736,12001001472,1048313856,345492570112,357367808,204750848,1650786304,9097953280,True
42.529,1457845698.56,76857344,3828711424,33483112448,4980736,12000903168,1048313856,345492635648,357367808,204750848,1650786304,9097953280,True
44.557,1457845698.56,108855296,3775496192,33483112448,4947968,11999133696,1048494080,345492701184,357367808,204947456,1650786304,9097953280,True
46.583,1457845698.56,105988096,3782934528,33484029952,4980736,11999297536,1047232512,345492897792,357367808,205144064,1650786304,9097953280,True
48.609,1457845698.56,104644608,3782754304,33484603392,4734976,11999297536,1047232512,345492963328,357367808,205144064,1650786304,9097953280,True
50.641,1457845698.56,108462080,3779592192,33484603392,4866048,11999313920,1047035904,345493028864,357367808,205144064,1650786304,9097953280,True
52.663,1457845698.56,108462080,3787096064,33484619776,5111808,11996921856,1046937600,345493192704,357367808,205144064,1650786304,9097953280,True
54.688,1457845698.56,103202816,3789701120,33484505088,6455296,11996921856,1046921216,345496780800,357367808,205144064,1650786304,9097953280,True
56.713,1457845698.56,126500864,3769040896,33484488704,6471680,11995037696,1046855680,345496862720,357367808,205144064,1650786304,456638464,True
58.737,1457845698.56,1272709120,4961452032,40105164800,6619136,3007889408,1046691840,345496993792,357367808,205144064,1650786304,0,True
