elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,2204431810.56,6074859520,14653652992,27175813120,42549248,2085535744,359202816,690268061696,577994752,991952896,5749735424,0,True
0.001,2204431810.56,6072926208,14653800448,27175813120,42549248,2085732352,359202816,690268110848,577994752,991952896,5749735424,10584064,True
2.025,2204431810.56,5220335616,9951707136,10851893248,43368448,23992303616,359284736,690269077504,577994752,992083968,5749735424,21451669504,True
4.048,2204431810.56,5112315904,10060742656,10851942400,43368448,23991222272,359284736,690269159424,577994752,992083968,5749735424,21559771136,True
6.076,2204431810.56,5110480896,10060038144,10851942400,43368448,23991255040,359481344,690269224960,577994752,992280576,5749735424,21559525376,True
8.104,2204431810.56,5109448704,10066739200,10852155392,43417600,23990714368,359481344,690269470720,577994752,992280576,5749735424,21559525376,True
10.135,2204431810.56,5106925568,10066362368,10852155392,43417600,23990976512,359481344,690269536256,577994752,992280576,5749735424,21559525376,True
12.169,2204431810.56,5106728960,10066296832,10852155392,43417600,23990910976,359481344,690269601792,577994752,992280576,5749735424,21559525376,True
14.198,2204431810.56,5109792768,10059907072,10852171776,43450368,23990632448,359481344,690269683712,577994752,992280576,5749735424,21559525376,True
16.226,2204431810.56,5115576320,10059988992,10852171776,43466752,23990697984,359481344,690269749248,577994752,992280576,5749735424,21559525376,True
18.256,2204431810.56,5116166144,10060365824,10852253696,43630592,23990648832,359546880,690269847552,577994752,992346112,5749735424,21559558144,True
20.285,2204431810.56,5011685376,10156654592,10852384768,45170688,23990484992,359596032,690270339072,577994752,992411648,5749735424,21559558144,True
22.308,2204431810.56,6009864192,14782644224,27109228544,45252608,2085257216,359596032,690270437376,577994752,992411648,5749735424,0,True
