elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,2179265986.56,1684717568,6179012608,40115109888,6897664,2093268992,364625920,747348213760,603799552,1024114688,5749735424,0,True
0.001,2179265986.56,1683750912,6179176448,40115109888,6914048,2093383680,364625920,747348361216,603799552,1024114688,5749735424,884736,True
2.013,2179265986.56,864419840,6311034880,17992073216,7536640,24930566144,364625920,747349458944,603799552,1024114688,5749735424,22379724800,True
4.029,2179265986.56,1142243328,6294896640,17992089600,7585792,24665145344,364625920,747349524480,603799552,1024114688,5749735424,22365585408,True
6.058,2179265986.56,1143013376,6303596544,17991712768,9961472,24665931776,364625920,747351818240,603799552,1024114688,5749735424,22365274112,True
8.087,2179265986.56,1119223808,6328565760,17992040448,9781248,24667127808,364625920,747352276992,603799552,1024114688,5749735424,22365290496,True
10.109,2179265986.56,1124892672,6328385536,17992204288,9961472,24666980352,364625920,747352375296,603799552,1024114688,5749735424,22365290496,True
12.138,2179265986.56,1128071168,6320373760,17992204288,9961472,24666980352,364625920,747352440832,603799552,1024114688,5749735424,22365290496,True
14.167,2179265986.56,1123483648,6318145536,17992204288,9961472,24666996736,364625920,747352506368,603799552,1024114688,5749735424,22365290496,True
16.197,2179265986.56,1125875712,6318260224,17992237056,9977856,24666996736,364625920,747352604672,603799552,1024114688,5749735424,22365290496,True
18.227,2179265986.56,1127350272,6318292992,17992237056,9977856,24666996736,364625920,747352670208,603799552,1024114688,5749735424,22365290496,True
20.251,2179265986.56,1127055360,6318194688,17992368128,10010624,24667045888,364625920,747352768512,603799552,1024114688,5749735424,22365290496,True
22.28,2179265986.56,1128497152,6318604288,17992368128,10092544,24667062272,364625920,747352834048,603799552,1024114688,5749735424,22365290496,True
24.309,2179265986.56,1668415488,8412659712,37901385728,10092544,2095120384,364625920,747352932352,603799552,1024114688,5749735424,0,True
