elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,1457845698.56,80986112,2201878528,44139675648,819200,3014443008,1042890752,383826001920,364740608,205144064,1650786304,0,True
0.001,1457845698.56,79200256,2201714688,44139757568,1998848,3014557696,1042890752,383827083264,364740608,205144064,1650786304,868352,True
2.018,1457845698.56,62750720,2793177088,5228544000,6815744,41357541376,1042513920,383859802112,364740608,205144064,1650786304,38568443904,True
4.035,1457845698.56,66142208,2948251648,5128798208,8798208,41310453760,1042432000,383862030336,364756992,205144064,1650786304,38575341568,True
6.051,1457845698.56,221331456,3119136768,5128798208,8798208,40985690112,1042432000,383862095872,364756992,205144064,1650786304,38575046656,True
8.069,1457845698.56,295075840,3038134272,5128978432,8945664,40985722880,1042432000,383862161408,364756992,205144064,1650786304,38575046656,True
10.084,1457845698.56,347684864,2987524096,5128994816,8945664,40985722880,1042432000,383862226944,364756992,205144064,1650786304,38575046656,True
12.103,1457845698.56,384106496,2955624448,5128994816,8945664,40985722880,1042399232,383862308864,364756992,205209600,1650786304,38575046656,True
14.123,1457845698.56,65601536,2757541888,5124669440,5292032,41502015488,1042399232,383862800384,365428736,205275136,1650786304,38575194112,True
16.143,1457845698.56,66519040,2761162752,5124898816,6373376,41501343744,1042137088,383863881728,365428736,205406208,1650786304,38575194112,True
18.164,1457845698.56,171458560,3152543744,5117018112,2867200,41015951360,1042104320,383863947264,366395392,205406208,1650786304,38575144960,True
20.182,1457845698.56,265879552,3055616000,5117001728,2998272,41015951360,1042120704,383864012800,366395392,205471744,1650786304,38575144960,True
22.201,1457845698.56,327286784,2995240960,5117001728,2998272,41015951360,1042104320,383864094720,366395392,205471744,1650786304,38575144960,True
24.219,1457845698.56,66682880,2856321024,5117018112,3276800,41413885952,1042104320,383864160256,366395392,205471744,1650786304,38575161344,True
26.24,1457845698.56,67616768,2959638528,5117018112,3276800,41309650944,1042104320,383864225792,366395392,205471744,1650786304,38575161344,True
28.259,1457845698.56,218562560,3137404928,5116985344,3375104,40985346048,1042104320,383864291328,366395392,205471744,1650786304,38575161344,True
30.276,1457845698.56,432881664,2859057152,5116592128,3588096,40978579456,1042137088,383864356864,366395392,205537280,1650786304,38575161344,True
32.296,1457845698.56,478363648,2814296064,5116641280,3702784,40978513920,1042022400,383864438784,366395392,205537280,1650786304,38575161344,True
34.313,1457845698.56,198672384,2665807872,5116641280,3850240,41408823296,1042006016,383864504320,366395392,205537280,1650786304,38575161344,True
36.334,1457845698.56,198230016,2675982336,5116657664,3932160,41399599104,1042006016,383864602624,366395392,205537280,1650786304,38575161344,True
38.355,1457845698.56,304627712,2963636224,5116706816,3915776,41008791552,1042006016,383864684544,366395392,205537280,1650786304,38575161344,True
40.372,1457845698.56,397508608,2897379328,5116706816,3915776,40978497536,1042006016,383864750080,366395392,205537280,1650786304,38575161344,True
42.39,1457845698.56,458768384,2834513920,5116706816,3915776,40978071552,1042006016,383864832000,366395392,205537280,1650786304,38575161344,True
44.409,1457845698.56,513605632,2774188032,5116624896,4161536,40977776640,1042006016,383864930304,366395392,205537280,1650786304,38575161344,True
46.428,1457845698.56,204308480,2734538752,5116608512,4456448,41323282432,1041825792,383864995840,366395392,205537280,1650786304,38575161344,True
48.447,1457845698.56,307200000,2975711232,5116608512,4456448,40978317312,1041825792,383865061376,366395392,205537280,1650786304,38575161344,True
50.463,1457845698.56,402096128,2879815680,5116608512,4538368,40978317312,1041793024,383865241600,366395392,205537280,1650786304,38575161344,True
52.48,1457845698.56,464879616,2816851968,5116608512,4538368,40978317312,1041825792,383865323520,366395392,205602816,1650786304,38575161344,True
54.497,1457845698.56,501874688,2779971584,5116608512,4653056,40978317312,1041809408,383865389056,366395392,205602816,1650786304,38575161344,True
56.515,1457845698.56,201605120,2720464896,5116575744,4653056,41336995840,1041940480,383865454592,366395392,205733888,1650786304,38575177728,True
58.534,1457845698.56,203702272,2644000768,5116575744,4669440,41418080256,1041940480,383865520128,366395392,205733888,1650786304,38575177728,True
60.554,1457845698.56,206094336,2690924544,5116575744,4669440,41374597120,1041940480,383865602048,366395392,205799424,1650786304,38575177728,True
62.575,1457845698.56,211533824,3047735296,5116575744,4669440,41008005120,1041940480,383865667584,366395392,205799424,1650786304,38575177728,True
64.595,1457845698.56,357089280,2895855616,5116575744,4751360,41008005120,1041907712,383865733120,366395392,205799424,1650786304,38575177728,True
66.614,1457845698.56,416104448,2588835840,5116542976,4931584,41257435136,1041907712,383865978880,366395392,205799424,1650786304,38471925760,True
68.637,1457845698.56,414105600,2488467456,5116542976,4980736,41362849792,1041842176,383866044416,366395392,205799424,1650786304,38471925760,True
70.655,1457845698.56,302776320,2612740096,5116493824,6537216,41350561792,1041727488,383866208256,366395392,205799424,1650786304,38471925760,True
72.677,1457845698.56,351174656,2564259840,5116493824,6537216,41351938048,1041727488,383866273792,366395392,205799424,1650786304,38471925760,True
74.697,1457845698.56,366084096,2561163264,5116510208,6537216,41340534784,1040711680,383866372096,366395392,205799424,1650786304,38471925760,True
76.72,1449457090.56,380993536,2569011200,5116690432,7225344,41320267776,1040711680,383866978304,366395392,205864960,1650786304,38471925760,True
78.742,1449457090.56,373555200,2537406464,5116968960,7438336,41360949248,1040711680,383867731968,366395392,205864960,1650786304,38471925760,True
80.759,1449457090.56,393265152,2518024192,5116985344,7454720,41362784256,1040187392,383867813888,366395392,205864960,1650786304,38471925760,True
82.779,1449457090.56,391970816,2545991680,5116985344,7454720,41333424128,1040187392,383867879424,366395392,205864960,1650786304,38471925760,True
84.796,1449457090.56,242368512,2844180480,5118083072,10878976,41252896768,1039663104,383872434176,366395392,205864960,1650786304,38471925760,True
86.818,1449457090.56,237633536,2750005248,5118148608,10993664,41357672448,1039630336,383872729088,366395392,205864960,1650786304,38471925760,True
88.84,1449457090.56,239550464,2777890816,5118164992,11124736,41329590272,1039515648,383872794624,366395392,205864960,1650786304,38471925760,True
90.861,1449457090.56,240664576,2801319936,5118181376,11190272,41303539712,1039515648,383872876544,366395392,205864960,1650786304,38471925760,True
92.88,1449457090.56,237699072,2782314496,5119492096,11403264,41321857024,1039515648,383873351680,366395392,205864960,1650786304,38471925760,True
94.897,1449457090.56,236961792,2762047488,5119508480,11730944,41347891200,1039417344,383873417216,366395392,205864960,1650786304,38471925760,True
96.919,1449457090.56,237420544,2759229440,5119508480,11730944,41345236992,1039417344,383873482752,366395392,205864960,1650786304,38471925760,True
98.942,1449457090.56,237010944,2760278016,5119557632,11796480,41349414912,1039368192,383873548288,366395392,205864960,1650786304,38471925760,True
100.965,1449457090.56,240173056,2528788480,5119590400,11976704,41581395968,1039368192,383874056192,366395392,205864960,1650786304,38471925760,True
102.987,1449457090.56,242663424,2753593344,5119639552,12025856,41355739136,1039319040,383874121728,366395392,205864960,1650786304,38471925760,True
105.009,1449457090.56,238370816,2733473792,5119672320,12271616,41370894336,1039319040,383874252800,366395392,205864960,1650786304,38471925760,True
107.033,1449457090.56,235307008,2783494144,5119721472,12255232,41321676800,1039319040,383874351104,366395392,205864960,1650786304,38471925760,True
109.054,1449457090.56,238305280,2778316800,5119803392,12222464,41327017984,1039269888,383874416640,366395392,205864960,1650786304,38471925760,True
111.076,1449457090.56,160595968,2819899392,5138104320,32882688,41345269760,1038827520,383884443648,366395392,205864960,1650786304,38471942144,True
113.097,1449457090.56,152322048,2857779200,5140889600,47349760,41285058560,1038647296,383892914176,366395392,205864960,1650786304,38471942144,True
115.119,1449457090.56,141017088,2806530048,5140905984,47824896,41350676480,1038696448,383893323776,366395392,205930496,1650786304,38471942144,True
