elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,2179265986.56,75169792,4124426240,43774935040,3309568,2107621376,365166592,747331665920,603045888,1023262720,5749735424,0,True
0.001,2179265986.56,76677120,4124770304,43774967808,3620864,2107736064,365166592,747331944448,603045888,1023262720,5749735424,7553024,True
2.023,2179265986.56,74465280,4240687104,25915506688,7913472,19890782208,365166592,747334615040,603045888,1023262720,5749735424,17325195264,True
4.037,2179265986.56,361775104,4358176768,25884393472,8634368,19560366080,365166592,747336073216,603062272,1023262720,5749735424,17255612416,True
6.065,2179265986.56,358612992,4357537792,25884393472,8650752,19560366080,365166592,747336138752,603062272,1023262720,5749735424,17255333888,True
8.093,2179265986.56,355794944,4357324800,25884393472,8650752,19560382464,365166592,747336204288,603062272,1023262720,5749735424,17255333888,True
10.11,2179265986.56,357629952,4354637824,25884393472,8650752,19560366080,365166592,747336269824,603062272,1023262720,5749735424,17255333888,True
12.139,2179265986.56,356843520,4353982464,25884393472,8667136,19560366080,365166592,747336335360,603062272,1023262720,5749735424,17255333888,True
14.167,2179265986.56,352698368,4360519680,25884393472,8896512,19560660992,365150208,747336531968,603062272,1023262720,5749735424,17255333888,True
16.196,2179265986.56,355942400,4361043968,25884393472,9568256,19560611840,365150208,747336876032,603062272,1023262720,5749735424,17255333888,True
18.226,2179265986.56,341655552,4380557312,25884672000,9469952,19561070592,365150208,747337138176,603062272,1023262720,5749735424,17255333888,True
20.253,2179265986.56,358891520,4375560192,25884672000,9469952,19552747520,365150208,747337203712,603062272,1023262720,5749735424,172244992,True
22.273,2179265986.56,880508928,6263078912,40890646528,9633792,2099789824,365150208,747337269248,603062272,1023262720,5749735424,0,True
