elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,0.0,10384261120,8990588928,26655801344,232275968,3064496128,1135706112,31568314368,44908544,0,0,0,True
0.002,0.0,10383294464,8990785536,26655834112,232407040,3064627200,1135706112,31568510976,44908544,0,0,7585792,True
2.02,0.0,9502965760,9114124288,9635708928,233422848,20880130048,1135378432,31569559552,44908544,0,0,17324982272,True
4.043,0.0,9837674496,9134080000,9635840000,233504768,20526366720,1135329280,31569625088,44908544,0,0,17255464960,True
6.062,0.0,9835610112,9130917888,9635774464,233537536,20531462144,1135312896,31569707008,44908544,0,0,17255186432,True
8.083,0.0,9840001024,9136128000,9635463168,233603072,20518207488,1135214592,31569821696,44908544,0,0,17255186432,True
10.103,0.0,9839280128,9125773312,9635495936,233701376,20531953664,1135132672,31569887232,44908544,0,0,17255186432,True
12.128,0.0,9842343936,9139404800,9635495936,233701376,20518174720,1135132672,31569952768,44908544,0,0,17255186432,True
14.149,0.0,9842622464,9116598272,9635512320,233701376,20543242240,1135132672,31570051072,44908544,0,0,17255186432,True
16.171,0.0,9846996992,9141223424,9635397632,233701376,20513144832,1135132672,31570116608,44908544,0,0,17255186432,True
18.195,0.0,9849323520,9117614080,9635119104,234029056,20534132736,1135116288,31570182144,44908544,0,0,17255186432,True
20.218,0.0,9847881728,9140305920,9635086336,234110976,20516503552,1135116288,31570280448,44908544,0,0,17255186432,True
22.242,0.0,9846882304,9128361984,9635020800,234143744,20528136192,1135099904,31570345984,44908544,0,0,17255170048,True
24.261,0.0,9847095296,9138552832,9635086336,234012672,20518109184,1135099904,31570411520,44908544,0,0,17255170048,True
26.285,0.0,9844064256,9131163648,9635086336,234012672,20528398336,1135099904,31570477056,44908544,0,0,17255170048,True
28.304,0.0,10378166272,13446234112,22226124800,234012672,3050078208,1135083520,31570542592,44908544,0,0,0,True
