elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,1572864.0,75350016,5358632960,39174651904,17809408,3074523136,2820866048,268424593408,239796224,0,1572864,0,True
0.002,1572864.0,78888960,5356994560,39174782976,18464768,3074473984,2820866048,268425494528,239796224,0,1572864,884736,True
2.025,1572864.0,64339968,5638946816,8214724608,40468480,33783398400,2800402432,268473122816,239796224,0,1572864,30479958016,True
4.052,1572864.0,60948480,5604098048,8172290048,42975232,33867776000,2799976448,268473761792,239812608,0,1572864,30479958016,True
6.073,1572864.0,70598656,5702172672,8152793088,42270720,33779924992,2799845376,268474253312,240041984,0,1572864,30479745024,True
8.103,1572864.0,66813952,5642944512,8152842240,44859392,33838678016,2799730688,268474793984,240041984,0,1572864,30479761408,True
10.122,1572864.0,69943296,5699239936,8153858048,37814272,33784758272,2799599616,268475400192,240975872,0,1572864,30479761408,True
12.143,1572864.0,69746688,5646598144,8153972736,38912000,33838006272,2798387200,268475809792,240975872,0,1572864,30479761408,True
14.164,1572864.0,76546048,5700403200,8154202112,39092224,33780596736,2798354432,268475908096,240975872,0,1572864,30479761408,True
16.189,1572864.0,60227584,5673107456,8155332608,36061184,33834860544,2788704256,268481019904,241025024,0,1572864,30479761408,True
18.215,1572864.0,64684032,5705121792,8155250688,27492352,33805762560,2788409344,268481101824,241025024,0,1572864,30479761408,True
20.24,1572864.0,318488576,5710774272,8121696256,24281088,33581596672,2787786752,268483444736,241041408,0,1572864,30394089472,True
22.274,1572864.0,273973248,5700829184,8125874176,43253760,33616281600,2785591296,268505382912,241041408,0,1572864,30394089472,True
24.298,1572864.0,275660800,5722292224,8125906944,43352064,33594687488,2785574912,268505448448,241041408,0,1572864,30394089472,True
26.316,1572864.0,270925824,5702451200,8126464000,45137920,33618690048,2785427456,268506185728,241041408,0,1572864,30394089472,True
28.341,1572864.0,281067520,5732990976,8126496768,45121536,33577746432,2785329152,268506267648,241041408,0,1572864,30394089472,True
30.366,1572864.0,269139968,5697847296,8127905792,44072960,33622966272,2785230848,268506398720,241041408,0,1572864,30394089472,True
32.393,1572864.0,272007168,5713952768,8127954944,44204032,33604714496,2785148928,268506464256,241041408,0,1572864,30394089472,True
34.416,1572864.0,272072704,5717442560,8128954368,44285952,33601208320,2784919552,268506529792,241041408,0,1572864,30394089472,True
36.441,1572864.0,272531456,5712265216,8128954368,44285952,33604599808,2784870400,268506595328,241041408,0,1572864,30394089472,True
