elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,1408562626.56,78200832,7638810624,38596673536,1153417216,2116911104,949780480,488883585024,426737664,251363328,1651834880,0,True
0.001,1408562626.56,78577664,7638925312,38596837376,1154351104,2117025792,949780480,488884371456,426737664,251363328,1651834880,7274496,True
2.015,1408562626.56,103251968,4949803008,2293841920,2676031488,39577944064,949927936,488895201280,426737664,251559936,1651834880,36984176640,True
4.038,1408562626.56,112017408,4945035264,2291957760,2676113408,39577812992,949927936,488895266816,426737664,251559936,1651834880,36984340480,True
6.061,1408562626.56,108838912,4946788352,2290515968,2676588544,39577812992,949927936,488895578112,426737664,251559936,1651834880,36984078336,True
8.084,1408562626.56,385105920,4964089856,2267938816,2676883456,39309328384,949993472,488896135168,426737664,251625472,1651834880,36964876288,True
10.11,1408562626.56,388448256,4963909632,2268561408,2676883456,39308804096,949993472,488896200704,426737664,251625472,1651834880,36964876288,True
12.135,1408562626.56,234094592,4974739456,2271543296,2681372672,39441596416,950059008,488896856064,426737664,251691008,1651834880,36964876288,True
14.162,1408562626.56,98877440,5046353920,2342633472,2684780544,39431143424,949977088,488899510272,426737664,251691008,1651834880,36964876288,True
16.18,1408562626.56,141541376,5067898880,2396520448,2684878848,39313899520,949977088,488899592192,426737664,251691008,1651834880,36964876288,True
18.209,1400174018.56,82853888,5096177664,2418196480,2681683968,39317307392,949993472,488904753152,426737664,251887616,1651834880,36964876288,True
20.235,1400174018.56,97583104,5083758592,2416902144,2681847808,39317012480,950009856,488904851456,426737664,251953152,1651834880,36964876288,True
22.263,1400174018.56,121192448,5065916416,2414149632,2681913344,39317110784,950009856,488904916992,426737664,251953152,1651834880,36964876288,True
24.291,1400174018.56,143278080,5047861248,2412199936,2681438208,39317143552,950009856,488904982528,426737664,251953152,1651834880,36964876288,True
26.319,1400174018.56,144375808,5048451072,2408988672,2681438208,39317078016,950009856,488905064448,426737664,251953152,1651834880,36964876288,True
28.336,1400174018.56,146833408,5046910976,2409136128,2682224640,39317274624,949993472,488905129984,426737664,251953152,1651834880,36964876288,True
30.365,1400174018.56,146030592,5047025664,2409086976,2682224640,39317274624,949993472,488905195520,426737664,251953152,1651834880,36964876288,True
32.387,1400174018.56,141901824,5052743680,2408759296,2682208256,39317291008,949993472,488905261056,426737664,251953152,1651834880,36964876288,True
34.41,1400174018.56,140476416,5052973056,2408497152,2682568704,39316897792,949993472,488905326592,426737664,251953152,1651834880,36964876288,True
36.436,1400174018.56,145358848,5047468032,2408366080,2682568704,39316897792,949993472,488905408512,426737664,251953152,1651834880,36964876288,True
38.463,1400174018.56,138706944,5053120512,2408251392,2682568704,39316897792,949977088,488905474048,426737664,251953152,1651834880,36964876288,True
40.49,1400174018.56,142065664,5052940288,2408251392,2682568704,39316930560,949977088,488905539584,426737664,251953152,1651834880,36964876288,True
42.511,1400174018.56,147898368,5047058432,2408251392,2682568704,39316897792,949977088,488905605120,426737664,251953152,1651834880,36964876288,True
44.538,1400174018.56,148275200,5046960128,2408087552,2682601472,39316897792,949977088,488905670656,426737664,251953152,1651834880,36964876288,True
46.566,1400174018.56,141557760,5047255040,2408071168,2682601472,39316963328,949977088,488905752576,426737664,251953152,1651834880,36964876288,True
48.592,1400174018.56,143376384,5047500800,2408120320,2682568704,39316946944,949977088,488905850880,426737664,251953152,1651834880,36964876288,True
50.618,1400174018.56,832405504,7198801920,36741021696,2682585088,2124955648,949960704,488905916416,426737664,251953152,1651834880,0,True
