elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,524288.0,627572736,16890494976,25753124864,2326773760,3055304704,1827356672,233192161280,201703424,0,524288,0,True
0.001,524288.0,625262592,16890707968,25753174016,2326773760,3055566848,1827356672,233192210432,201703424,0,524288,9175040,True
2.021,524288.0,62111744,11341234176,9286795264,2028290048,25971539968,1827356672,233204121600,201703424,0,524288,22418604032,True
4.05,524288.0,60063744,11351293952,9450127360,1871953920,25968410624,1827340288,233204596736,201703424,0,524288,22527393792,True
6.076,524288.0,61259776,11351408640,9460809728,1863909376,25955549184,1827340288,233204826112,201703424,0,524288,22527016960,True
8.107,524288.0,72826880,11353964544,9472983040,1854259200,25945014272,1827340288,233204924416,201703424,0,524288,22527098880,True
10.136,524288.0,80658432,11353899008,9478504448,1854160896,25926975488,1827340288,233204989952,201703424,0,524288,22527115264,True
12.167,524288.0,72269824,11338317824,9466281984,1854193664,25964331008,1827340288,233205055488,201703424,0,524288,22527115264,True
14.198,524288.0,77217792,11355160576,9483108352,1854193664,25926959104,1827340288,233205153792,201703424,0,524288,22527115264,True
16.223,524288.0,78086144,11335155712,9463169024,1854259200,25966002176,1827340288,233205465088,201703424,0,524288,22527115264,True
18.249,524288.0,77086720,11341430784,9469919232,1854226432,25955549184,1827340288,233205547008,201703424,0,524288,22527098880,True
20.28,524288.0,87244800,11351867392,9479667712,1854275584,25927008256,1827307520,233205645312,201703424,0,524288,22527098880,True
22.312,524288.0,78168064,11340087296,9469542400,1854275584,25958481920,1827274752,233205710848,201703424,0,524288,22527098880,True
24.344,524288.0,86376448,11350540288,9479159808,1854652416,25926156288,1827274752,233205776384,201703424,0,524288,22527098880,True
26.373,524288.0,74055680,11339153408,9467789312,1854636032,25958268928,1827258368,233206054912,201703424,0,524288,22527098880,True
28.399,524288.0,86294528,11352113152,9480093696,1854685184,25926565888,1827258368,233206136832,201703424,0,524288,22527098880,True
30.429,524288.0,1048707072,16523821056,26159529984,1854930944,3081928704,1827258368,233206202368,201703424,0,524288,0,True
