elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,0.0,894713856,22280486912,22750117888,2178433024,2409611264,22855680,31474089984,27279360,0,0,0,True
0.001,0.0,892911616,22280732672,22750068736,2178433024,2409299968,22855680,31474139136,27279360,0,0,9109504,True
2.022,0.0,82903040,15066251264,13127286784,1928282112,20322746368,22855680,31474860032,27279360,0,0,17577181184,True
4.046,0.0,64847872,15016706048,13334085632,1659174912,20450295808,22855680,31475073024,27279360,0,0,17829330944,True
6.065,0.0,67207168,14996766720,13363052544,1654226944,20444266496,22855680,31475335168,27279360,0,0,17829085184,True
8.092,0.0,65863680,14996160512,13361364992,1656307712,20442562560,22855680,31475400704,27279360,0,0,17829101568,True
10.117,0.0,58900480,15019065344,13345718272,1663614976,20431912960,22855680,31475466240,27279360,0,0,17829101568,True
12.145,0.0,58785792,14991638528,13343555584,1662713856,20466040832,22855680,31475531776,27279360,0,0,17829101568,True
14.173,0.0,81821696,15058255872,13390217216,1672790016,20319928320,22855680,31475597312,27279360,0,0,17829101568,True
16.202,0.0,251215872,14895562752,13203308544,1674280960,20458700800,22855680,31475662848,27279360,0,0,17829101568,True
18.231,0.0,258932736,14953119744,13260029952,1697366016,20312588288,22855680,31475728384,27279360,0,0,17829101568,True
20.26,0.0,204177408,14887108608,13208928256,1725169664,20458831872,22855680,31475793920,27279360,0,0,17829101568,True
22.281,0.0,1643003904,21444575232,23373889536,1742241792,2268151808,22855680,31475859456,27279360,0,0,0,True
