elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,1608840642.56,2024341504,3746709504,39080574976,519127040,3580313600,1296891904,286455316480,279904256,49135616,1650786304,0,True
0.001,1608840642.56,2025930752,3752394752,39080722432,519340032,3580444672,1296826368,286455545856,279904256,49201152,1650786304,557056,True
2.02,1608840642.56,1893646336,3819487232,30852300800,567263232,11897946112,1283801088,286519492608,279904256,55754752,1650786304,8465235968,True
4.037,1608840642.56,1891172352,4001382400,30862163968,595214336,11713511424,1270611968,286553243648,279904256,56147968,1650786304,8465252352,True
6.056,1600452034.56,2160705536,3964780544,30860656640,595345408,11483086848,1267564544,286554259456,279904256,57196544,1650786304,8401289216,True
8.08,1600452034.56,2217394176,3906404352,30860673024,595263488,11483070464,1267089408,286554341376,279904256,57262080,1650786304,8401289216,True
10.103,1600452034.56,2239168512,3882057728,30863114240,595492864,11483070464,1265336320,286554439680,279904256,57393152,1650786304,8401289216,True
12.127,1600452034.56,2209873920,3928981504,30862884864,595525632,11494883328,1255817216,286554882048,279904256,65388544,1650786304,8401289216,True
14.151,1600452034.56,2236973056,3916136448,30864523264,595836928,11479482368,1252556800,286555078656,279904256,65454080,1650786304,8401289216,True
16.17,1600452034.56,2144043008,3834347520,30867488768,595378176,11644076032,1251721216,286557241344,279904256,65847296,1650786304,8401289216,True
18.194,1592063426.56,2137473024,3835576320,30870290432,596361216,11652726784,1249673216,286559223808,279904256,66240512,1650786304,8401289216,True
20.221,1575286210.56,2014347264,4007034880,30891868160,604291072,11669946368,1199128576,286591696896,279904256,79937536,1650786304,8401289216,True
22.255,1558508994.56,1701838848,4306403328,30897684480,628572160,11770871808,1137229824,286642847744,279904256,97189888,1650786304,8401289216,True
24.286,1558508994.56,1759674368,4343840768,30898012160,632111104,11680989184,1132183552,286649761792,279904256,97452032,1650786304,8401289216,True
26.32,1558508994.56,1778892800,4324474880,30898618368,631881728,11690196992,1129201664,286650269696,279904256,97583104,1650786304,8401289216,True
28.351,1558508994.56,1775386624,4333420544,30907744256,632094720,11679875072,1125367808,286651678720,279904256,98107392,1650786304,8401289216,True
30.383,1558508994.56,1780957184,4307681280,30931861504,637009920,11673174016,1122861056,286653808640,279904256,98238464,1650786304,8401289216,True
32.417,1558508994.56,1782349824,4306845696,30931927040,638140416,11676663808,1118601216,286654955520,279904256,98369536,1650786304,8401289216,True
34.45,1558508994.56,1791557632,4318281728,30932697088,638287872,11665244160,1116684288,286655086592,279904256,98500608,1650786304,8401289216,True
36.479,1558508994.56,1780219904,4315742208,30933303296,638631936,11688574976,1112948736,286656217088,279904256,98566144,1650786304,8401289216,True
38.513,1558508994.56,1787756544,4269326336,30985814016,638795776,11673157632,1110753280,286656479232,279904256,98631680,1650786304,8401289216,True
40.545,1558508994.56,1811873792,4238196736,30989205504,634568704,11671175168,1110048768,286657298432,279904256,98631680,1650786304,8401289216,True
42.577,1558508994.56,1806614528,4247289856,30989189120,634912768,11670110208,1109573632,286657675264,279904256,98631680,1650786304,8401289216,True
44.604,1558508994.56,1800339456,4242325504,30993350656,635027456,11670142976,1109278720,286657740800,279904256,98631680,1650786304,8401272832,True
46.634,1558508994.56,1816494080,4237524992,30994366464,634552320,11658887168,1108197376,286657839104,279904256,98631680,1650786304,8401272832,True
48.663,1558508994.56,1777729536,4236492800,30994432000,634814464,11705057280,1107558400,286658183168,279904256,98697216,1650786304,8401272832,True
50.695,1558508994.56,1775009792,4269146112,30994432000,634748928,11675598848,1107001344,286658969600,279904256,98697216,1650786304,8401272832,True
52.724,1558508994.56,1783054336,4266098688,30995202048,634732544,11671076864,1106722816,286659067904,279904256,98877440,1650786304,8401272832,True
54.753,1558508994.56,1796784128,4258922496,30995906560,634929152,11669012480,1106182144,286659198976,279904256,98942976,1650786304,8401272832,True
56.786,1558508994.56,1824718848,4248174592,30981275648,635289600,11669946368,1104740352,286660411392,279904256,99008512,1650786304,8401272832,True
58.815,1541731778.56,2017443840,6333677568,37208227840,639811584,3174957056,1095450624,286669193216,279904256,114180096,1650786304,0,True
