elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,1572864.0,5590990848,4155785216,33882767360,2253012992,2145517568,2499035136,268760268800,248168448,0,1572864,7520256,True
2.024,loading,1572864.0,60456960,4248338432,3674324992,739196928,39313539072,2499002368,268761546752,248250368,0,1572864,36922195968,True
2.05,development-extraction,1572864.0,58867712,4250730496,3674537984,739557376,39313555456,2499002368,268761808896,248250368,0,1572864,36923932672,True
4.074,development-extraction,1572864.0,60342272,4259807232,3683893248,726319104,39313031168,2499002368,268761874432,248250368,0,1572864,36959076352,True
6.097,development-extraction,1572864.0,65880064,4259889152,3683893248,721911808,39308165120,2499002368,268761939968,248250368,0,1572864,36959944704,True
8.114,development-extraction,1572864.0,60112896,4265345024,3683876864,722763776,39308967936,2498363392,268762218496,248250368,0,1572864,36961042432,True
10.138,development-extraction,1572864.0,70582272,4273963008,4237672448,146243584,39308836864,2498281472,269491961856,248397824,0,1572864,36961615872,True
12.163,development-extraction,1572864.0,66158592,4114382848,3984785408,127778816,39308574720,2864791552,274249728000,248594432,0,1572864,36854448128,True
14.191,development-extraction,1572864.0,63684608,4131749888,4002807808,102924288,39309737984,2871640064,277003763712,248594432,0,1572864,36877025280,True
16.207,development-extraction,1572864.0,64684032,4130062336,3993124864,114802688,39309885440,2885550080,277005762560,248676352,0,1572864,36877582336,True
18.233,development-extraction,1572864.0,61980672,4128292864,3974938624,134692864,39309901824,2893561856,277006073856,248954880,0,1572864,36877811712,True
20.254,development-extraction,1572864.0,64962560,4127997952,3990667264,121257984,39310016512,2889809920,277006368768,249151488,0,1572864,36877893632,True
22.274,development-extraction,1572864.0,58490880,4138024960,4003004416,118390784,39309574144,2884255744,277008269312,249233408,0,1572864,36878073856,True
24.301,development-extraction,1572864.0,64798720,4136861696,3960487936,156696576,39309705216,2889859072,277008711680,249446400,0,1572864,36878188544,True
26.321,development-extraction,1572864.0,65781760,4136796160,3958013952,159744000,39309688832,2887892992,277009121280,249511936,0,1572864,36878270464,True
28.368,development-summary,1572864.0,64061440,4152688640,3981082624,148996096,39308902400,2869805056,277009399808,249577472,0,1572864,36996448256,True
