0.00.038.517 I cmn  common_param: common_params_print_info: build 10852 (050dde50c) with AppleClang 21.0.0.21000101 for Darwin arm64
0.01.069.786 I load_tensors: offloaded 81/81 layers to GPU
0.01.069.789 I load_tensors:   CPU_Mapped model buffer size =   563.62 MiB
0.01.069.789 I load_tensors:  MTL0_Mapped model buffer size = 28808.33 MiB
0.01.071.037 I llama_context: n_ctx                 = 32768
0.01.071.147 I llama_context:        CPU  output buffer size =     0.49 MiB
0.01.187.749 I llama_kv_cache:       MTL0 KV buffer size =  6272.00 MiB
0.01.383.307 I sched_reserve:       MTL0 compute buffer size =   246.01 MiB
0.01.383.312 I sched_reserve:        CPU compute buffer size =    64.01 MiB
0.01.705.021 I slot   load_model: id  0 | task -1 | new slot, n_ctx = 32768
0.14.160.542 D slot handle_last_: id  0 | task 0 | slot decode token, id=8586, n_ctx = 32768, n_tokens = 2372, truncated = 0
0.14.272.104 D slot handle_last_: id  0 | task 0 | slot decode token, id=527, n_ctx = 32768, n_tokens = 2373, truncated = 0
0.14.380.059 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 2374, truncated = 0
0.14.487.773 D slot handle_last_: id  0 | task 0 | slot decode token, id=11503, n_ctx = 32768, n_tokens = 2375, truncated = 0
0.14.595.449 D slot handle_last_: id  0 | task 0 | slot decode token, id=311, n_ctx = 32768, n_tokens = 2376, truncated = 0
0.14.703.420 D slot handle_last_: id  0 | task 0 | slot decode token, id=1855, n_ctx = 32768, n_tokens = 2377, truncated = 0
0.14.811.562 D slot handle_last_: id  0 | task 0 | slot decode token, id=3488, n_ctx = 32768, n_tokens = 2378, truncated = 0
0.14.919.549 D slot handle_last_: id  0 | task 0 | slot decode token, id=29235, n_ctx = 32768, n_tokens = 2379, truncated = 0
0.15.027.980 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 32768, n_tokens = 2380, truncated = 0
0.15.135.959 D slot handle_last_: id  0 | task 0 | slot decode token, id=3196, n_ctx = 32768, n_tokens = 2381, truncated = 0
0.15.243.776 D slot handle_last_: id  0 | task 0 | slot decode token, id=389, n_ctx = 32768, n_tokens = 2382, truncated = 0
0.15.351.817 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 32768, n_tokens = 2383, truncated = 0
0.15.459.837 D slot handle_last_: id  0 | task 0 | slot decode token, id=17665, n_ctx = 32768, n_tokens = 2384, truncated = 0
0.15.567.783 D slot handle_last_: id  0 | task 0 | slot decode token, id=21765, n_ctx = 32768, n_tokens = 2385, truncated = 0
0.15.676.216 D slot handle_last_: id  0 | task 0 | slot decode token, id=1473, n_ctx = 32768, n_tokens = 2386, truncated = 0
0.15.784.113 D slot handle_last_: id  0 | task 0 | slot decode token, id=334, n_ctx = 32768, n_tokens = 2387, truncated = 0
0.15.892.246 D slot handle_last_: id  0 | task 0 | slot decode token, id=35, n_ctx = 32768, n_tokens = 2388, truncated = 0
0.16.000.311 D slot handle_last_: id  0 | task 0 | slot decode token, id=29342, n_ctx = 32768, n_tokens = 2389, truncated = 0
0.16.108.217 D slot handle_last_: id  0 | task 0 | slot decode token, id=16, n_ctx = 32768, n_tokens = 2390, truncated = 0
0.16.216.478 D slot handle_last_: id  0 | task 0 | slot decode token, id=25, n_ctx = 32768, n_tokens = 2391, truncated = 0
0.16.324.682 D slot handle_last_: id  0 | task 0 | slot decode token, id=2650, n_ctx = 32768, n_tokens = 2392, truncated = 0
0.16.432.459 D slot handle_last_: id  0 | task 0 | slot decode token, id=1690, n_ctx = 32768, n_tokens = 2393, truncated = 0
0.16.540.495 D slot handle_last_: id  0 | task 0 | slot decode token, id=28240, n_ctx = 32768, n_tokens = 2394, truncated = 0
0.16.648.520 D slot handle_last_: id  0 | task 0 | slot decode token, id=1051, n_ctx = 32768, n_tokens = 2395, truncated = 0
0.16.756.303 D slot handle_last_: id  0 | task 0 | slot decode token, id=4183, n_ctx = 32768, n_tokens = 2396, truncated = 0
0.16.864.187 D slot handle_last_: id  0 | task 0 | slot decode token, id=369, n_ctx = 32768, n_tokens = 2397, truncated = 0
0.16.972.068 D slot handle_last_: id  0 | task 0 | slot decode token, id=11572, n_ctx = 32768, n_tokens = 2398, truncated = 0
0.17.079.711 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 32768, n_tokens = 2399, truncated = 0
0.17.187.567 D slot handle_last_: id  0 | task 0 | slot decode token, id=323, n_ctx = 32768, n_tokens = 2400, truncated = 0
0.17.295.293 D slot handle_last_: id  0 | task 0 | slot decode token, id=1550, n_ctx = 32768, n_tokens = 2401, truncated = 0
0.17.403.141 D slot handle_last_: id  0 | task 0 | slot decode token, id=682, n_ctx = 32768, n_tokens = 2402, truncated = 0
0.17.510.936 D slot handle_last_: id  0 | task 0 | slot decode token, id=8254, n_ctx = 32768, n_tokens = 2403, truncated = 0
0.17.618.556 D slot handle_last_: id  0 | task 0 | slot decode token, id=2815, n_ctx = 32768, n_tokens = 2404, truncated = 0
0.17.726.388 D slot handle_last_: id  0 | task 0 | slot decode token, id=30, n_ctx = 32768, n_tokens = 2405, truncated = 0
0.17.834.017 D slot handle_last_: id  0 | task 0 | slot decode token, id=57277, n_ctx = 32768, n_tokens = 2406, truncated = 0
0.17.941.837 D slot handle_last_: id  0 | task 0 | slot decode token, id=60628, n_ctx = 32768, n_tokens = 2407, truncated = 0
0.18.050.250 D slot handle_last_: id  0 | task 0 | slot decode token, id=28240, n_ctx = 32768, n_tokens = 2408, truncated = 0
0.18.158.166 D slot handle_last_: id  0 | task 0 | slot decode token, id=1051, n_ctx = 32768, n_tokens = 2409, truncated = 0
0.18.266.587 D slot handle_last_: id  0 | task 0 | slot decode token, id=4183, n_ctx = 32768, n_tokens = 2410, truncated = 0
0.18.374.745 D slot handle_last_: id  0 | task 0 | slot decode token, id=369, n_ctx = 32768, n_tokens = 2411, truncated = 0
0.18.482.524 D slot handle_last_: id  0 | task 0 | slot decode token, id=11572, n_ctx = 32768, n_tokens = 2412, truncated = 0
0.18.590.366 D slot handle_last_: id  0 | task 0 | slot decode token, id=13, n_ctx = 32768, n_tokens = 2413, truncated = 0
0.18.698.008 D slot handle_last_: id  0 | task 0 | slot decode token, id=2876, n_ctx = 32768, n_tokens = 2414, truncated = 0
0.18.805.961 D slot handle_last_: id  0 | task 0 | slot decode token, id=682, n_ctx = 32768, n_tokens = 2415, truncated = 0
0.18.913.743 D slot handle_last_: id  0 | task 0 | slot decode token, id=8254, n_ctx = 32768, n_tokens = 2416, truncated = 0
0.19.021.713 D slot handle_last_: id  0 | task 0 | slot decode token, id=8636, n_ctx = 32768, n_tokens = 2417, truncated = 0
0.19.129.679 D slot handle_last_: id  0 | task 0 | slot decode token, id=439, n_ctx = 32768, n_tokens = 2418, truncated = 0
0.19.237.749 D slot handle_last_: id  0 | task 0 | slot decode token, id=11224, n_ctx = 32768, n_tokens = 2419, truncated = 0
0.19.345.463 D slot handle_last_: id  0 | task 0 | slot decode token, id=26, n_ctx = 32768, n_tokens = 2420, truncated = 0
0.19.453.384 D slot handle_last_: id  0 | task 0 | slot decode token, id=3116, n_ctx = 32768, n_tokens = 2421, truncated = 0
0.19.561.124 D slot handle_last_: id  0 | task 0 | slot decode token, id=1051, n_ctx = 32768, n_tokens = 2422, truncated = 0
0.19.668.951 D slot handle_last_: id  0 | task 0 | slot decode token, id=387, n_ctx = 32768, n_tokens = 2423, truncated = 0
0.19.776.998 D slot handle_last_: id  0 | task 0 | slot decode token, id=63600, n_ctx = 32768, n_tokens = 2424, truncated = 0
0.19.885.612 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 32768, n_tokens = 2425, truncated = 0
