elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,1572864.0,1516961792,6657212416,37584388096,84688896,2147237888,2545909760,268712411136,242597888,0,1572864,1310720,True
2.025,loading,1572864.0,72056832,4287414272,4301062144,42614784,39314964480,2515582976,268717621248,242876416,0,1572864,36922671104,True
2.071,development-extraction,1572864.0,71860224,4290920448,4300472320,43171840,39314980864,2515582976,268717981696,242876416,0,1572864,36923785216,True
4.105,development-extraction,1572864.0,68894720,4311040000,4248338432,79986688,39314554880,2515582976,268718260224,242876416,0,1572864,36959305728,True
6.129,development-extraction,1572864.0,64372736,4311072768,4236460032,99598336,39311097856,2515582976,268718325760,242876416,0,1572864,36960174080,True
8.144,development-extraction,1572864.0,74498048,4311711744,4236345344,87457792,39310819328,2515533824,268718620672,242909184,0,1572864,36961239040,True
10.174,development-extraction,1572864.0,64946176,4314038272,4234887168,94519296,39310016512,2515468288,268719210496,242909184,0,1572864,36961239040,True
12.197,development-extraction,1572864.0,72794112,4314300416,4234543104,89653248,39310000128,2515419136,268720717824,242925568,0,1572864,36961812480,True
14.225,development-extraction,1572864.0,81362944,4323622912,4249436160,62439424,39311933440,2515369984,268721143808,242941952,0,1572864,36961959936,True
16.248,development-extraction,1572864.0,68517888,4325441536,4249223168,71745536,39311933440,2515369984,268721225728,242941952,0,1572864,36963581952,True
18.271,development-extraction,1572864.0,63586304,4330209280,4249075712,75317248,39311998976,2515353600,268721324032,242941952,0,1572864,36963598336,True
20.289,development-extraction,1572864.0,63700992,4334747648,4287152128,29474816,39315456000,2515288064,268724633600,243253248,0,1572864,36963598336,True
22.313,development-extraction,1572864.0,58916864,4337369088,4181753856,135217152,39318519808,2515288064,268725862400,243728384,0,1572864,36963614720,True
24.347,development-extraction,1572864.0,67207168,4335697920,4155277312,153321472,39319093248,2515288064,268726124544,243875840,0,1572864,36963614720,True
26.373,development-extraction,1572864.0,59604992,4335075328,4083630080,234913792,39318994944,2515156992,268726566912,244826112,0,1572864,36963631104,True
28.396,development-extraction,1572864.0,58195968,4276994048,4073193472,192282624,39441268736,2505637888,268739084288,244924416,0,1572864,36963647488,True
30.424,development-extraction,1572864.0,65912832,4305338368,4118675456,234356736,39318650880,2505621504,268739166208,244973568,0,1572864,36963663872,True
32.449,development-extraction,1572864.0,65781760,4289134592,4116217856,255918080,39318470656,2505408512,268739297280,245219328,0,1572864,36963680256,True
34.474,development-extraction,1572864.0,62750720,4276518912,4115988480,275562496,39318585344,2505392128,268739526656,245219328,0,1572864,36963713024,True
36.502,development-extraction,1572864.0,60096512,4330733568,4114513920,218382336,39322746880,2505392128,268740788224,245284864,0,1572864,36963713024,True
38.529,development-extraction,1572864.0,62324736,4340137984,4153819136,163545088,39323058176,2505048064,268740935680,245334016,0,1572864,36963729408,True
40.555,development-extraction,1572864.0,62816256,4305010688,4147118080,207978496,39323058176,2505048064,268741017600,245530624,0,1572864,36963745792,True
42.579,development-extraction,1572864.0,68665344,4290904064,4135993344,229474304,39323041792,2504966144,268741820416,245645312,0,1572864,36963745792,True
44.606,development-extraction,1572864.0,62275584,4277977088,4135976960,246906880,39322812416,2504966144,268741967872,245956608,0,1572864,36963778560,True
46.634,development-extraction,1572864.0,59883520,4265213952,4135223296,259522560,39322796032,2504966144,268742197248,246005760,0,1572864,36963778560,True
48.662,development-extraction,1572864.0,63930368,4250353664,4111335424,167460864,39454900224,2504966144,268742426624,246136832,0,1572864,36963811328,True
50.68,development-extraction,1572864.0,62324736,4266967040,4100816896,174800896,39440498688,2504966144,268742688768,246267904,0,1572864,36963811328,True
52.708,development-extraction,1572864.0,89505792,4318756864,4146331648,170278912,39324418048,2504818688,268743278592,246284288,0,1572864,36963811328,True
54.727,development-extraction,1572864.0,92012544,4298211328,4144873472,189300736,39324401664,2504753152,268743426048,246284288,0,1572864,36963811328,True
56.753,development-extraction,1572864.0,77152256,4281892864,4144185344,224706560,39324385280,2504753152,268744491008,246284288,0,1572864,36963844096,True
58.775,development-extraction,1572864.0,66764800,4268179456,4143349760,247660544,39324221440,2504736768,268744556544,246366208,0,1572864,36963844096,True
