0.00.066.353 I cmn  common_param: common_params_print_info: build 10852 (050dde50c) with AppleClang 21.0.0.21000101 for Darwin arm64
0.01.433.194 I load_tensors: offloaded 49/49 layers to GPU
0.01.433.196 I load_tensors:   CPU_Mapped model buffer size =   409.22 MiB
0.01.433.196 I load_tensors:  MTL0_Mapped model buffer size = 34929.91 MiB
0.01.440.423 I llama_context: n_ctx                 = 16384
0.01.440.722 I llama_context:        CPU  output buffer size =     0.95 MiB
0.01.449.803 I llama_kv_cache:       MTL0 KV buffer size =   384.00 MiB
0.01.467.782 I llama_memory_recurrent:       MTL0 RS buffer size =   149.06 MiB
0.01.480.541 I sched_reserve:       MTL0 compute buffer size =   158.59 MiB
0.01.480.545 I sched_reserve:        CPU compute buffer size =    28.02 MiB
0.01.582.998 I slot   load_model: id  0 | task -1 | new slot, n_ctx = 16384
0.06.517.977 D slot handle_last_: id  0 | task 0 | slot decode token, id=35, n_ctx = 16384, n_tokens = 2452, truncated = 0
0.06.553.096 D slot handle_last_: id  0 | task 0 | slot decode token, id=27325, n_ctx = 16384, n_tokens = 2453, truncated = 0
0.06.582.229 D slot handle_last_: id  0 | task 0 | slot decode token, id=16, n_ctx = 16384, n_tokens = 2454, truncated = 0
0.06.611.176 D slot handle_last_: id  0 | task 0 | slot decode token, id=25, n_ctx = 16384, n_tokens = 2455, truncated = 0
0.06.640.175 D slot handle_last_: id  0 | task 0 | slot decode token, id=28970, n_ctx = 16384, n_tokens = 2456, truncated = 0
0.06.669.214 D slot handle_last_: id  0 | task 0 | slot decode token, id=26268, n_ctx = 16384, n_tokens = 2457, truncated = 0
0.06.698.214 D slot handle_last_: id  0 | task 0 | slot decode token, id=998, n_ctx = 16384, n_tokens = 2458, truncated = 0
0.06.727.407 D slot handle_last_: id  0 | task 0 | slot decode token, id=3955, n_ctx = 16384, n_tokens = 2459, truncated = 0
0.06.756.637 D slot handle_last_: id  0 | task 0 | slot decode token, id=364, n_ctx = 16384, n_tokens = 2460, truncated = 0
0.06.789.265 D slot handle_last_: id  0 | task 0 | slot decode token, id=10993, n_ctx = 16384, n_tokens = 2461, truncated = 0
0.06.818.604 D slot handle_last_: id  0 | task 0 | slot decode token, id=11, n_ctx = 16384, n_tokens = 2462, truncated = 0
0.06.847.805 D slot handle_last_: id  0 | task 0 | slot decode token, id=694, n_ctx = 16384, n_tokens = 2463, truncated = 0
0.06.876.960 D slot handle_last_: id  0 | task 0 | slot decode token, id=524, n_ctx = 16384, n_tokens = 2464, truncated = 0
0.06.906.059 D slot handle_last_: id  0 | task 0 | slot decode token, id=660, n_ctx = 16384, n_tokens = 2465, truncated = 0
0.06.935.232 D slot handle_last_: id  0 | task 0 | slot decode token, id=7840, n_ctx = 16384, n_tokens = 2466, truncated = 0
0.06.964.331 D slot handle_last_: id  0 | task 0 | slot decode token, id=8209, n_ctx = 16384, n_tokens = 2467, truncated = 0
0.06.993.440 D slot handle_last_: id  0 | task 0 | slot decode token, id=1521, n_ctx = 16384, n_tokens = 2468, truncated = 0
0.07.022.593 D slot handle_last_: id  0 | task 0 | slot decode token, id=1330, n_ctx = 16384, n_tokens = 2469, truncated = 0
0.07.051.634 D slot handle_last_: id  0 | task 0 | slot decode token, id=314, n_ctx = 16384, n_tokens = 2470, truncated = 0
0.07.080.676 D slot handle_last_: id  0 | task 0 | slot decode token, id=279, n_ctx = 16384, n_tokens = 2471, truncated = 0
0.07.109.801 D slot handle_last_: id  0 | task 0 | slot decode token, id=1483, n_ctx = 16384, n_tokens = 2472, truncated = 0
