elapsed_seconds,stage,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0.001,loading,1400174018.56,1395032064,4779245568,38968705024,2318385152,2118008832,950681600,488912338944,426770432,253460480,1651834880,7602176,True
2.025,loading,1400174018.56,68141056,4726063104,2516287488,2220802048,40065122304,950681600,488913715200,426770432,253460480,1651834880,37766561792,True
2.067,development-extraction,1400174018.56,64323584,4729667584,2515632128,2223587328,40065155072,950681600,488913780736,426770432,253460480,1651834880,37769986048,True
4.092,development-extraction,1400174018.56,64897024,4741824512,2680356864,2044067840,40066760704,950730752,488914206720,426770432,253526016,1651834880,37942034432,True
6.124,development-extraction,1400174018.56,62619648,4743364608,2998648832,1727823872,40066531328,950714368,488914272256,426770432,253526016,1651834880,38256476160,True
8.142,development-extraction,1400174018.56,64503808,4742316032,3002957824,1722466304,40066842624,950714368,488914403328,426770432,253526016,1651834880,38260146176,True
10.16,development-extraction,1400174018.56,64061440,4741038080,2998157312,1728790528,40066859008,950714368,488914468864,426770432,253526016,1651834880,38260211712,True
12.2,development-summary,1400174018.56,68157440,4741660672,2999566336,1722974208,40065728512,950714368,488914534400,426770432,253526016,1651834880,38344507392,True
14.228,development-summary,1400174018.56,102285312,4708712448,3568189440,1152106496,40067432448,950714368,488914714624,426770432,253526016,1651834880,38790873088,True
16.245,development-summary,1400174018.56,62849024,4747411456,3842555904,881213440,40067153920,950714368,488914780160,426770432,253526016,1651834880,39103512576,True
18.265,development-summary,1400174018.56,68157440,4743528448,3848929280,869777408,40067465216,950714368,488914845696,426770432,253526016,1651834880,39106560000,True
20.291,development-summary,1400174018.56,64634880,4681777152,3915530240,743882752,40193064960,950714368,488914911232,426770432,253526016,1651834880,39106592768,True
22.308,development-summary,1400174018.56,83656704,4733042688,3963027456,748011520,40067432448,950714368,488914976768,426770432,253526016,1651834880,39106625536,True
24.334,development-summary,1400174018.56,100630528,4704256000,3962830848,762167296,40067448832,950714368,488915058688,426770432,253526016,1651834880,39106641920,True
26.356,development-summary,1400174018.56,127270912,4688740352,3932651520,779026432,40065826816,950697984,488915124224,426770432,253526016,1651834880,39106674688,True
28.396,H1-extraction,1400174018.56,123633664,4679106560,3932438528,790495232,40064843776,950697984,488915189760,426770432,253526016,1651834880,39153172480,True
30.428,H1-extraction,1400174018.56,357548032,4587044864,4508205056,70483968,40065990656,950829056,488916959232,427999232,253657088,1651834880,39640432640,True
32.457,H1-extraction,1400174018.56,244334592,4570497024,4503044096,205340672,40066072576,950829056,488917106688,427999232,253657088,1651834880,39641088000,True
34.488,H1-extraction,1400174018.56,60473344,4740972544,4504518656,221478912,40065679360,950812672,488917188608,428048384,253657088,1651834880,39955742720,True
36.525,H1-extraction,1400174018.56,63160320,4740284416,4487741440,233357312,40065925120,950812672,488917712896,428064768,253657088,1651834880,39958740992,True
38.55,H1-extraction,1400174018.56,65880064,4739563520,4490444800,233422848,40065925120,950812672,488920596480,428064768,253657088,1651834880,39958740992,True
40.577,H1-extraction,1400174018.56,65748992,4737728512,4492034048,228917248,40065925120,950812672,488920662016,428064768,253657088,1651834880,39958740992,True
42.604,H1-extraction,1400174018.56,74612736,4731502592,4492738560,226770944,40066007040,950845440,488920727552,428064768,253722624,1651834880,39958757376,True
44.644,H1-summary,1400174018.56,100122624,4755685376,4522278912,228868096,39979450368,950845440,488920809472,428064768,253722624,1651834880,40009678848,True
46.669,H1-summary,1400174018.56,353746944,4591599616,4559421440,16793600,40066154496,950829056,488921546752,428736512,253722624,1651834880,40519352320,True
48.697,H1-summary,1400174018.56,243990528,4591812608,4559011840,125485056,40066154496,950829056,488922038272,428736512,253722624,1651834880,40519352320,True
50.729,H1-summary,1400174018.56,60768256,4731994112,4500701184,225378304,40065875968,950829056,488922300416,429113344,253722624,1651834880,40831991808,True
52.75,H1-summary,1400174018.56,61128704,4725161984,4471324672,244531200,40066220032,964214784,488922513408,429129728,253722624,1651834880,40834990080,True
54.778,H1-summary,1400174018.56,62586880,4724523008,4466507776,242204672,40066285568,964198400,488922759168,429228032,253722624,1651834880,40834990080,True
56.802,H1-summary,1400174018.56,63832064,4727799808,4469440512,242974720,40066187264,964198400,488922824704,429228032,253722624,1651834880,40834990080,True
58.829,H1-summary,1400174018.56,62554112,4726751232,4470308864,242253824,40066154496,964198400,488922890240,429228032,253722624,1651834880,40835022848,True
60.854,H1-summary,1400174018.56,60833792,4726112256,4470636544,240271360,40066138112,964198400,488922955776,429228032,253722624,1651834880,40835022848,True
62.882,H1-summary,1400174018.56,71434240,4721147904,4470095872,237649920,40066121728,964263936,488923021312,429228032,253788160,1651834880,40835022848,True
64.909,H1-summary,1400174018.56,64569344,4722475008,4469194752,243662848,40066220032,964263936,488923168768,429228032,253788160,1651834880,40835022848,True
66.947,H2-extraction,1400174018.56,63799296,4702666752,4584161280,120176640,40071757824,1005092864,488934572032,429326336,253788160,1651834880,40924364800,True
68.984,H2-extraction,1400174018.56,284262400,3343826944,3223322624,236470272,40081195008,3377053696,488935374848,429326336,253788160,1651834880,39137804288,True
71.009,H2-extraction,1400174018.56,216104960,3361554432,3222585344,290390016,40081719296,3376119808,488935768064,429326336,253788160,1651834880,39138574336,True
73.033,H2-extraction,1400174018.56,173735936,3393126400,3239870464,308592640,40080179200,3354181632,488935866368,429326336,253788160,1651834880,39138607104,True
75.058,H2-extraction,1400174018.56,65732608,3528835072,3415113728,105496576,40080343040,3352690688,488936325120,431898624,253788160,1651834880,39454785536,True
77.088,H2-extraction,1400174018.56,64389120,3529015296,3415212032,104792064,40080195584,3352494080,488936554496,431898624,253788160,1651834880,39454818304,True
79.107,H2-extraction,1400174018.56,87998464,3515924480,3345170432,147685376,40080195584,3361619968,488936964096,432373760,253788160,1651834880,39454572544,True
81.139,H2-extraction,1400174018.56,76218368,3398320128,3158474752,226541568,40197619712,3491741696,488937111552,432472064,253788160,1651834880,39355432960,True
83.194,H2-summary,1400174018.56,93749248,3448078336,3154509824,281673728,40079212544,3497279488,488937603072,432472064,253788160,1651834880,39390969856,True
85.234,H2-summary,1400174018.56,358662144,2895167488,2656813056,225918976,40078458880,4250451968,488937766912,432472064,253788160,1651834880,39575764992,True
87.259,H2-summary,1400174018.56,366002176,2892333056,2656141312,230096896,40072773632,4248453120,488937832448,432472064,253853696,1651834880,39575764992,True
89.276,H2-summary,1400174018.56,62357504,3112779776,2740420608,234389504,40072478720,4247191552,488937897984,432472064,253853696,1651834880,39888404480,True
91.302,H2-summary,1400174018.56,73367552,3037347840,2803728384,237682688,40072953856,4245553152,488937963520,432799744,253853696,1651834880,39891419136,True
93.325,H2-summary,1400174018.56,60948480,3037134848,2798616576,258179072,40072871936,4245045248,488938274816,433127424,253853696,1651834880,39891435520,True
95.362,H2-summary,1400174018.56,61145088,3033513984,2739732480,276037632,40072806400,4291837952,488938536960,433520640,253919232,1651834880,39853965312,True
97.389,H2-summary,1400174018.56,65732608,3033825280,2739666944,272285696,40072724480,4291739648,488938602496,433520640,253919232,1651834880,39853965312,True
99.406,H2-summary,1400174018.56,58703872,3038756864,2747777024,274530304,40072724480,4288610304,488938668032,433520640,253919232,1651834880,39853981696,True
101.428,H2-summary,1400174018.56,66666496,3042148352,2753216512,264241152,40072757248,4286300160,488939094016,433635328,253919232,1651834880,39854030848,True
103.474,H3-extraction,1400174018.56,60620800,3058188288,2787295232,249069568,40070627328,4259627008,488939388928,433635328,253919232,1651834880,39896285184,True
105.517,H3-extraction,1400174018.56,241860608,2072150016,2138652672,139788288,40073314304,5883412480,488939700224,434061312,253919232,1651834880,39048183808,True
107.541,H3-extraction,1400174018.56,138756096,2129362944,2138636288,202686464,40072691712,5862244352,488939765760,434061312,253984768,1651834880,39048232960,True
109.565,H3-extraction,1400174018.56,70254592,2286239744,2168193024,88309760,40065056768,5864357888,488940257280,434438144,254115840,1651834880,39360872448,True
111.601,H3-extraction,1400174018.56,64077824,2225848320,2110439424,88326144,40062828544,5980569600,488953872384,434814976,254115840,1651834880,39363739648,True
113.626,H3-extraction,1400174018.56,58998784,2232926208,2141372416,68861952,40063221760,5970116608,488954462208,434814976,254115840,1651834880,39363641344,True
115.654,H3-extraction,1400174018.56,76398592,2115469312,2089926656,48070656,40064008192,6143557632,488954789888,438779904,254377984,1651834880,39039107072,True
117.704,H3-summary,1467681341.44,61636608,2082848768,1888780288,175636480,40085667840,6256410624,488956313600,443056128,254705664,1719336960,38871760896,True
119.752,H3-summary,2288580034.56,420167680,1844314112,1762410496,211795968,40067465216,6071435264,488957837312,443072512,255311872,2540240896,38898892800,True
121.776,H3-summary,2288580034.56,371720192,1991344128,1768374272,242466816,40066940928,5972803584,488957952000,443072512,258293760,2540240896,38899433472,True
123.801,H3-summary,2288580034.56,63111168,2226192384,1981300736,263307264,40065892352,5849202688,488958099456,443088896,259997696,2540240896,39212138496,True
125.826,H3-summary,2280191426.56,62898176,2265825280,2000109568,238551040,40066416640,5841518592,488965554176,443088896,264257536,2540240896,39215349760,True
127.845,H3-summary,2280191426.56,59392000,2269184000,2004238336,236437504,40065777664,5841158144,488966275072,443088896,266928128,2540240896,39215382528,True
129.872,H3-summary,2280191426.56,63176704,2269495296,2007744512,231964672,40065318912,5840748544,488966586368,443088896,267747328,2540240896,39215480832,True
131.892,H3-summary,2280191426.56,61194240,2248704000,2046623744,228474880,40063778816,5836079104,488967421952,443088896,269123584,2540240896,39215497216,True
133.934,H4-extraction,2280191426.56,58064896,2256814080,2046459904,229982208,40062173184,5833932800,488968290304,443858944,269647872,2540240896,39236698112,True
135.974,H4-extraction,3129737216.0,518619136,1782235136,1751629824,198066176,40067776512,6189891584,488970305536,444350464,270565376,3389784064,38622642176,True
