elapsed_seconds,swap_used_bytes,pages_free_bytes,pages_active_bytes,pages_inactive_bytes,pages_speculative_bytes,pages_wired_down_bytes,pages_occupied_by_compressor_bytes,pageins_bytes,pageouts_bytes,swapins_bytes,swapouts_bytes,process_rss_bytes,ac_connected
0,2210922496.0,79544320,1306443776,45596000256,153272320,2103263232,712671232,527367749632,477036544,328220672,3393454080,0,True
0.001,2210922496.0,74006528,1306673152,45596049408,155074560,2103394304,712654848,527368519680,477036544,328220672,3393454080,2670592,True
2.028,2210922496.0,66666496,1371521024,6401245184,204898304,41213591552,712327168,527372730368,477036544,328286208,3393454080,38765592576,True
4.055,2210922496.0,68648960,1425145856,6375030784,259162112,41131311104,712294400,527373221888,477036544,328286208,3393454080,38766755840,True
6.088,2210922496.0,59981824,1401618432,6375194624,210927616,41214214144,711589888,527375646720,477036544,328351744,3393454080,38772948992,True
8.104,2210922496.0,68812800,1396736000,6375129088,209846272,41213968384,711147520,527375712256,477036544,328351744,3393454080,38772948992,True
10.12,2210922496.0,66469888,1402535936,6375899136,210845696,41213607936,710901760,527375777792,477069312,328351744,3393454080,38772948992,True
12.152,2210922496.0,76398592,1538998272,6295289856,177111040,41218965504,709394432,527380774912,477249536,328482816,3393454080,38772948992,True
14.18,2210922496.0,68927488,1593688064,6255443968,189464576,41221242880,709296128,527386279936,477446144,328744960,3393454080,38772965376,True
16.204,2210922496.0,78348288,1646428160,6171934720,161218560,41272131584,709214208,527387066368,477446144,328744960,3393454080,38773030912,True
16.492,2210922496.0,226459648,2190802944,17983094784,162316288,28750790656,709214208,527387197440,477446144,328744960,3393454080,0,True
