"run","test","depth","selected_gpu","device","backend","mean_tokens_per_second","sd_tokens_per_second"
"apple-metal-evo-gemma12-coding-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","907.055251","0.746045"
"apple-metal-evo-gemma12-coding-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","31.387826","0.550911"
"apple-metal-evo-gemma12-coding-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","29.740367","0.298014"
"apple-metal-evo-gemma12-qat-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","972.908038","0.425738"
"apple-metal-evo-gemma12-qat-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","36.042896","0.068767"
"apple-metal-evo-gemma12-qat-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","34.041490","0.189065"
"apple-metal-evo-gemma2-9b-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","1177.710364","0.270591"
"apple-metal-evo-gemma2-9b-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","40.667421","1.328924"
"apple-metal-evo-gemma2-9b-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","34.642635","2.914333"
"apple-metal-evo-gemma26-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","1798.965474","6.022584"
"apple-metal-evo-gemma26-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","63.628700","0.075379"
"apple-metal-evo-gemma26-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","60.192095","0.108326"
"apple-metal-evo-gemma31-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","318.524754","1.787384"
"apple-metal-evo-gemma31-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","13.643589","0.081522"
"apple-metal-evo-gemma31-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","12.740949","0.065676"
"apple-metal-evo-ministral14-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","724.519626","2.543096"
"apple-metal-evo-ministral14-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","25.262758","0.140237"
"apple-metal-evo-ministral14-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","24.223786","0.145519"
"apple-metal-evo-qwen35-community-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","1573.626212","102.190291"
"apple-metal-evo-qwen35-community-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","68.638222","0.672324"
"apple-metal-evo-qwen35-community-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","68.697055","3.042585"
"apple-metal-evo-qwen35-mtp-off-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","1674.945420","8.596447"
"apple-metal-evo-qwen35-mtp-off-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","62.821375","0.044592"
"apple-metal-evo-qwen35-mtp-off-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","61.573702","0.228781"
"apple-metal-evo-qwen38-27b-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","339.286160","4.702484"
"apple-metal-evo-qwen38-27b-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","14.558331","0.020762"
"apple-metal-evo-qwen38-27b-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","14.387542","0.069688"
"apple-metal-falcon180b-chat-iq1s-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","48.317642","0.599868"
"apple-metal-falcon180b-chat-iq1s-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","3.077959","0.074609"
"apple-metal-falcon180b-chat-iq1s-depth1792","Generation 256","1792","Apple M5 Pro (20 GPU cores)","MTL0","Metal","3.594621","0.033181"
"apple-metal-gemma4-26b-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","1414.080456","8.602482"
"apple-metal-gemma4-26b-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","54.736053","3.076835"
"apple-metal-gemma4-26b-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","47.205022","2.011871"
"apple-metal-gemma4-26b-delayed-repeat-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","1764.372955","4.892074"
"apple-metal-gemma4-26b-delayed-repeat-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","72.611689","0.106968"
"apple-metal-gemma4-26b-delayed-repeat-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","67.658812","0.081838"
"apple-metal-nemotron-49b-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","165.656109","4.045348"
"apple-metal-nemotron-49b-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","8.690453","0.711342"
"apple-metal-nemotron-49b-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","8.894352","0.010720"
"apple-metal-qwen3-8b-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","1223.444555","1.048758"
"apple-metal-qwen3-8b-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","45.428603","0.048200"
"apple-metal-qwen3-8b-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","42.709360","0.171612"
"apple-metal-qwen35-122b-iq2xxs-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","527.590117","2.889007"
"apple-metal-qwen35-122b-iq2xxs-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","31.051621","0.069013"
"apple-metal-qwen35-122b-iq2xxs-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","30.901703","0.998582"
"apple-metal-qwen36-35b-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","1212.618464","136.282529"
"apple-metal-qwen36-35b-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","47.917768","0.374821"
"apple-metal-qwen36-35b-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","48.351859","1.296602"
"apple-metal-qwen38-27b-depth0","Prompt processing 512","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","377.789322","0.116908"
"apple-metal-qwen38-27b-depth0","Generation 256","0","Apple M5 Pro (20 GPU cores)","MTL0","Metal","14.641073","0.285981"
"apple-metal-qwen38-27b-depth2048","Generation 256","2048","Apple M5 Pro (20 GPU cores)","MTL0","Metal","14.270027","0.008937"
