"elapsed_seconds","adapter","counter","bytes"
"6.3538469","other-adapter-1","dedicated usage","0"
"6.3636477","other-adapter-2","dedicated usage","270336"
"6.3637711","primary-benchmark-adapter","dedicated usage","5842984960"
"6.3638215","other-adapter-1","shared usage","0"
"6.3638394","other-adapter-2","shared usage","0"
"6.3638534","primary-benchmark-adapter","shared usage","17989632"
"6.3638966","other-adapter-1","local usage","0"
"6.3639116","other-adapter-2","local usage","270336"
"6.3639323","primary-benchmark-adapter","local usage","5574483968"
"6.3639695","other-adapter-1","non local usage","0"
"6.3639821","other-adapter-2","non local usage","0"
"6.3639953","primary-benchmark-adapter","non local usage","17989632"
"12.3966954","other-adapter-1","dedicated usage","0"
"12.3968693","other-adapter-2","dedicated usage","270336"
"12.396885","primary-benchmark-adapter","dedicated usage","14148165632"
"12.3969189","other-adapter-1","shared usage","0"
"12.3969332","other-adapter-2","shared usage","0"
"12.3969457","primary-benchmark-adapter","shared usage","17989632"
"12.3969829","other-adapter-1","local usage","0"
"12.3969953","other-adapter-2","local usage","270336"
"12.397022","primary-benchmark-adapter","local usage","13879664640"
"12.3970535","other-adapter-1","non local usage","0"
"12.3970668","other-adapter-2","non local usage","0"
"12.3970789","primary-benchmark-adapter","non local usage","17989632"
"18.4486073","other-adapter-1","dedicated usage","0"
"18.4487663","other-adapter-2","dedicated usage","270336"
"18.4487815","primary-benchmark-adapter","dedicated usage","17591099392"
"18.4488096","other-adapter-1","shared usage","0"
"18.4488211","other-adapter-2","shared usage","0"
"18.4488357","primary-benchmark-adapter","shared usage","22183936"
"18.4488865","other-adapter-1","local usage","0"
"18.4488972","other-adapter-2","local usage","270336"
"18.4489132","primary-benchmark-adapter","local usage","17591099392"
"18.4489371","other-adapter-1","non local usage","0"
"18.4489476","other-adapter-2","non local usage","0"
"18.4489585","primary-benchmark-adapter","non local usage","22183936"
"24.4834684","other-adapter-1","dedicated usage","0"
"24.4836102","other-adapter-2","dedicated usage","270336"
"24.4836246","primary-benchmark-adapter","dedicated usage","17591099392"
"24.4836524","other-adapter-1","shared usage","0"
"24.4836628","other-adapter-2","shared usage","0"
"24.4836767","primary-benchmark-adapter","shared usage","22183936"
"24.4837135","other-adapter-1","local usage","0"
"24.4837243","other-adapter-2","local usage","270336"
"24.4837383","primary-benchmark-adapter","local usage","17591099392"
"24.483766","other-adapter-1","non local usage","0"
"24.4837771","other-adapter-2","non local usage","0"
"24.4837883","primary-benchmark-adapter","non local usage","22183936"
"30.5180516","other-adapter-1","dedicated usage","0"
"30.5182289","other-adapter-2","dedicated usage","270336"
"30.5182416","primary-benchmark-adapter","dedicated usage","17591230464"
"30.5182697","other-adapter-1","shared usage","0"
"30.5182799","other-adapter-2","shared usage","0"
"30.5182905","primary-benchmark-adapter","shared usage","22183936"
"30.5183124","other-adapter-1","local usage","0"
"30.518323","other-adapter-2","local usage","270336"
"30.5183348","primary-benchmark-adapter","local usage","17591230464"
"30.5183572","other-adapter-1","non local usage","0"
"30.5183676","other-adapter-2","non local usage","0"
"30.518378","primary-benchmark-adapter","non local usage","22183936"
"36.5569152","other-adapter-1","dedicated usage","0"
"36.5570222","other-adapter-2","dedicated usage","270336"
"36.5570379","primary-benchmark-adapter","dedicated usage","18412593152"
"36.5570585","other-adapter-1","shared usage","0"
"36.5570728","other-adapter-2","shared usage","0"
"36.5570832","primary-benchmark-adapter","shared usage","53641216"
"36.5571626","other-adapter-1","local usage","0"
"36.5571734","other-adapter-2","local usage","270336"
"36.5571835","primary-benchmark-adapter","local usage","18412593152"
"36.5572077","other-adapter-1","non local usage","0"
"36.5572187","other-adapter-2","non local usage","0"
"36.5572287","primary-benchmark-adapter","non local usage","53641216"
"42.5801","other-adapter-1","dedicated usage","0"
"42.5801925","other-adapter-2","dedicated usage","270336"
"42.5802054","primary-benchmark-adapter","dedicated usage","18483503104"
"42.580227","other-adapter-1","shared usage","0"
"42.5802373","other-adapter-2","shared usage","0"
"42.5802478","primary-benchmark-adapter","shared usage","53641216"
"42.5802881","other-adapter-1","local usage","0"
"42.5802987","other-adapter-2","local usage","270336"
"42.5803094","primary-benchmark-adapter","local usage","18483503104"
"42.5803312","other-adapter-1","non local usage","0"
"42.5803443","other-adapter-2","non local usage","0"
"42.5803548","primary-benchmark-adapter","non local usage","53641216"
"48.6056704","other-adapter-1","dedicated usage","0"
"48.6058234","other-adapter-2","dedicated usage","270336"
"48.6058378","primary-benchmark-adapter","dedicated usage","18114732032"
"48.6058597","other-adapter-1","shared usage","0"
"48.6058695","other-adapter-2","shared usage","0"
"48.6058798","primary-benchmark-adapter","shared usage","59932672"
"48.6059001","other-adapter-1","local usage","0"
"48.6059097","other-adapter-2","local usage","270336"
"48.6059199","primary-benchmark-adapter","local usage","18114732032"
"48.605943","other-adapter-1","non local usage","0"
"48.6059545","other-adapter-2","non local usage","0"
"48.605965","primary-benchmark-adapter","non local usage","59932672"
"54.6699479","other-adapter-1","dedicated usage","0"
"54.6700382","other-adapter-2","dedicated usage","270336"
"54.6700498","primary-benchmark-adapter","dedicated usage","18114732032"
"54.6700693","other-adapter-1","shared usage","0"
"54.6700789","other-adapter-2","shared usage","0"
"54.670089","primary-benchmark-adapter","shared usage","59932672"
"54.6701081","other-adapter-1","local usage","0"
"54.6701185","other-adapter-2","local usage","270336"
"54.6701283","primary-benchmark-adapter","local usage","18114732032"
"54.6701504","other-adapter-1","non local usage","0"
"54.6701604","other-adapter-2","non local usage","0"
"54.6701701","primary-benchmark-adapter","non local usage","59932672"
"60.6989483","other-adapter-1","dedicated usage","0"
"60.6990348","other-adapter-2","dedicated usage","270336"
"60.6990462","primary-benchmark-adapter","dedicated usage","18114207744"
"60.6990669","other-adapter-1","shared usage","0"
"60.6990765","other-adapter-2","shared usage","0"
"60.6990863","primary-benchmark-adapter","shared usage","45252608"
"60.6991051","other-adapter-1","local usage","0"
"60.6991153","other-adapter-2","local usage","270336"
"60.6991254","primary-benchmark-adapter","local usage","18114207744"
