"elapsed_seconds","adapter","counter","bytes"
"6.0413046","other-adapter-1","dedicated usage","0"
"6.0414724","other-adapter-2","dedicated usage","270336"
"6.0415365","primary-benchmark-adapter","dedicated usage","5289336832"
"6.0415598","other-adapter-1","shared usage","0"
"6.0415708","other-adapter-2","shared usage","0"
"6.0415805","primary-benchmark-adapter","shared usage","20086784"
"6.0416007","other-adapter-1","local usage","0"
"6.041611","other-adapter-2","local usage","270336"
"6.0416204","primary-benchmark-adapter","local usage","5020835840"
"6.0416444","other-adapter-1","non local usage","0"
"6.0416549","other-adapter-2","non local usage","0"
"6.0416648","primary-benchmark-adapter","non local usage","20086784"
"12.0874239","other-adapter-1","dedicated usage","0"
"12.087497","other-adapter-2","dedicated usage","270336"
"12.0875087","primary-benchmark-adapter","dedicated usage","13326082048"
"12.0875289","other-adapter-1","shared usage","0"
"12.0875389","other-adapter-2","shared usage","0"
"12.0875488","primary-benchmark-adapter","shared usage","20086784"
"12.0875685","other-adapter-1","local usage","0"
"12.0875785","other-adapter-2","local usage","270336"
"12.0875882","primary-benchmark-adapter","local usage","13326082048"
"12.0876084","other-adapter-1","non local usage","0"
"12.0876183","other-adapter-2","non local usage","0"
"12.0876281","primary-benchmark-adapter","non local usage","20086784"
"18.1268373","other-adapter-1","dedicated usage","0"
"18.126912","other-adapter-2","dedicated usage","270336"
"18.1269229","primary-benchmark-adapter","dedicated usage","21622939648"
"18.1269432","other-adapter-1","shared usage","0"
"18.126953","other-adapter-2","shared usage","0"
"18.1269626","primary-benchmark-adapter","shared usage","20086784"
"18.1269826","other-adapter-1","local usage","0"
"18.1269926","other-adapter-2","local usage","270336"
"18.127002","primary-benchmark-adapter","local usage","21354438656"
"18.1270243","other-adapter-1","non local usage","0"
"18.1270341","other-adapter-2","non local usage","0"
"18.1270435","primary-benchmark-adapter","non local usage","20086784"
"24.1697593","other-adapter-1","dedicated usage","0"
"24.1698541","other-adapter-2","dedicated usage","270336"
"24.1698654","primary-benchmark-adapter","dedicated usage","22297436160"
"24.1698851","other-adapter-1","shared usage","0"
"24.1698952","other-adapter-2","shared usage","0"
"24.1699048","primary-benchmark-adapter","shared usage","24281088"
"24.169925","other-adapter-1","local usage","0"
"24.1699351","other-adapter-2","local usage","270336"
"24.1699445","primary-benchmark-adapter","local usage","713547776"
"24.1699642","other-adapter-1","non local usage","0"
"24.1699741","other-adapter-2","non local usage","0"
"24.1699834","primary-benchmark-adapter","non local usage","24281088"
"30.2061226","other-adapter-1","dedicated usage","0"
"30.2062129","other-adapter-2","dedicated usage","270336"
